POS Awesome,POS অসাধারণ
"Track recent sales, collect unpaid balances, and reopen saved work","সাম্প্রতিক বিক্রয় ট্র্যাক করুন, অবৈতনিক ব্যালেন্স সংগ্রহ করুন এবং সংরক্ষিত কাজ পুনরায় খুলুন"
Transaction ID,লেনদেন আইডি
Transfer,স্থানান্তর
Try a different search term or clear the cart search.,একটি ভিন্ন অনুসন্ধান শব্দ ব্যবহার করে দেখুন বা কার্ট অনুসন্ধান সাফ করুন।
Try adjusting your search or filters,আপনার অনুসন্ধান বা ফিল্টার সামঞ্জস্য করার চেষ্টা করুন
Try another source or refresh the list.,অন্য উৎস চেষ্টা করুন বা তালিকা রিফ্রেশ করুন.
Try changing the date range or status filter.,তারিখ পরিসীমা বা স্থিতি ফিল্টার পরিবর্তন করার চেষ্টা করুন.
Type,টাইপ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,মৌলিক সেটিংস থাকা সত্ত্বেও ক্যামেরা অ্যাক্সেস করতে অক্ষম। আপনার ক্যামেরা অনুমতি এবং ডিভাইস সামঞ্জস্য পরীক্ষা করুন.
Unable to add offer item {0}. Please refresh and try again.,অফার আইটেম {0} যোগ করতে অক্ষম৷ রিফ্রেশ করুন এবং আবার চেষ্টা করুন.
Unable to add offer item. Please refresh and try again.,অফার আইটেম যোগ করতে অক্ষম. রিফ্রেশ করুন এবং আবার চেষ্টা করুন.
Unable to add scanned item.,স্ক্যান করা আইটেম যোগ করতে অক্ষম.
Unable to create purchase order,ক্রয় অর্ডার তৈরি করতে অক্ষম৷
Unable to delete draft invoice,খসড়া চালান মুছতে অক্ষম৷
Unable to fetch documents,নথি আনতে অক্ষম
Unable to fetch draft orders,খসড়া অর্ডার আনতে অক্ষম
Unable to fetch invoice history,চালানের ইতিহাস আনতে অক্ষম৷
Unable to fetch M-Pesa payments,M-Pesa পেমেন্ট আনতে অক্ষম
Unable to fetch sales orders,বিক্রয় আদেশ আনতে অক্ষম
Unable to fetch unpaid invoices,অবৈতনিক চালানগুলি আনতে অক্ষম৷
Unable to generate scale barcode,স্কেল বারকোড তৈরি করতে অক্ষম৷
Unable to issue gift card.,উপহার কার্ড ইস্যু করতে অক্ষম.
Unable to load cashier PIN status.,ক্যাশিয়ার পিন স্থিতি লোড করতে অক্ষম৷
Unable to load document,নথি লোড করতে অক্ষম৷
Unable to load draft invoice,খসড়া চালান লোড করতে অক্ষম৷
Unable to load gift card balance.,উপহার কার্ড ব্যালেন্স লোড করতে অক্ষম.
Unable to load invoice details,চালানের বিবরণ লোড করতে অক্ষম৷
Unable to load parked order,পার্ক করা অর্ডার লোড করতে অক্ষম
Unable to load the selected sales order,নির্বাচিত বিক্রয় আদেশ লোড করতে অক্ষম৷
Unable to prepare document,নথি প্রস্তুত করতে অক্ষম
Unable to prepare return invoice,রিটার্ন চালান প্রস্তুত করতে অক্ষম
Unable to print draft invoice,খসড়া চালান মুদ্রণ করতে অক্ষম৷
Unable to print submitted invoice,জমা দেওয়া চালান প্রিন্ট করতে অক্ষম
Unable to process document action,ডকুমেন্ট অ্যাকশন প্রক্রিয়া করতে অক্ষম৷
Unable to repair change allocation,পরিবর্তন বরাদ্দ মেরামত করতে অক্ষম
Unable to save cashier PIN.,ক্যাশিয়ার পিন সংরক্ষণ করতে অক্ষম৷
Unable to save the rate to the backend price list,ব্যাকএন্ড মূল্য তালিকায় হার সংরক্ষণ করতে অক্ষম
Unable to submit invoice,চালান জমা দিতে অক্ষম
Unable to submit the selected payment,নির্বাচিত অর্থপ্রদান জমা দিতে অক্ষম৷
Unable to top up gift card.,উপহার কার্ড টপ আপ করতে অক্ষম.
Unable to verify cashier PIN.,ক্যাশিয়ার পিন যাচাই করতে অক্ষম৷
Unallocated,অনির্বাণ
Unallocated:,অনির্ধারিত:
Unavailable,অনুপলব্ধ
Unknown,অজানা
Unknown Item,অজানা আইটেম
Unknown Warehouse,অজানা গুদাম
Unlock POS,POS আনলক করুন
Unpaid,অবৈতনিক
"Unselected payments stay unallocated first, then auto reconcile after submit.","অনির্বাচিত অর্থপ্রদানগুলি প্রথমে অনির্বাচিত থাকে, তারপর জমা দেওয়ার পরে স্বয়ংক্রিয়ভাবে মিলিত হয়।"
UOM,UOM
UOM not found,UOM পাওয়া যায়নি
Update available,আপডেট উপলব্ধ
Update Customer,গ্রাহক আপডেট করুন
Update PIN,পিন আপডেট করুন
Update Price List Rate,হালনাগাদ মূল্য তালিকা হার
Updated,আপডেট করা হয়েছে
Updates and app info that stay out of the cashier flow.,আপডেট এবং অ্যাপের তথ্য যা ক্যাশিয়ার প্রবাহের বাইরে থাকে।
Updates automatically,স্বয়ংক্রিয়ভাবে আপডেট
Usage,ব্যবহার
Usage Stats,ব্যবহারের পরিসংখ্যান
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,ক্যাশিয়ার স্যুইচিং এবং টার্মিনাল আনলকের জন্য একটি 4 থেকে 8 সংখ্যার পিন ব্যবহার করুন৷
Use Cashier,ক্যাশিয়ার ব্যবহার করুন
Use date range to search for older invoices,পুরানো চালানগুলি অনুসন্ধান করতে তারিখের ব্যাপ্তি ব্যবহার করুন৷
"Use one field for manual code entry, barcode scans, or QR scans.","ম্যানুয়াল কোড এন্ট্রি, বারকোড স্ক্যান বা QR স্ক্যানের জন্য একটি ক্ষেত্র ব্যবহার করুন।"
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS না রেখে ব্যালেন্স চেক, নতুন ইস্যু এবং টপ আপের জন্য একটি ওয়ার্কফ্লো ব্যবহার করুন।"
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","ক্যাশে করা পূর্বশর্ত ডেটার রিফ্রেশ, পুনর্নির্মাণ বা ডায়াগনস্টিক পর্যালোচনার প্রয়োজন হলে এই বিভাগটি ব্যবহার করুন।"
Use Western numerals,পশ্চিমা সংখ্যা ব্যবহার করুন
Used:,ব্যবহৃত:
Using basic camera settings due to device limitations,ডিভাইসের সীমাবদ্ধতার কারণে মৌলিক ক্যামেরা সেটিংস ব্যবহার করা
Using cached customer balance,ক্যাশ করা গ্রাহক ব্যালেন্স ব্যবহার করা
Valid until,পর্যন্ত বৈধ
Variance %,পার্থক্য %
Variants,বৈকল্পিক
Variant-wise,বৈকল্পিক-ভিত্তিক
Verify closing amounts for each payment method,প্রতিটি অর্থপ্রদান পদ্ধতির জন্য সমাপনী পরিমাণ যাচাই করুন
View all,সব দেখুন
View app information and current build details,অ্যাপের তথ্য এবং বর্তমান বিল্ডের বিবরণ দেখুন
View Data Diagnostics,ডেটা ডায়াগনস্টিকস দেখুন
View Details,বিস্তারিত দেখুন
View invoice details,চালান বিবরণ দেখুন
View notifications,বিজ্ঞপ্তি দেখুন
View offline invoices,অফলাইন চালান দেখুন
View restricted POS insights,সীমাবদ্ধ POS অন্তর্দৃষ্টি দেখুন
Void Amount,অকার্যকর পরিমাণ
Void Count,অকার্যকর গণনা
Voids,শূন্যতা
Waiting for cart items,কার্ট আইটেম জন্য অপেক্ষা করছে
Waiting for payment...,অর্থপ্রদানের জন্য অপেক্ষা করা হচ্ছে...
Walk-in Customer,ওয়াক-ইন গ্রাহক
Warehouse,গুদাম
Warning: High cache usage may affect performance.,সতর্কতা: উচ্চ ক্যাশে ব্যবহার কর্মক্ষমতা প্রভাবিত করতে পারে।
Warning: High lag may indicate heavy processing or browser slowness.,সতর্কতা: উচ্চ ল্যাগ ভারী প্রক্রিয়াকরণ বা ব্রাউজার ধীরতার ইঙ্গিত দিতে পারে।
Week ?,সপ্তাহ?
Week-wise,সপ্তাহ ভিত্তিক
Weight (g),ওজন (গ্রাম)
Weight (grams),ওজন (গ্রাম)
We'll let you know if an invoice fails to submit,চালান জমা দিতে ব্যর্থ হলে আমরা আপনাকে জানাব
Workflow,কর্মপ্রবাহ
Write off amount cannot exceed the POS profile maximum of {0},রাইট অফের পরিমাণ POS প্রোফাইল সর্বাধিক {0} এর বেশি হতে পারে না
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,রাইট অফের পরিমাণ অনুমোদিত সীমা ছাড়িয়ে গেছে ({0})। অনুগ্রহ করে অবশিষ্ট পরিমাণের জন্য অর্থপ্রদান যোগ করুন।
Yes,হ্যাঁ
"Yes, Cancel sale","হ্যাঁ, বিক্রয় বাতিল করুন"
"Yes, Close","হ্যাঁ, বন্ধ করুন"
You are not allowed to print draft invoices,আপনাকে খসড়া চালান প্রিন্ট করার অনুমতি নেই
You are offline. Add Payment will work again when the connection is restored.,আপনি অফলাইনে আছেন। সংযোগ পুনরুদ্ধার করা হলে পেমেন্ট যোগ করুন আবার কাজ করবে।
You have no notifications right now,এখন আপনার কাছে কোনো বিজ্ঞপ্তি নেই
Your Cart,আপনার কার্ট
