POS Awesome,POS නියමයි
Tap the button below to redeem a gift card during checkout.,පිටවීම අතරතුර තෑගි කාඩ්පතක් ලබා ගැනීමට පහත බොත්තම තට්ටු කරන්න.
Target,ඉලක්කය
Target Ex. Rate:,ඉලක්කය Ex. අගය:
Target Rate:,ඉලක්ක අනුපාතය:
Tax,බදු
Tax / Charges Report,බදු / ගාස්තු වාර්තාව
Tax Heads,බදු ප්රධානීන්
Taxable Amount,බදු ගෙවිය හැකි මුදල
Tendered,ටෙන්ඩර් කළා
Terminal,පර්යන්තය
Terminal & Devices,පර්යන්තය සහ උපාංග
Terminal locked,පර්යන්තය අගුලු දමා ඇත
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","පර්යන්ත මෙවලම් මෙම පිටවීමේ ස්ථානයට, පාරිභෝගිකයින්ට මුහුණ දෙන සංදර්ශකවලට සහ අනාගත මුද්‍රණ යන්ත්‍ර/උපාංග පාලනවලට බලපායි."
Territory not found,භූමිය හමු නොවීය
The amount paid is not complete,ගෙවූ මුදල සම්පූර්ණ නැත
The app stores data locally for offline use. This is called cache.,යෙදුම නොබැඳි භාවිතය සඳහා දේශීයව දත්ත ගබඩා කරයි. මෙය හැඹිලි ලෙස හැඳින්වේ.
The invoice stayed in draft. Please review and submit it manually.,ඉන්වොයිසිය කෙටුම්පතේ පැවතුනි. කරුණාකර එය සමාලෝචනය කර අතින් ඉදිරිපත් කරන්න.
The maximum discount allowed is,අවසර දී ඇති උපරිම වට්ටම් වේ
The quantity for {0} has been adjusted to the maximum available stock.,{0} සඳහා ප්‍රමාණය පවතින උපරිම තොගයට සකස් කර ඇත.
The system could not retrieve the item details. Please try again.,පද්ධතියට අයිතම විස්තර ලබා ගැනීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න.
These invoices will be synced when connection is restored,සම්බන්ධතාවය ප්‍රතිසාධනය කරන විට මෙම ඉන්වොයිසි සමමුහුර්ත වනු ඇත
This action now opens inside the settings workspace.,මෙම ක්‍රියාව දැන් සිටුවම් වැඩබිම තුළ විවෘත වේ.
This coupon already used !,මෙම කූපනය දැනටමත් භාවිතා කර ඇත!
This invoice does not need change-allocation repair,මෙම ඉන්වොයිසිය වෙනස් කිරීම-විසර්ජන අලුත්වැඩියා කිරීම අවශ්ය නොවේ
This invoice is already repaired,මෙම ඉන්වොයිසිය දැනටමත් අලුත්වැඩියා කර ඇත
This is an item template. Please choose a variant.,මෙය අයිතම අච්චුවකි. කරුණාකර ප්‍රභේදයක් තෝරන්න.
this item,මෙම අයිතමය
This POS page could not be opened offline because its code was not cached on this terminal yet.,එහි කේතය තවමත් මෙම පර්යන්තයේ හැඹිලිගත කර නොමැති නිසා මෙම POS පිටුව නොබැඳිව විවෘත කළ නොහැක.
This Serial Number {0} has already been added!,මෙම අනුක්‍රමික අංකය {0} දැනටමත් එක් කර ඇත!
Threshold,එළිපත්ත
Time,කාලය
Tip: Clear cache regularly to free up space and keep the app fast.,ඉඟිය: ඉඩ නිදහස් කර ගැනීමට සහ යෙදුම වේගවත්ව තබා ගැනීමට නිතිපතා හැඹිලිය හිස් කරන්න.
Tip: Close unused tabs or apps to reduce lag.,ඉඟිය: ප්‍රමාදය අඩු කිරීමට භාවිත නොකළ ටැබ් හෝ යෙදුම් වසන්න.
Tip: Monitor slow queries and table size for optimal performance.,ඉඟිය: ප්‍රශස්ත කාර්ය සාධනය සඳහා මන්දගාමී විමසුම් සහ වගු ප්‍රමාණය නිරීක්ෂණය කරන්න.
To Be Paid,ගෙවීමට
To Date,අද දක්වා
Today,අද
Today Profit,අද ලාභය
Today Sales,අද විකුණුම්
Toggle navigation drawer,සංචාලන ලාච්චුව ටොගල් කරන්න
Toggle Theme,තේමාව ටොගල් කරන්න
Tools,මෙවලම්
Tools for customer-facing screens and terminal-specific actions.,පාරිභෝගිකයන් මුහුණ දෙන තිර සහ පර්යන්ත-විශේෂිත ක්‍රියා සඳහා මෙවලම්.
Top Brand,ඉහළම වෙළඳ නාමය
Top Category,ඉහළම කාණ්ඩය
Top Charge Head,Top Charge Head
Top Customers,ඉහළම පාරිභෝගිකයින්
Top Discount,ඉහළම වට්ටම්
Top Items by Location,ස්ථානය අනුව ඉහළම අයිතම
Top Margin,ඉහළ මායිම
Top Pending,ඉහළ පොරොත්තු
Top Profit Item,ඉහළම ලාභ අයිතමය
Top Return Items,ඉහළම ප්‍රතිලාභ අයිතම
Top Sales by Cashier,මුදල් අයකැමි විසින් ඉහළම විකුණුම්
Top Supplier,ඉහළම සැපයුම්කරු
Top Suppliers by Spend,වියදම් අනුව ඉහළම සැපයුම්කරුවන්
Top Tables,ඉහළ වගු
Top Tax Head,ඉහළ බදු ප්රධානියා
Top Up Amount,Top Up මුදල
Top Up Card,Top Up කාඩ්පත
Top Up Mode,Top Up Mode
Top Variant,ඉහළම ප්රභේදය
Total,මුළු
Total Amount,මුළු මුදල
Total Change,සම්පූර්ණ වෙනස
Total Charges,මුළු ගාස්තු
Total In,මුළු ඇතුළත
Total Invoices,මුළු ඉන්වොයිසි
Total Items,මුළු අයිතම
Total Mpesa,සම්පූර්ණ Mpesa
Total Out,සම්පුර්ණයෙන් පිටතට
Total Payments,මුළු ගෙවීම්
Total Purchase,සම්පූර්ණ මිලදී ගැනීම
Total Selected :,තෝරාගත් එකතුව:
Total Size,මුළු ප්රමාණය
Total Stock Qty,මුළු තොග ප්‍රමාණය
Total:,එකතුව:
Totals by Invoice Currency,ඉන්වොයිස් මුදල් අනුව එකතුව
Track how much cash was handed back to customers,ගනුදෙනුකරුවන්ට ආපසු ලබා දුන් මුදල් ප්‍රමාණය නිරීක්ෂණය කරන්න
"Track recent sales, collect unpaid balances, and reopen saved work","මෑත විකුණුම් නිරීක්ෂණය කරන්න, නොගෙවූ ශේෂ එකතු කරන්න, සහ සුරැකි වැඩ නැවත විවෘත කරන්න"
Transaction ID,ගනුදෙනු හැඳුනුම්පත
Transfer,මාරු කරන්න
Try a different search term or clear the cart search.,වෙනත් සෙවුම් පදයක් උත්සාහ කරන්න හෝ කරත්ත සෙවීම ඉවත් කරන්න.
Try adjusting your search or filters,ඔබගේ සෙවීම් හෝ පෙරහන් සීරුමාරු කිරීමට උත්සාහ කරන්න
Try another source or refresh the list.,වෙනත් මූලාශ්‍රයක් උත්සාහ කරන්න හෝ ලැයිස්තුව නැවුම් කරන්න.
Try changing the date range or status filter.,දින පරාසය හෝ තත්ව පෙරහන වෙනස් කිරීමට උත්සාහ කරන්න.
Type,ටයිප් කරන්න
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,මූලික සැකසුම් සමඟ පවා කැමරාවට ප්‍රවේශ විය නොහැක. කරුණාකර ඔබගේ කැමරා අවසර සහ උපාංග ගැළපුම පරීක්ෂා කරන්න.
Unable to add offer item {0}. Please refresh and try again.,පිරිනැමීම් අයිතමය {0} එක් කිරීමට නොහැක. කරුණාකර නැවුම් කර නැවත උත්සාහ කරන්න.
Unable to add offer item. Please refresh and try again.,පිරිනැමීම් අයිතමය එක් කිරීමට නොහැකිය. කරුණාකර නැවුම් කර නැවත උත්සාහ කරන්න.
Unable to add scanned item.,ස්කෑන් කළ අයිතමය එක් කළ නොහැක.
Unable to create purchase order,මිලදී ගැනීමේ ඇණවුම නිර්මාණය කළ නොහැක
Unable to delete draft invoice,කෙටුම්පත් ඉන්වොයිසිය මැකීමට නොහැකිය
Unable to fetch documents,ලේඛන ලබා ගැනීමට නොහැකි විය
Unable to fetch draft orders,කෙටුම්පත් ඇණවුම් ලබා ගැනීමට නොහැකි විය
Unable to fetch invoice history,ඉන්වොයිස් ඉතිහාසය ලබා ගැනීමට නොහැකි විය
Unable to fetch M-Pesa payments,M-Pesa ගෙවීම් ලබා ගැනීමට නොහැකි විය
Unable to fetch sales orders,විකුණුම් ඇණවුම් ලබා ගැනීමට නොහැකි විය
Unable to fetch unpaid invoices,නොගෙවූ ඉන්වොයිසි ලබා ගැනීමට නොහැකි විය
Unable to generate scale barcode,පරිමාණ තීරු කේතය ජනනය කළ නොහැක
Unable to issue gift card.,තෑගි කාඩ්පත නිකුත් කළ නොහැක.
Unable to load cashier PIN status.,මුදල් අයකැමි PIN තත්ත්වය පූරණය කළ නොහැක.
Unable to load document,ලේඛනය පූරණය කළ නොහැක
Unable to load draft invoice,කෙටුම්පත් ඉන්වොයිසිය පූරණය කළ නොහැක
Unable to load gift card balance.,තෑගි කාඩ්පත් ශේෂය පූරණය කළ නොහැක.
Unable to load invoice details,ඉන්වොයිස් විස්තර පූරණය කළ නොහැක
Unable to load parked order,නවතා ඇති ඇණවුම පූරණය කළ නොහැක
Unable to load the selected sales order,තෝරාගත් විකුණුම් ඇණවුම පූරණය කළ නොහැක
Unable to prepare document,ලේඛනය සකස් කිරීමට නොහැකි විය
Unable to prepare return invoice,ආපසු ඉන්වොයිසිය සකස් කිරීමට නොහැකි විය
Unable to print draft invoice,කෙටුම්පත් ඉන්වොයිසිය මුද්‍රණය කළ නොහැක
Unable to print submitted invoice,ඉදිරිපත් කළ ඉන්වොයිසිය මුද්‍රණය කළ නොහැක
Unable to process document action,ලේඛන ක්‍රියාව සැකසීමට නොහැක
Unable to repair change allocation,වෙනස් කිරීමේ වෙන් කිරීම අලුත්වැඩියා කිරීමට නොහැකි විය
Unable to save cashier PIN.,මුදල් අයකැමි PIN සුරැකීමට නොහැක.
Unable to save the rate to the backend price list,පසුපෙළ මිල ලැයිස්තුවට අනුපාතය සුරැකීමට නොහැකි විය
Unable to submit invoice,ඉන්වොයිසිය ඉදිරිපත් කළ නොහැක
Unable to submit the selected payment,තෝරාගත් ගෙවීම ඉදිරිපත් කළ නොහැක
Unable to top up gift card.,තෑගි කාඩ්පත පිරවීමට නොහැකිය.
Unable to verify cashier PIN.,මුදල් අයකැමි PIN සත්‍යාපනය කළ නොහැක.
Unallocated,වෙන් නොකළ
Unallocated:,වෙන් නොකළ:
Unavailable,ලබා ගත නොහැක
Unknown,නොදන්නා
Unknown Item,නොදන්නා අයිතමය
Unknown Warehouse,නොදන්නා ගබඩාව
Unlock POS,POS අගුළු හරින්න
Unpaid,නොගෙවූ
"Unselected payments stay unallocated first, then auto reconcile after submit.","තෝරා නොගත් ගෙවීම් ප්‍රථමයෙන් වෙන් නොකර පවතිනු ඇත, පසුව ඉදිරිපත් කිරීමෙන් පසු ස්වයංක්‍රීයව ප්‍රතිසන්ධාන කරන්න."
UOM,UOM
UOM not found,UOM හමු නොවීය
Update available,යාවත්කාලීන ලබා ගත හැක
Update Customer,පාරිභෝගිකයා යාවත්කාලීන කරන්න
Update PIN,PIN යාවත්කාලීන කරන්න
Update Price List Rate,මිල ලැයිස්තු අනුපාතය යාවත්කාලීන කරන්න
Updated,යාවත්කාලීන කරන ලදී
Updates and app info that stay out of the cashier flow.,අයකැමි ප්‍රවාහයෙන් බැහැරව පවතින යාවත්කාලීන සහ යෙදුම් තොරතුරු.
Updates automatically,ස්වයංක්‍රීයව යාවත්කාලීන වේ
Usage,භාවිතය
Usage Stats,භාවිත සංඛ්යාලේඛන
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,මුදල් අයකැමි මාරු කිරීම සහ පර්යන්ත අගුලු හැරීම සඳහා ඉලක්කම් 4 සිට 8 දක්වා PIN එකක් භාවිතා කරන්න.
Use Cashier,මුදල් අයකැමි භාවිතා කරන්න
Use date range to search for older invoices,පැරණි ඉන්වොයිසි සෙවීමට දින පරාසය භාවිතා කරන්න
"Use one field for manual code entry, barcode scans, or QR scans.","අතින් කේත ඇතුළත් කිරීම, තීරු කේත ස්කෑන් කිරීම හෝ QR ස්කෑන් කිරීම සඳහා එක් ක්ෂේත්‍රයක් භාවිත කරන්න."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS හැර යාමෙන් තොරව ශේෂ පිරික්සුම්, නව නිකුත් කිරීම් සහ ටොප්-අප් සඳහා එක් කාර්ය ප්‍රවාහයක් භාවිතා කරන්න."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","හැඹිලිගත පූර්ව අවශ්‍යතා දත්ත නැවුම් කිරීම, නැවත ගොඩනැගීම හෝ රෝග විනිශ්චය සමාලෝචනයක් අවශ්‍ය වූ විට මෙම කොටස භාවිතා කරන්න."
Use Western numerals,බටහිර ඉලක්කම් භාවිතා කරන්න
Used:,භාවිතා කළේ:
Using basic camera settings due to device limitations,උපාංග සීමාවන් හේතුවෙන් මූලික කැමරා සැකසුම් භාවිතා කිරීම
Using cached customer balance,හැඹිලිගත පාරිභෝගික ශේෂය භාවිතා කිරීම
Valid until,දක්වා වලංගු වේ
Variance %,විචලනය %
Variants,ප්රභේද
Variant-wise,ප්රභේද අනුව
Verify closing amounts for each payment method,එක් එක් ගෙවීමේ ක්‍රමය සඳහා අවසන් මුදල් සත්‍යාපනය කරන්න
View all,සියල්ල බලන්න
View app information and current build details,යෙදුම් තොරතුරු සහ වත්මන් ගොඩනැගීමේ විස්තර බලන්න
View Data Diagnostics,දත්ත රෝග විනිශ්චය බලන්න
View Details,විස්තර බලන්න
View invoice details,ඉන්වොයිස් විස්තර බලන්න
View notifications,දැනුම්දීම් බලන්න
View offline invoices,නොබැඳි ඉන්වොයිසි බලන්න
View restricted POS insights,සීමා කළ POS විදසුන් බලන්න
Void Amount,අවලංගු මුදල
Void Count,හිස් ගණන
Voids,හිස්තැන්
Waiting for cart items,කරත්ත අයිතම සඳහා රැඳී සිටීම
Waiting for payment...,ගෙවීම සඳහා රැඳී සිටිමින්...
Walk-in Customer,ඇවිදින පාරිභෝගිකයා
Warehouse,ගබඩාව
Warning: High cache usage may affect performance.,අවවාදයයි: ඉහළ හැඹිලි භාවිතය කාර්ය සාධනයට බලපෑ හැකිය.
Warning: High lag may indicate heavy processing or browser slowness.,අවවාදයයි: අධික ප්‍රමාදය අධික සැකසුම් හෝ බ්‍රවුසරයේ මන්දගාමී බව පෙන්නුම් කරයි.
Week ?,සතිය?
Week-wise,සතිපතා
Weight (g),බර (g)
Weight (grams),බර (ග්‍රෑම්)
We'll let you know if an invoice fails to submit,ඉන්වොයිසියක් ඉදිරිපත් කිරීමට අපොහොසත් වුවහොත් අපි ඔබට දන්වන්නෙමු
Workflow,කාර්ය ප්රවාහය
Write off amount cannot exceed the POS profile maximum of {0},කපා හැරීමේ මුදල POS පැතිකඩ උපරිම {0} ඉක්මවිය නොහැක
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,කපා හැරීමේ මුදල අවසර ලත් සීමාව ඉක්මවයි ({0}). කරුණාකර ඉතිරි මුදල සඳහා ගෙවීම එක් කරන්න.
Yes,ඔව්
"Yes, Cancel sale","ඔව්, විකිණීම අවලංගු කරන්න"
"Yes, Close","ඔව්, වසන්න"
You are not allowed to print draft invoices,කෙටුම්පත් ඉන්වොයිසි මුද්‍රණය කිරීමට ඔබට අවසර නැත
You are offline. Add Payment will work again when the connection is restored.,ඔබ නොබැඳිය. සම්බන්ධතාවය ප්‍රතිසාධනය කළ විට Add Payment නැවත ක්‍රියා කරයි.
You have no notifications right now,ඔබට දැන් දැනුම්දීම් නැත
Your Cart,ඔබේ කරත්තය
