POS Awesome,POS ഗംഭീരം
Posting,പോസ്റ്റുചെയ്യുന്നു
Posting and Price List,പോസ്റ്റിംഗും വില പട്ടികയും
Posting Date,പോസ്റ്റ് ചെയ്യുന്ന തീയതി
Preparing background sync,പശ്ചാത്തല സമന്വയം തയ്യാറാക്കുന്നു
"Press OK to continue offline with a warning, or Cancel to retry.","ഒരു മുന്നറിയിപ്പോടെ ഓഫ്‌ലൈനിൽ തുടരാൻ ശരി അമർത്തുക, അല്ലെങ്കിൽ വീണ്ടും ശ്രമിക്കാൻ റദ്ദാക്കുക."
Previous unit of measure,അളവിൻ്റെ മുൻ യൂണിറ്റ്
Price List,വില ലിസ്റ്റ്
Price List Rate,വില ലിസ്റ്റ് നിരക്ക്
Price list rate updated locally only,വില ലിസ്റ്റ് നിരക്ക് പ്രാദേശികമായി മാത്രം അപ്ഡേറ്റ് ചെയ്തു
Pricing & Discounts,വിലനിർണ്ണയവും കിഴിവുകളും
Pricing Rule,വിലനിർണ്ണയ നിയമം
Print,അച്ചടിക്കുക
Print Draft,ഡ്രാഫ്റ്റ് അച്ചടിക്കുക
Print Format (Invoice),പ്രിൻ്റ് ഫോർമാറ്റ് (ഇൻവോയ്സ്)
Print Format (Order),പ്രിൻ്റ് ഫോർമാറ്റ് (ഓർഡർ)
Print invoice,ഇൻവോയ്സ് പ്രിൻ്റ് ചെയ്യുക
Print Purchase Invoice instead of PO,PO എന്നതിനുപകരം പർച്ചേസ് ഇൻവോയ്സ് അച്ചടിക്കുക
Printer,പ്രിൻ്റർ
Processed returns impacting the shift totals,ഷിഫ്റ്റ് ടോട്ടലുകളെ ബാധിക്കുന്ന പ്രോസസ്സ് ചെയ്ത റിട്ടേണുകൾ
Processing Payment,പേയ്‌മെൻ്റ് പ്രോസസ്സ് ചെയ്യുന്നു
Processing payment entries for Invoice {0},ഇൻവോയ്‌സിനായുള്ള പേയ്‌മെൻ്റ് എൻട്രികൾ പ്രോസസ്സ് ചെയ്യുന്നു {0}
Profile,പ്രൊഫൈൽ
Profiles,പ്രൊഫൈലുകൾ
Profit,ലാഭം
Profit: Invoice Item Estimate,ലാഭം: ഇൻവോയ്സ് ഇനത്തിൻ്റെ എസ്റ്റിമേറ്റ്
Profit: Stock Ledger (COGS),ലാഭം: സ്റ്റോക്ക് ലെഡ്ജർ (COGS)
Profitability Report,ലാഭക്ഷമത റിപ്പോർട്ട്
Prorated return discount,പ്രൊറേറ്റഡ് റിട്ടേൺ ഡിസ്കൗണ്ട്
Purchase Amount,വാങ്ങൽ തുക
Purchase Invoices,ഇൻവോയ്‌സുകൾ വാങ്ങുക
Purchase Order created,പർച്ചേസ് ഓർഡർ സൃഷ്ടിച്ചു
Qty,ക്യൂട്ടി
Qualified,യോഗ്യത നേടി
Quantity,അളവ്
Quantity exceeds available stock,അളവ് ലഭ്യമായ സ്റ്റോക്കിനെക്കാൾ കൂടുതലാണ്
Quick Actions,ദ്രുത പ്രവർത്തനങ്ങൾ
Quotation {0} is Submitted,ഉദ്ധരണി {0} സമർപ്പിച്ചു
Quotation submitted,ക്വട്ടേഷൻ സമർപ്പിച്ചു
QZ Tray connected.,QZ ട്രേ ബന്ധിപ്പിച്ചു.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ട്രേ സ്വമേധയാ വിച്ഛേദിച്ചു. ഇത് വീണ്ടും പ്രവർത്തനക്ഷമമാക്കാൻ കണക്റ്റ് അമർത്തുക.
QZ Tray is not connected.,QZ ട്രേ ബന്ധിപ്പിച്ചിട്ടില്ല.
QZ Tray Setup,QZ ട്രേ സജ്ജീകരണം
Rate,നിരക്ക്
Rate adjusted to maximum allowed discount,അനുവദനീയമായ പരമാവധി കിഴിവിലേക്ക് നിരക്ക് ക്രമീകരിച്ചു
Ready,തയ്യാറാണ്
Ready to resume,പുനരാരംഭിക്കാൻ തയ്യാറാണ്
Ready!,തയ്യാറാണ്!
Real-time POS insights for retail operations.,റീട്ടെയിൽ പ്രവർത്തനങ്ങൾക്കായുള്ള തത്സമയ POS സ്ഥിതിവിവരക്കണക്കുകൾ.
Rebuild Offline Data,ഓഫ്‌ലൈൻ ഡാറ്റ പുനർനിർമ്മിക്കുക
Receive,സ്വീകരിക്കുക
Receive now,ഇപ്പോൾ സ്വീകരിക്കുക
Received,ലഭിച്ചു
Received:,സ്വീകരിച്ചത്:
Recent Movement Entries,സമീപകാല പ്രസ്ഥാന എൻട്രികൾ
Recent updates about your invoices,നിങ്ങളുടെ ഇൻവോയ്‌സുകളെക്കുറിച്ചുള്ള സമീപകാല അപ്‌ഡേറ്റുകൾ
Recently Active Customers,അടുത്തിടെ സജീവമായ ഉപഭോക്താക്കൾ
Rechecking connection,കണക്ഷൻ വീണ്ടും പരിശോധിക്കുന്നു
Reconcile payment methods and close shift,പേയ്‌മെൻ്റ് രീതികളും ക്ലോസ് ഷിഫ്റ്റും സമന്വയിപ്പിക്കുക
Reconciling Payments,പേയ്‌മെൻ്റുകൾ സമന്വയിപ്പിക്കുന്നു
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","ഓൺലൈനിലായിരിക്കുമ്പോൾ ഒരിക്കൽ ഈ പേജ് വീണ്ടും കണക്റ്റുചെയ്‌ത് തുറക്കുക, തുടർന്ന് ഓഫ്‌ലൈൻ പുതുക്കലുകൾക്ക് ഇത് പുനഃസ്ഥാപിക്കാൻ കഴിയും."
Reconnect online to refresh cached offline data from the server.,സെർവറിൽ നിന്ന് കാഷെ ചെയ്‌ത ഓഫ്‌ലൈൻ ഡാറ്റ പുതുക്കാൻ ഓൺലൈനിൽ വീണ്ടും കണക്റ്റുചെയ്യുക.
Recreate local offline prerequisites from scratch,ആദ്യം മുതൽ പ്രാദേശിക ഓഫ്‌ലൈൻ മുൻവ്യവസ്ഥകൾ പുനഃസൃഷ്ടിക്കുക
Recv:,Recv:
Redeem,വീണ്ടെടുക്കുക
Redeem / Scan,വീണ്ടെടുക്കുക / സ്കാൻ ചെയ്യുക
Redeem Amount,തുക റിഡീം ചെയ്യുക
Redeem Mode,റിഡീം മോഡ്
Redeemed Amount,റിഡീം ചെയ്ത തുക
Redeemed credit cannot be greater than its total.,റിഡീം ചെയ്ത ക്രെഡിറ്റ് അതിൻ്റെ ആകെത്തേക്കാൾ വലുതായിരിക്കരുത്.
Redemption and Totals,വീണ്ടെടുക്കലും ആകെത്തുകയും
Reference,റഫറൻസ്
Refresh,പുതുക്കുക
Refresh Exchange Rate,വിനിമയ നിരക്ക് പുതുക്കുക
Refresh Offline Data,ഓഫ്‌ലൈൻ ഡാറ്റ പുതുക്കുക
Refresh Printers,പ്രിൻ്ററുകൾ പുതുക്കുക
Refund,റീഫണ്ട്
Release Notes,റിലീസ് കുറിപ്പുകൾ
Reload,വീണ്ടും ലോഡുചെയ്യുക
Reload customers,ഉപഭോക്താക്കളെ വീണ്ടും ലോഡുചെയ്യുക
Reload Items,ഇനങ്ങൾ വീണ്ടും ലോഡുചെയ്യുക
Reload Now,ഇപ്പോൾ വീണ്ടും ലോഡുചെയ്യുക
Reload to apply the latest changes. Your current session will be refreshed.,ഏറ്റവും പുതിയ മാറ്റങ്ങൾ പ്രയോഗിക്കാൻ റീലോഡ് ചെയ്യുക. നിങ്ങളുടെ നിലവിലെ സെഷൻ പുതുക്കും.
Reload Workflow,വർക്ക്ഫ്ലോ വീണ്ടും ലോഡുചെയ്യുക
Remarks,അഭിപ്രായങ്ങൾ
Remarks are required.,അഭിപ്രായങ്ങൾ ആവശ്യമാണ്.
Remove,നീക്കം ചെയ്യുക
Remove barcode item,ബാർകോഡ് ഇനം നീക്കം ചെയ്യുക
Remove cached data and reload the POS app,കാഷെ ചെയ്‌ത ഡാറ്റ നീക്കം ചെയ്‌ത് POS ആപ്പ് വീണ്ടും ലോഡുചെയ്യുക
Remove item,ഇനം നീക്കം ചെയ്യുക
Remove Offer,ഓഫർ നീക്കം ചെയ്യുക
Reorder / Purchase Suggestions,പുനഃക്രമീകരിക്കുക / വാങ്ങൽ നിർദ്ദേശങ്ങൾ
Repair Candidate,റിപ്പയർ കാൻഡിഡേറ്റ്
Repair Change Allocation,അലോക്കേഷൻ മാറ്റുക
Repair requires an online connection,അറ്റകുറ്റപ്പണിക്ക് ഒരു ഓൺലൈൻ കണക്ഷൻ ആവശ്യമാണ്
Repaired,നന്നാക്കി
Repairing change allocation,മാറ്റ വിഹിതം നന്നാക്കുന്നു
Repeat Customers,ഉപഭോക്താക്കൾ ആവർത്തിക്കുക
Repeat Rate,ആവർത്തന നിരക്ക്
Request,അഭ്യർത്ഥിക്കുക
Request ID: {0},അഭ്യർത്ഥന ഐഡി: {0}
Request Payment,പേയ്‌മെൻ്റ് അഭ്യർത്ഥിക്കുക
Requested route: {0},അഭ്യർത്ഥിച്ച റൂട്ട്: {0}
Required columns cannot be hidden,ആവശ്യമായ നിരകൾ മറയ്ക്കാൻ കഴിയില്ല
Reset,പുനഃസജ്ജമാക്കുക
Reset item name,ഇനത്തിൻ്റെ പേര് പുനഃസജ്ജമാക്കുക
Reset to Default,ഡിഫോൾട്ടിലേക്ക് പുനഃസജ്ജമാക്കുക
Resource Health,റിസോഴ്സ് ഹെൽത്ത്
Restricted,നിയന്ത്രിച്ചു
Restricted operational controls for supervisors only.,സൂപ്പർവൈസർമാർക്ക് മാത്രം നിയന്ത്രിത പ്രവർത്തന നിയന്ത്രണങ്ങൾ.
Retry,വീണ്ടും ശ്രമിക്കുക
Retry route,റൂട്ട് വീണ്ടും ശ്രമിക്കുക
Return,മടങ്ങുക
Return Amount,റിട്ടേൺ തുക
Return Count,റിട്ടേൺ കൗണ്ട്
Return items must have negative quantities,റിട്ടേൺ ഇനങ്ങൾക്ക് നെഗറ്റീവ് അളവുകൾ ഉണ്ടായിരിക്കണം
Return total must be negative,മൊത്തം റിട്ടേൺ നെഗറ്റീവ് ആയിരിക്കണം
Return Valid Until,റിട്ടേൺ സാധുവാണ്
Return window passed,റിട്ടേൺ വിൻഡോ കടന്നുപോയി
Return without Invoice,ഇൻവോയ്സ് ഇല്ലാതെ മടങ്ങുക
Returns,മടങ്ങുന്നു
Returns / Voids / Discounts,റിട്ടേണുകൾ / ശൂന്യത / കിഴിവുകൾ
Returns by Currency,കറൻസി പ്രകാരം മടങ്ങുന്നു
Revenue,വരുമാനം
Review shift totals before submitting the closing entry,ക്ലോസിംഗ് എൻട്രി സമർപ്പിക്കുന്നതിന് മുമ്പ് ഷിഫ്റ്റ് മൊത്തങ്ങൾ അവലോകനം ചെയ്യുക
Round Off,റൗണ്ട് ഓഫ്
Rows,വരികൾ
Rows:,വരികൾ:
Rule,ഭരണം
Sale,വിൽപ്പന
Sales,വിൽപ്പന
Sales Order {0} is Submitted,സെയിൽസ് ഓർഡർ {0} സമർപ്പിച്ചു
Sales Person and Print,വിൽപ്പനക്കാരനും പ്രിൻ്റും
Sales Person not found,വിൽപ്പനക്കാരനെ കണ്ടെത്തിയില്ല
Sales processed,വിൽപ്പന പ്രോസസ്സ് ചെയ്തു
Sales Return,വിൽപ്പന റിട്ടേൺ
Sales Trend Report,വിൽപ്പന ട്രെൻഡ് റിപ്പോർട്ട്
Save,സംരക്ഷിക്കുക
Save & Clear,സംരക്ഷിച്ച് മായ്ക്കുക
Save as POS Profile Default,POS പ്രൊഫൈൽ ഡിഫോൾട്ടായി സംരക്ഷിക്കുക
Save Settings,ക്രമീകരണങ്ങൾ സംരക്ഷിക്കുക
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"തിരഞ്ഞെടുത്ത പ്രിൻ്റർ POS പ്രൊഫൈൽ ഡിഫോൾട്ടായി സംരക്ഷിക്കുക, അതുവഴി ഈ സജ്ജീകരണത്തിൽ അത് സ്വയമേവ കാണിക്കും."
Saved as draft because: {0},ഡ്രാഫ്റ്റായി സംരക്ഷിച്ചത് കാരണം: {0}
Saving...,സംരക്ഷിക്കുന്നു...
Scale barcode detected. Quantity here is the number of labels to print.,സ്കെയിൽ ബാർകോഡ് കണ്ടെത്തി. പ്രിൻ്റ് ചെയ്യേണ്ട ലേബലുകളുടെ എണ്ണമാണ് ഇവിടെ അളവ്.
Scale barcode settings are not configured. Using item barcode only.,സ്കെയിൽ ബാർകോഡ് ക്രമീകരണങ്ങൾ കോൺഫിഗർ ചെയ്തിട്ടില്ല. ഇനത്തിൻ്റെ ബാർകോഡ് മാത്രം ഉപയോഗിക്കുന്നു.
Scale template barcode is missing for this item/UOM. Using item barcode only.,ഈ ഇനത്തിന്/UOM-ന് സ്കെയിൽ ടെംപ്ലേറ്റ് ബാർകോഡ് കാണുന്നില്ല. ഇനത്തിൻ്റെ ബാർകോഡ് മാത്രം ഉപയോഗിക്കുന്നു.
Scan an existing card and top it up without leaving the payment flow.,പേയ്‌മെൻ്റ് ഫ്ലോ വിടാതെ നിലവിലുള്ള കാർഡ് സ്‌കാൻ ചെയ്‌ത് ടോപ്പ് അപ്പ് ചെയ്യുക.
Scan Error,സ്കാൻ പിശക്
Scan or enter a gift card code to check balance or redeem.,ബാലൻസ് പരിശോധിക്കുന്നതിനോ റിഡീം ചെയ്യുന്നതിനോ ഒരു സമ്മാന കാർഡ് കോഡ് സ്കാൻ ചെയ്യുക അല്ലെങ്കിൽ നൽകുക.
Scan or paste the card code below.,ചുവടെയുള്ള കാർഡ് കോഡ് സ്കാൻ ചെയ്യുക അല്ലെങ്കിൽ ഒട്ടിക്കുക.
Scan QR Code/Barcode,QR കോഡ്/ബാർകോഡ് സ്കാൻ ചെയ്യുക
Scan with camera,ക്യാമറ ഉപയോഗിച്ച് സ്കാൻ ചെയ്യുക
Scan-First Flow,സ്കാൻ-ആദ്യ ഫ്ലോ
Scanned Code:,സ്കാൻ ചെയ്ത കോഡ്:
Scanning for: {0},ഇതിനായി സ്കാൻ ചെയ്യുന്നു: {0}
Scanning items,ഇനങ്ങൾ സ്കാൻ ചെയ്യുന്നു
Scan-Ready,സ്കാൻ-തയ്യാറാണ്
Scope,വ്യാപ്തി
Scope: All Profiles,വ്യാപ്തി: എല്ലാ പ്രൊഫൈലുകളും
Scope: Current Profile,വ്യാപ്തി: നിലവിലെ പ്രൊഫൈൽ
Scope: Specific Profile,വ്യാപ്തി: നിർദ്ദിഷ്ട പ്രൊഫൈൽ
Search,തിരയുക
Search Account,അക്കൗണ്ട് തിരയുക
Search an invoice and continue the return flow without extra steps.,"ഒരു ഇൻവോയ്സ് തിരയുക, അധിക ഘട്ടങ്ങളില്ലാതെ റിട്ടേൺ ഫ്ലോ തുടരുക."
Search customer,ഉപഭോക്താവിനെ തിരയുക
Search invoices or customers,ഇൻവോയ്സുകൾ അല്ലെങ്കിൽ ഉപഭോക്താക്കളെ തിരയുക
Search item,ഇനം തിരയുക
Search item / code,ഇനം / കോഡ് തിരയുക
Search items or barcode,ഇനങ്ങൾ അല്ലെങ്കിൽ ബാർകോഡ് തിരയുക
Search Mpesa Payments,Mpesa പേയ്‌മെൻ്റുകൾ തിരയുക
Search return invoices or customers,റിട്ടേൺ ഇൻവോയ്സുകൾ അല്ലെങ്കിൽ ഉപഭോക്താക്കളെ തിരയുക
Search supplier,വിതരണക്കാരനെ തിരയുക
Search unpaid invoices or customers,പണമടയ്ക്കാത്ത ഇൻവോയ്‌സുകളോ ഉപഭോക്താക്കളോ തിരയുക
Secure context (HTTPS or localhost) is required for camera access.,ക്യാമറ ആക്‌സസ് ചെയ്യുന്നതിന് സുരക്ഷിത സന്ദർഭം (HTTPS അല്ലെങ്കിൽ ലോക്കൽഹോസ്റ്റ്) ആവശ്യമാണ്.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,ക്യാമറ ആക്‌സസ് ചെയ്യുന്നതിന് സുരക്ഷിത സന്ദർഭം (HTTPS) ആവശ്യമാണ്. ക്യാമറ ആക്‌സസ് ചെയ്യാൻ HTTPS ഉപയോഗിക്കുക.
Select,തിരഞ്ഞെടുക്കുക
Select a cashier first.,ആദ്യം ഒരു കാഷ്യറെ തിരഞ്ഞെടുക്കുക.
Select a customer,ഒരു ഉപഭോക്താവിനെ തിരഞ്ഞെടുക്കുക
Select a customer to use coupon,കൂപ്പൺ ഉപയോഗിക്കാൻ ഒരു ഉപഭോക്താവിനെ തിരഞ്ഞെടുക്കുക
Select a printer to use QZ silent printing.,QZ നിശബ്ദ പ്രിൻ്റിംഗ് ഉപയോഗിക്കുന്നതിന് ഒരു പ്രിൻ്റർ തിരഞ്ഞെടുക്കുക.
Select Batch,ബാച്ച് തിരഞ്ഞെടുക്കുക
Select Columns to Display,പ്രദർശിപ്പിക്കാനുള്ള നിരകൾ തിരഞ്ഞെടുക്കുക
Select items to sell,വിൽക്കാൻ ഇനങ്ങൾ തിരഞ്ഞെടുക്കുക
Select Payment,പേയ്‌മെൻ്റ് തിരഞ്ഞെടുക്കുക
Select Payment Account,പേയ്‌മെൻ്റ് അക്കൗണ്ട് തിരഞ്ഞെടുക്കുക
Select printer,പ്രിൻ്റർ തിരഞ്ഞെടുക്കുക
Select Return Invoice,റിട്ടേൺ ഇൻവോയ്സ് തിരഞ്ഞെടുക്കുക
Select S.O,S.O തിരഞ്ഞെടുക്കുക
Select Sales Orders,സെയിൽസ് ഓർഡറുകൾ തിരഞ്ഞെടുക്കുക
Select the cashier who is taking over this terminal.,ഈ ടെർമിനൽ ഏറ്റെടുക്കുന്ന കാഷ്യറെ തിരഞ്ഞെടുക്കുക.
Selected,തിരഞ്ഞെടുത്തു
Selected movement type is not allowed by POS Profile.,തിരഞ്ഞെടുത്ത ചലന തരം POS പ്രൊഫൈൽ അനുവദനീയമല്ല.
Selected Payments,തിരഞ്ഞെടുത്ത പേയ്‌മെൻ്റുകൾ
Sensitive actions kept away from quick taps.,സെൻസിറ്റീവ് പ്രവർത്തനങ്ങൾ പെട്ടെന്നുള്ള ടാപ്പുകളിൽ നിന്ന് അകറ്റിനിർത്തി.
Serial,സീരിയൽ
Serial Numbers,സീരിയൽ നമ്പറുകൾ
Server CPU Usage:,സെർവർ സിപിയു ഉപയോഗം:
Server Health,സെർവർ ആരോഗ്യം
Server Memory Usage:,സെർവർ മെമ്മറി ഉപയോഗം:
Server Metrics,സെർവർ മെട്രിക്‌സ്
Server Uptime:,സെർവർ പ്രവർത്തനസമയം:
Service Charges,സേവന നിരക്കുകൾ
Session,സെഷൻ
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ഉപയോക്തൃ ഫോമിൽ ഓരോ കാഷ്യർ പിൻ സജ്ജീകരിക്കുകയും POS പ്രൊഫൈൽ ഉപയോക്താവിൽ അസൈൻ ചെയ്‌ത ടെർമിനൽ അംഗങ്ങളെ നിലനിർത്തുകയും ചെയ്യുക.
Settings,ക്രമീകരണങ്ങൾ
Settings in this section update the POS workspace without changing the current route.,ഈ വിഭാഗത്തിലെ ക്രമീകരണങ്ങൾ നിലവിലെ റൂട്ട് മാറ്റാതെ തന്നെ POS വർക്ക്‌സ്‌പെയ്‌സ് അപ്‌ഡേറ്റ് ചെയ്യുന്നു.
Setup complete!,സജ്ജീകരണം പൂർത്തിയായി!
Share,പങ്കിടുക
Shared terminal,പങ്കിട്ട ടെർമിനൽ
Shift Closed Snapshot,ഷിഫ്റ്റ് അടച്ച സ്നാപ്പ്ഷോട്ട്
Shift Overview,ഷിഫ്റ്റ് അവലോകനം
Show,കാണിക്കുക
Show cart on customer-facing screen,ഉപഭോക്താവിനെ അഭിമുഖീകരിക്കുന്ന സ്ക്രീനിൽ കാർട്ട് കാണിക്കുക
Show last invoice rate,അവസാന ഇൻവോയ്സ് നിരക്ക് കാണിക്കുക
Show rate info,നിരക്ക് വിവരം കാണിക്കുക
Show Repair Candidates,റിപ്പയർ കാൻഡിഡേറ്റുകളെ കാണിക്കുക
Show search tools,തിരയൽ ഉപകരണങ്ങൾ കാണിക്കുക
Show the active cart on a customer-facing screen,ഉപഭോക്താവിനെ അഭിമുഖീകരിക്കുന്ന സ്ക്രീനിൽ സജീവമായ കാർട്ട് കാണിക്കുക
Showing {0}-{1} of {2},{2}-ൽ {0}-{1} കാണിക്കുന്നു
Showing 0 of 0,0-ൽ 0 കാണിക്കുന്നു
Shows the distribution of invoices per currency,ഓരോ കറൻസിയിലും ഇൻവോയ്‌സുകളുടെ വിതരണം കാണിക്കുന്നു
Sign out of the current POS session,നിലവിലെ POS സെഷനിൽ നിന്ന് സൈൻ ഔട്ട് ചെയ്യുക
Size:,വലിപ്പം:
Skipped Payments,പേയ്‌മെൻ്റുകൾ ഒഴിവാക്കി
Skipping items without barcodes,ബാർകോഡുകളില്ലാതെ ഇനങ്ങൾ ഒഴിവാക്കുന്നു
Slow Moving,സ്ലോ മൂവിംഗ്
Slow Moving Items,സ്ലോ മൂവിംഗ് ഇനങ്ങൾ
Slow Queries:,സാവധാനത്തിലുള്ള ചോദ്യങ്ങൾ:
Sold,വിറ്റു
Source,ഉറവിടം
Source Cash Account (Optional Override),ഉറവിട ക്യാഷ് അക്കൗണ്ട് (ഓപ്ഷണൽ ഓവർറൈഡ്)
Source Ex. Rate:,ഉറവിടം Ex. നിരക്ക്:
Source Rate:,ഉറവിട നിരക്ക്:
Specific Profile,നിർദ്ദിഷ്ട പ്രൊഫൈൽ
Split Invoices,ഇൻവോയ്‌സുകൾ വിഭജിക്കുക
Staff / Cashier Performance Report,സ്റ്റാഫ് / കാഷ്യർ പെർഫോമൻസ് റിപ്പോർട്ട്
Status,നില
Stock,സ്റ്റോക്ക്
Stock Information,സ്റ്റോക്ക് വിവരങ്ങൾ
Stock is lower than requested,സ്റ്റോക്ക് ആവശ്യപ്പെട്ടതിലും കുറവാണ്
Stock is lower than requested:\n{0},സ്റ്റോക്ക് ആവശ്യപ്പെട്ടതിലും കുറവാണ്:\n{0}
Stock Movement Report,സ്റ്റോക്ക് മൂവ്മെൻ്റ് റിപ്പോർട്ട്
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,സ്റ്റോക്ക് അപ്ഡേറ്റ്: {0} {1} ലഭ്യമാണ്. {2} ചേർക്കുന്നത് സ്റ്റോക്കിനെ പൂജ്യത്തിന് താഴെ കൊണ്ടുവരും.
Submit,സമർപ്പിക്കുക
Submit & Print,"സമർപ്പിക്കുക, അച്ചടിക്കുക"
Submit Deposit,നിക്ഷേപം സമർപ്പിക്കുക
Submit Expense,ചെലവ് സമർപ്പിക്കുക
Submitted,സമർപ്പിച്ചു
Submitted Cash Movements,സമർപ്പിച്ച പണ നീക്കങ്ങൾ
Submitted entries,എൻട്രികൾ സമർപ്പിച്ചു
Successfully scanned:,സ്‌കാൻ ചെയ്‌തു:
Suggested,നിർദ്ദേശിച്ചു
Suggested Qty,നിർദ്ദേശിച്ച Qty
Supervisor Access,സൂപ്പർവൈസർ ആക്സസ്
Supervisor permissions unlock issuance and reloads,സൂപ്പർവൈസർ അനുമതികൾ അൺലോക്ക് ഇഷ്യൂവും റീലോഡുകളും
Supervisor Tools,സൂപ്പർവൈസർ ഉപകരണങ്ങൾ
Supplier,വിതരണക്കാരൻ
Supplier and dates are required.,വിതരണക്കാരനും തീയതിയും ആവശ്യമാണ്.
Supplier Invoices,വിതരണക്കാരൻ്റെ ഇൻവോയ്‌സുകൾ
Supplier is required.,വിതരണക്കാരൻ ആവശ്യമാണ്.
Supplier name is required,വിതരണക്കാരൻ്റെ പേര് ആവശ്യമാണ്
Supplier Payments,വിതരണക്കാരൻ്റെ പേയ്‌മെൻ്റുകൾ
Supplier Purchase Summary,വിതരണക്കാരൻ്റെ പർച്ചേസ് സംഗ്രഹം
Suppliers,വിതരണക്കാർ
Suppliers not found,വിതരണക്കാരെ കണ്ടെത്തിയില്ല
Switch Camera,ക്യാമറ മാറുക
Switch Cashier,കാഷ്യർ മാറുക
Switch the POS appearance theme,POS രൂപഭാവം തീം മാറ്റുക
Switched to:,ഇതിലേക്ക് മാറി:
Sync All Invoices,എല്ലാ ഇൻവോയ്സുകളും സമന്വയിപ്പിക്കുക
Sync Offline Cash Movements ({0}),ഓഫ്‌ലൈൻ പണ നീക്കങ്ങൾ സമന്വയിപ്പിക്കുക ({0})
Sync Offline Sales,ഓഫ്‌ലൈൻ വിൽപ്പന സമന്വയിപ്പിക്കുക
Synced {0} offline cash movement(s).,സമന്വയിപ്പിച്ച {0} ഓഫ്‌ലൈൻ ക്യാഷ് മൂവ്‌മെൻ്റ്(കൾ).
Syncing items in background,പശ്ചാത്തലത്തിൽ ഇനങ്ങൾ സമന്വയിപ്പിക്കുന്നു
System / Diagnostics,സിസ്റ്റം / ഡയഗ്നോസ്റ്റിക്സ്
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","ആപ്പ് വിവരം, സപ്പോർട്ട് ഡയഗ്‌നോസ്റ്റിക്‌സ്, സെഷൻ കൺട്രോളുകൾ തുടങ്ങിയ ലോ-ഫ്രീക്വൻസി മെയിൻ്റനൻസ് കൺട്രോളുകളാണ് സിസ്റ്റം പ്രവർത്തനങ്ങൾ."
System Information,സിസ്റ്റം വിവരങ്ങൾ
System Status,സിസ്റ്റം നില
Tables:,പട്ടികകൾ:
Tap the button below to redeem a gift card during checkout.,ചെക്ക്ഔട്ട് സമയത്ത് ഒരു സമ്മാന കാർഡ് റിഡീം ചെയ്യാൻ താഴെയുള്ള ബട്ടൺ ടാപ്പ് ചെയ്യുക.
Target,ലക്ഷ്യം
Target Ex. Rate:,ലക്ഷ്യം മുൻ. നിരക്ക്:
Target Rate:,ടാർഗെറ്റ് നിരക്ക്:
Tax,നികുതി
Tax / Charges Report,നികുതി / ചാർജുകൾ റിപ്പോർട്ട്
Tax Heads,നികുതി തലവന്മാർ
Taxable Amount,നികുതി നൽകേണ്ട തുക
Tendered,ടെൻഡർ ചെയ്തു
Terminal,ടെർമിനൽ
Terminal & Devices,ടെർമിനലും ഉപകരണങ്ങളും
Terminal locked,ടെർമിനൽ പൂട്ടി
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","ടെർമിനൽ ടൂളുകൾ ഈ ചെക്ക്ഔട്ട് സ്റ്റേഷൻ, കസ്റ്റമർ-ഫേസിംഗ് ഡിസ്പ്ലേകൾ, ഭാവി പ്രിൻ്റർ/ഉപകരണ നിയന്ത്രണങ്ങൾ എന്നിവയെ ബാധിക്കുന്നു."
Territory not found,പ്രദേശം കണ്ടെത്തിയില്ല
The amount paid is not complete,അടച്ച തുക പൂർത്തിയായിട്ടില്ല
The app stores data locally for offline use. This is called cache.,ഓഫ്‌ലൈൻ ഉപയോഗത്തിനായി ആപ്പ് പ്രാദേശികമായി ഡാറ്റ സംഭരിക്കുന്നു. ഇതിനെ കാഷെ എന്ന് വിളിക്കുന്നു.
The invoice stayed in draft. Please review and submit it manually.,ഇൻവോയ്സ് ഡ്രാഫ്റ്റിൽ തന്നെ തുടർന്നു. ദയവായി ഇത് അവലോകനം ചെയ്ത് നേരിട്ട് സമർപ്പിക്കുക.
The maximum discount allowed is,അനുവദനീയമായ പരമാവധി കിഴിവ്
The quantity for {0} has been adjusted to the maximum available stock.,{0} എന്നതിൻ്റെ അളവ് ലഭ്യമായ പരമാവധി സ്റ്റോക്കിലേക്ക് ക്രമീകരിച്ചു.
The system could not retrieve the item details. Please try again.,ഇനത്തിൻ്റെ വിശദാംശങ്ങൾ വീണ്ടെടുക്കാൻ സിസ്റ്റത്തിന് കഴിഞ്ഞില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക.
These invoices will be synced when connection is restored,കണക്ഷൻ പുനഃസ്ഥാപിക്കുമ്പോൾ ഈ ഇൻവോയ്സുകൾ സമന്വയിപ്പിക്കപ്പെടും
This action now opens inside the settings workspace.,ഈ പ്രവർത്തനം ഇപ്പോൾ ക്രമീകരണ വർക്ക്‌സ്‌പെയ്‌സിനുള്ളിൽ തുറക്കുന്നു.
