POS Awesome,POS అద్భుతం
Shift Overview,షిఫ్ట్ అవలోకనం
Show,చూపించు
Show cart on customer-facing screen,కస్టమర్-ఫేసింగ్ స్క్రీన్‌పై కార్ట్‌ని చూపించు
Show last invoice rate,చివరి ఇన్‌వాయిస్ రేటును చూపు
Show rate info,రేటు సమాచారాన్ని చూపు
Show Repair Candidates,మరమ్మతు అభ్యర్థులను చూపించు
Show search tools,శోధన సాధనాలను చూపు
Show the active cart on a customer-facing screen,కస్టమర్-ఫేసింగ్ స్క్రీన్‌పై క్రియాశీల కార్ట్‌ను చూపండి
Showing {0}-{1} of {2},{2}లో {0}-{1} చూపుతోంది
Showing 0 of 0,0లో 0 చూపుతోంది
Shows the distribution of invoices per currency,ఒక్కో కరెన్సీకి ఇన్‌వాయిస్‌ల పంపిణీని చూపుతుంది
Sign out of the current POS session,ప్రస్తుత POS సెషన్ నుండి సైన్ అవుట్ చేయండి
Size:,పరిమాణం:
Skipped Payments,స్కిప్డ్ చెల్లింపులు
Skipping items without barcodes,బార్‌కోడ్‌లు లేకుండా అంశాలను దాటవేయడం
Slow Moving,స్లో మూవింగ్
Slow Moving Items,నెమ్మదిగా కదిలే అంశాలు
Slow Queries:,నెమ్మదిగా ప్రశ్నలు:
Sold,విక్రయించబడింది
Source,మూలం
Source Cash Account (Optional Override),మూల నగదు ఖాతా (ఐచ్ఛిక ఓవర్‌రైడ్)
Source Ex. Rate:,మూలం Ex. రేటు:
Source Rate:,మూలం రేటు:
Specific Profile,నిర్దిష్ట ప్రొఫైల్
Split Invoices,ఇన్‌వాయిస్‌లను విభజించండి
Staff / Cashier Performance Report,సిబ్బంది / క్యాషియర్ పనితీరు నివేదిక
Status,స్థితి
Stock,స్టాక్
Stock Information,స్టాక్ సమాచారం
Stock is lower than requested,స్టాక్ అభ్యర్థించిన దాని కంటే తక్కువగా ఉంది
Stock is lower than requested:\n{0},స్టాక్ అభ్యర్థించిన దాని కంటే తక్కువగా ఉంది:\n{0}
Stock Movement Report,స్టాక్ కదలిక నివేదిక
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,స్టాక్ అప్‌డేట్: {0}కి {1} అందుబాటులో ఉంది. {2}ని జోడిస్తే స్టాక్ సున్నా కంటే దిగువకు వస్తుంది.
Submit,సమర్పించండి
Submit & Print,సమర్పించండి & ముద్రించండి
Submit Deposit,డిపాజిట్ సమర్పించండి
Submit Expense,ఖర్చు సమర్పించండి
Submitted,సమర్పించారు
Submitted Cash Movements,నగదు కదలికలను సమర్పించారు
Submitted entries,ఎంట్రీలు సమర్పించారు
Successfully scanned:,విజయవంతంగా స్కాన్ చేయబడింది:
Suggested,సూచించారు
Suggested Qty,సూచించిన క్యూటీ
Supervisor Access,సూపర్‌వైజర్ యాక్సెస్
Supervisor permissions unlock issuance and reloads,సూపర్‌వైజర్ అనుమతులు జారీ మరియు రీలోడ్‌లను అన్‌లాక్ చేస్తాయి
Supervisor Tools,సూపర్‌వైజర్ సాధనాలు
Supplier,సరఫరాదారు
Supplier and dates are required.,సరఫరాదారు మరియు తేదీలు అవసరం.
Supplier Invoices,సరఫరాదారు ఇన్‌వాయిస్‌లు
Supplier is required.,సరఫరాదారు అవసరం.
Supplier name is required,సరఫరాదారు పేరు అవసరం
Supplier Payments,సరఫరాదారు చెల్లింపులు
Supplier Purchase Summary,సరఫరాదారు కొనుగోలు సారాంశం
Suppliers,సరఫరాదారులు
Suppliers not found,సరఫరాదారులు కనుగొనబడలేదు
Switch Camera,కెమెరాను మార్చండి
Switch Cashier,క్యాషియర్ మారండి
Switch the POS appearance theme,POS ప్రదర్శన థీమ్‌ను మార్చండి
Switched to:,దీనికి మారారు:
Sync All Invoices,అన్ని ఇన్‌వాయిస్‌లను సమకాలీకరించండి
Sync Offline Cash Movements ({0}),ఆఫ్‌లైన్ నగదు కదలికలను సమకాలీకరించండి ({0})
Sync Offline Sales,ఆఫ్‌లైన్ విక్రయాలను సమకాలీకరించండి
Synced {0} offline cash movement(s).,{0} ఆఫ్‌లైన్ నగదు కదలిక(లు) సమకాలీకరించబడింది.
Syncing items in background,నేపథ్యంలో అంశాలను సమకాలీకరించడం
System / Diagnostics,సిస్టమ్ / డయాగ్నస్టిక్స్
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","సిస్టమ్ చర్యలు అనువర్తన సమాచారం, మద్దతు విశ్లేషణలు మరియు సెషన్ నియంత్రణలు వంటి తక్కువ-ఫ్రీక్వెన్సీ నిర్వహణ నియంత్రణలు."
System Information,సిస్టమ్ సమాచారం
System Status,సిస్టమ్ స్థితి
Tables:,పట్టికలు:
Tap the button below to redeem a gift card during checkout.,చెక్అవుట్ సమయంలో బహుమతి కార్డ్‌ని రీడీమ్ చేయడానికి దిగువ బటన్‌ను నొక్కండి.
Target,లక్ష్యం
Target Ex. Rate:,టార్గెట్ Ex. రేటు:
Target Rate:,లక్ష్య రేటు:
Tax,పన్ను
Tax / Charges Report,పన్ను / ఛార్జీల నివేదిక
Tax Heads,పన్ను హెడ్స్
Taxable Amount,పన్ను విధించదగిన మొత్తం
Tendered,టెండర్ వేశారు
Terminal,టెర్మినల్
Terminal & Devices,టెర్మినల్ & పరికరాలు
Terminal locked,టెర్మినల్ లాక్ చేయబడింది
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","టెర్మినల్ సాధనాలు ఈ చెక్అవుట్ స్టేషన్, కస్టమర్-ఫేసింగ్ డిస్ప్లేలు మరియు భవిష్యత్ ప్రింటర్/పరికర నియంత్రణలను ప్రభావితం చేస్తాయి."
Territory not found,భూభాగం కనుగొనబడలేదు
The amount paid is not complete,చెల్లించిన మొత్తం పూర్తి కాలేదు
The app stores data locally for offline use. This is called cache.,యాప్ ఆఫ్‌లైన్ ఉపయోగం కోసం స్థానికంగా డేటాను నిల్వ చేస్తుంది. దీనినే కాష్ అంటారు.
The invoice stayed in draft. Please review and submit it manually.,"ఇన్‌వాయిస్ డ్రాఫ్ట్‌లో ఉండిపోయింది. దయచేసి సమీక్షించి, మాన్యువల్‌గా సమర్పించండి."
The maximum discount allowed is,అనుమతించబడిన గరిష్ట తగ్గింపు
The quantity for {0} has been adjusted to the maximum available stock.,{0} యొక్క పరిమాణం అందుబాటులో ఉన్న గరిష్ట స్టాక్‌కు సర్దుబాటు చేయబడింది.
The system could not retrieve the item details. Please try again.,సిస్టమ్ ఐటెమ్ వివరాలను తిరిగి పొందలేకపోయింది. దయచేసి మళ్లీ ప్రయత్నించండి.
These invoices will be synced when connection is restored,కనెక్షన్ పునరుద్ధరించబడినప్పుడు ఈ ఇన్‌వాయిస్‌లు సమకాలీకరించబడతాయి
This action now opens inside the settings workspace.,ఈ చర్య ఇప్పుడు సెట్టింగ్‌ల వర్క్‌స్పేస్‌లో తెరవబడుతుంది.
This coupon already used !,ఈ కూపన్ ఇప్పటికే ఉపయోగించబడింది!
This invoice does not need change-allocation repair,ఈ ఇన్‌వాయిస్‌కు మార్పు-కేటాయింపు మరమ్మత్తు అవసరం లేదు
This invoice is already repaired,ఈ ఇన్‌వాయిస్ ఇప్పటికే రిపేర్ చేయబడింది
This is an item template. Please choose a variant.,ఇది ఒక అంశం టెంప్లేట్. దయచేసి వేరియంట్‌ని ఎంచుకోండి.
this item,ఈ అంశం
This POS page could not be opened offline because its code was not cached on this terminal yet.,ఈ POS పేజీని ఆఫ్‌లైన్‌లో తెరవడం సాధ్యపడలేదు ఎందుకంటే దీని కోడ్ ఇంకా ఈ టెర్మినల్‌లో కాష్ చేయబడలేదు.
This Serial Number {0} has already been added!,ఈ క్రమ సంఖ్య {0} ఇప్పటికే జోడించబడింది!
Threshold,థ్రెషోల్డ్
Time,సమయం
Tip: Clear cache regularly to free up space and keep the app fast.,చిట్కా: స్థలాన్ని ఖాళీ చేయడానికి మరియు యాప్‌ను వేగంగా ఉంచడానికి కాష్‌ని క్రమం తప్పకుండా క్లియర్ చేయండి.
Tip: Close unused tabs or apps to reduce lag.,చిట్కా: లాగ్‌ని తగ్గించడానికి ఉపయోగించని ట్యాబ్‌లు లేదా యాప్‌లను మూసివేయండి.
Tip: Monitor slow queries and table size for optimal performance.,చిట్కా: సరైన పనితీరు కోసం నెమ్మదిగా ప్రశ్నలు మరియు పట్టిక పరిమాణాన్ని పర్యవేక్షించండి.
To Be Paid,చెల్లించాలి
To Date,ఇప్పటి వరకు
Today,ఈరోజు
Today Profit,ఈరోజు లాభం
Today Sales,నేడు అమ్మకాలు
Toggle navigation drawer,నావిగేషన్ డ్రాయర్‌ని టోగుల్ చేయండి
Toggle Theme,థీమ్‌ను టోగుల్ చేయండి
Tools,ఉపకరణాలు
Tools for customer-facing screens and terminal-specific actions.,కస్టమర్-ఫేసింగ్ స్క్రీన్‌లు మరియు టెర్మినల్-నిర్దిష్ట చర్యల కోసం సాధనాలు.
Top Brand,టాప్ బ్రాండ్
Top Category,అగ్ర వర్గం
Top Charge Head,టాప్ ఛార్జ్ హెడ్
Top Customers,అగ్ర కస్టమర్లు
Top Discount,టాప్ డిస్కౌంట్
Top Items by Location,స్థానం వారీగా అగ్ర అంశాలు
Top Margin,ఎగువ మార్జిన్
Top Pending,టాప్ పెండింగ్‌లో ఉంది
Top Profit Item,అగ్ర లాభం అంశం
Top Return Items,టాప్ రిటర్న్ అంశాలు
Top Sales by Cashier,క్యాషియర్ ద్వారా అత్యధిక అమ్మకాలు
Top Supplier,అగ్ర సరఫరాదారు
Top Suppliers by Spend,ఖర్చు ద్వారా అగ్ర సరఫరాదారులు
Top Tables,అగ్ర పట్టికలు
Top Tax Head,టాప్ టాక్స్ హెడ్
Top Up Amount,టాప్ అప్ మొత్తం
Top Up Card,టాప్ అప్ కార్డ్
Top Up Mode,టాప్ అప్ మోడ్
Top Variant,టాప్ వేరియంట్
Total,మొత్తం
Total Amount,మొత్తం మొత్తం
Total Change,మొత్తం మార్పు
Total Charges,మొత్తం ఛార్జీలు
Total In,మొత్తం ఇన్
Total Invoices,మొత్తం ఇన్‌వాయిస్‌లు
Total Items,మొత్తం అంశాలు
Total Mpesa,మొత్తం Mpesa
Total Out,టోటల్ అవుట్
Total Payments,మొత్తం చెల్లింపులు
Total Purchase,మొత్తం కొనుగోలు
Total Selected :,మొత్తం ఎంపిక చేయబడింది:
Total Size,మొత్తం పరిమాణం
Total Stock Qty,మొత్తం స్టాక్ క్యూటీ
Total:,మొత్తం:
Totals by Invoice Currency,ఇన్‌వాయిస్ కరెన్సీ ద్వారా మొత్తాలు
Track how much cash was handed back to customers,కస్టమర్లకు ఎంత నగదు తిరిగి అందజేశారో ట్రాక్ చేయండి
"Track recent sales, collect unpaid balances, and reopen saved work","ఇటీవలి విక్రయాలను ట్రాక్ చేయండి, చెల్లించని బ్యాలెన్స్‌లను సేకరించండి మరియు సేవ్ చేసిన పనిని మళ్లీ తెరవండి"
Transaction ID,లావాదేవీ ID
Transfer,బదిలీ చేయండి
Try a different search term or clear the cart search.,వేరే శోధన పదాన్ని ప్రయత్నించండి లేదా కార్ట్ శోధనను క్లియర్ చేయండి.
Try adjusting your search or filters,మీ శోధన లేదా ఫిల్టర్‌లను సర్దుబాటు చేయడానికి ప్రయత్నించండి
Try another source or refresh the list.,మరొక మూలాన్ని ప్రయత్నించండి లేదా జాబితాను రిఫ్రెష్ చేయండి.
Try changing the date range or status filter.,తేదీ పరిధి లేదా స్థితి ఫిల్టర్‌ని మార్చడానికి ప్రయత్నించండి.
Type,టైప్ చేయండి
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,ప్రాథమిక సెట్టింగ్‌లతో కూడా కెమెరాను యాక్సెస్ చేయడం సాధ్యపడలేదు. దయచేసి మీ కెమెరా అనుమతులు మరియు పరికర అనుకూలతను తనిఖీ చేయండి.
Unable to add offer item {0}. Please refresh and try again.,"ఆఫర్ ఐటెమ్ {0}ని జోడించడం సాధ్యపడలేదు. దయచేసి రిఫ్రెష్ చేసి, మళ్లీ ప్రయత్నించండి."
Unable to add offer item. Please refresh and try again.,"ఆఫర్ అంశాన్ని జోడించడం సాధ్యపడలేదు. దయచేసి రిఫ్రెష్ చేసి, మళ్లీ ప్రయత్నించండి."
Unable to add scanned item.,స్కాన్ చేసిన అంశాన్ని జోడించడం సాధ్యం కాలేదు.
Unable to create purchase order,కొనుగోలు ఆర్డర్‌ని సృష్టించడం సాధ్యం కాలేదు
Unable to delete draft invoice,డ్రాఫ్ట్ ఇన్‌వాయిస్‌ని తొలగించడం సాధ్యపడలేదు
Unable to fetch documents,పత్రాలను పొందడం సాధ్యం కాలేదు
Unable to fetch draft orders,డ్రాఫ్ట్ ఆర్డర్‌లను పొందడం సాధ్యం కాలేదు
Unable to fetch invoice history,ఇన్‌వాయిస్ చరిత్రను పొందడం సాధ్యం కాలేదు
Unable to fetch M-Pesa payments,M-Pesa చెల్లింపులను పొందడం సాధ్యం కాలేదు
Unable to fetch sales orders,విక్రయాల ఆర్డర్‌లను పొందడం సాధ్యం కాలేదు
Unable to fetch unpaid invoices,చెల్లించని ఇన్‌వాయిస్‌లను పొందడం సాధ్యం కాలేదు
Unable to generate scale barcode,స్కేల్ బార్‌కోడ్‌ను రూపొందించడం సాధ్యం కాలేదు
Unable to issue gift card.,బహుమతి కార్డ్‌ని జారీ చేయడం సాధ్యపడలేదు.
Unable to load cashier PIN status.,క్యాషియర్ పిన్ స్థితిని లోడ్ చేయడం సాధ్యపడలేదు.
Unable to load document,పత్రాన్ని లోడ్ చేయడం సాధ్యపడలేదు
Unable to load draft invoice,డ్రాఫ్ట్ ఇన్‌వాయిస్‌ని లోడ్ చేయడం సాధ్యపడలేదు
Unable to load gift card balance.,బహుమతి కార్డ్ బ్యాలెన్స్‌ను లోడ్ చేయడం సాధ్యపడలేదు.
Unable to load invoice details,ఇన్‌వాయిస్ వివరాలను లోడ్ చేయడం సాధ్యపడలేదు
Unable to load parked order,పార్క్ చేసిన ఆర్డర్‌ను లోడ్ చేయడం సాధ్యపడలేదు
Unable to load the selected sales order,ఎంచుకున్న విక్రయాల ఆర్డర్‌ను లోడ్ చేయడం సాధ్యపడలేదు
Unable to prepare document,పత్రాన్ని సిద్ధం చేయడం సాధ్యపడలేదు
Unable to prepare return invoice,రిటర్న్ ఇన్‌వాయిస్‌ని సిద్ధం చేయడం సాధ్యపడలేదు
Unable to print draft invoice,డ్రాఫ్ట్ ఇన్‌వాయిస్‌ని ప్రింట్ చేయడం సాధ్యపడలేదు
Unable to print submitted invoice,సమర్పించిన ఇన్‌వాయిస్‌ని ప్రింట్ చేయడం సాధ్యపడలేదు
Unable to process document action,పత్రం చర్యను ప్రాసెస్ చేయడం సాధ్యపడలేదు
Unable to repair change allocation,మార్పు కేటాయింపును రిపేర్ చేయడం సాధ్యపడలేదు
Unable to save cashier PIN.,క్యాషియర్ పిన్‌ని సేవ్ చేయడం సాధ్యపడలేదు.
Unable to save the rate to the backend price list,బ్యాకెండ్ ధర జాబితాకు రేటును సేవ్ చేయడం సాధ్యపడలేదు
Unable to submit invoice,ఇన్‌వాయిస్‌ని సమర్పించడం సాధ్యం కాలేదు
Unable to submit the selected payment,ఎంచుకున్న చెల్లింపును సమర్పించడం సాధ్యం కాలేదు
Unable to top up gift card.,బహుమతి కార్డ్‌ని టాప్ అప్ చేయడం సాధ్యపడలేదు.
Unable to verify cashier PIN.,క్యాషియర్ పిన్‌ని ధృవీకరించడం సాధ్యపడలేదు.
Unallocated,కేటాయించబడలేదు
Unallocated:,కేటాయించబడలేదు:
Unavailable,అందుబాటులో లేదు
Unknown,తెలియదు
Unknown Item,తెలియని అంశం
Unknown Warehouse,తెలియని గిడ్డంగి
Unlock POS,POSని అన్‌లాక్ చేయండి
Unpaid,చెల్లించని
"Unselected payments stay unallocated first, then auto reconcile after submit.","ఎంపిక చేయని చెల్లింపులు ముందుగా కేటాయించబడవు, ఆపై సమర్పించిన తర్వాత స్వయంచాలకంగా పునరుద్దరించబడతాయి."
UOM,UOM
UOM not found,UOM కనుగొనబడలేదు
Update available,అప్‌డేట్ అందుబాటులో ఉంది
Update Customer,కస్టమర్‌ని అప్‌డేట్ చేయండి
Update PIN,PINని నవీకరించండి
Update Price List Rate,ధర జాబితా రేటును నవీకరించండి
Updated,నవీకరించబడింది
Updates and app info that stay out of the cashier flow.,క్యాషియర్ ఫ్లో నుండి దూరంగా ఉండే అప్‌డేట్‌లు మరియు యాప్ సమాచారం.
Updates automatically,స్వయంచాలకంగా నవీకరణలు
Usage,వాడుక
Usage Stats,వినియోగ గణాంకాలు
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,క్యాషియర్ మార్పిడి మరియు టెర్మినల్ అన్‌లాక్ కోసం 4 నుండి 8 అంకెల పిన్‌ని ఉపయోగించండి.
Use Cashier,క్యాషియర్ ఉపయోగించండి
Use date range to search for older invoices,పాత ఇన్‌వాయిస్‌ల కోసం శోధించడానికి తేదీ పరిధిని ఉపయోగించండి
"Use one field for manual code entry, barcode scans, or QR scans.","మాన్యువల్ కోడ్ ఎంట్రీ, బార్‌కోడ్ స్కాన్‌లు లేదా QR స్కాన్‌ల కోసం ఒక ఫీల్డ్‌ని ఉపయోగించండి."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS నుండి నిష్క్రమించకుండా బ్యాలెన్స్ తనిఖీలు, కొత్త జారీ మరియు టాప్ అప్‌ల కోసం ఒక వర్క్‌ఫ్లో ఉపయోగించండి."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","కాష్ చేయబడిన ముందస్తు అవసరమైన డేటాకు రిఫ్రెష్, రీబిల్డ్ లేదా డయాగ్నస్టిక్స్ రివ్యూ అవసరమైనప్పుడు ఈ విభాగాన్ని ఉపయోగించండి."
Use Western numerals,పాశ్చాత్య అంకెలను ఉపయోగించండి
Used:,వాడినది:
Using basic camera settings due to device limitations,పరికర పరిమితుల కారణంగా ప్రాథమిక కెమెరా సెట్టింగ్‌లను ఉపయోగించడం
Using cached customer balance,కాష్ చేసిన కస్టమర్ బ్యాలెన్స్‌ని ఉపయోగించడం
Valid until,వరకు చెల్లుతుంది
Variance %,వ్యత్యాసం %
Variants,రూపాంతరాలు
Variant-wise,వేరియంట్ వారీగా
Verify closing amounts for each payment method,ప్రతి చెల్లింపు పద్ధతికి ముగింపు మొత్తాలను ధృవీకరించండి
View all,అన్నీ చూడండి
View app information and current build details,యాప్ సమాచారం మరియు ప్రస్తుత బిల్డ్ వివరాలను వీక్షించండి
View Data Diagnostics,డేటా డయాగ్నోస్టిక్‌లను వీక్షించండి
View Details,వివరాలను వీక్షించండి
View invoice details,ఇన్వాయిస్ వివరాలను వీక్షించండి
View notifications,నోటిఫికేషన్‌లను వీక్షించండి
View offline invoices,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌లను వీక్షించండి
View restricted POS insights,పరిమితం చేయబడిన POS అంతర్దృష్టులను వీక్షించండి
Void Amount,చెల్లని మొత్తం
Void Count,శూన్య గణన
Voids,శూన్యాలు
Waiting for cart items,కార్ట్ వస్తువుల కోసం వేచి ఉంది
Waiting for payment...,చెల్లింపు కోసం వేచి ఉంది...
Walk-in Customer,వాక్-ఇన్ కస్టమర్
Warehouse,గిడ్డంగి
Warning: High cache usage may affect performance.,హెచ్చరిక: అధిక కాష్ వినియోగం పనితీరును ప్రభావితం చేయవచ్చు.
Warning: High lag may indicate heavy processing or browser slowness.,హెచ్చరిక: అధిక లాగ్ భారీ ప్రాసెసింగ్ లేదా బ్రౌజర్ మందగమనాన్ని సూచిస్తుంది.
Week ?,వారం ?
Week-wise,వారం వారీగా
Weight (g),బరువు (గ్రా)
Weight (grams),బరువు (గ్రాములు)
We'll let you know if an invoice fails to submit,ఇన్‌వాయిస్ సమర్పించడంలో విఫలమైతే మేము మీకు తెలియజేస్తాము
Workflow,వర్క్‌ఫ్లో
Write off amount cannot exceed the POS profile maximum of {0},రైట్ ఆఫ్ మొత్తం POS ప్రొఫైల్ గరిష్టం {0}ని మించకూడదు
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,అనుమతించబడిన పరిమితిని ({0}) మించిపోయిన మొత్తాన్ని రద్దు చేయడం. దయచేసి మిగిలిన మొత్తానికి చెల్లింపును జోడించండి.
Yes,అవును
"Yes, Cancel sale","అవును, విక్రయాన్ని రద్దు చేయి"
"Yes, Close","అవును, దగ్గరగా"
You are not allowed to print draft invoices,డ్రాఫ్ట్ ఇన్‌వాయిస్‌లను ప్రింట్ చేయడానికి మీకు అనుమతి లేదు
You are offline. Add Payment will work again when the connection is restored.,మీరు ఆఫ్‌లైన్‌లో ఉన్నారు. కనెక్షన్ పునరుద్ధరించబడినప్పుడు యాడ్ పేమెంట్ మళ్లీ పని చేస్తుంది.
You have no notifications right now,మీకు ప్రస్తుతం నోటిఫికేషన్‌లు లేవు
Your Cart,మీ కార్ట్
