Account,الحساب
No cashier PIN is set yet. Create one now.,لم يتم تعيين رقم التعريف الشخصي لأمين الصندوق حتى الآن. قم بإنشاء واحدة الآن.
No cashier profiles are available for this POS profile yet.,لا توجد ملفات تعريف أمين الصندوق متاحة لملف تعريف نقطة البيع هذا حتى الآن.
No change-allocation invoices match the current filters.,لا توجد فواتير تغيير التخصيص تتطابق مع عوامل التصفية الحالية.
No Company Selected,لم يتم تحديد أي شركة
No exact repair match found for this invoice,لم يتم العثور على تطابق إصلاح تام لهذه الفاتورة
No matching items in cart,لا توجد عناصر مطابقة في سلة التسوق
No offline sync issues recorded yet.,لم يتم تسجيل أي مشكلات في المزامنة في وضع عدم الاتصال حتى الآن.
No records found,لم يتم العثور على سجلات
No sync trigger has run yet in this session.,لم يتم تشغيل أي مشغل مزامنة حتى الآن في هذه الجلسة.
Not available,غير متوفر
Not checked,لم يتم التحقق منها
Not selected,لم يتم التحديد
Offline & Sync,غير متصل والمزامنة
Offline Capabilities,قدرات دون اتصال
Offline data status refreshed,تم تحديث حالة البيانات دون اتصال
Offline diagnostics,التشخيص دون اتصال
Offline Queue: {0},قائمة الانتظار غير المتصلة: {0}
Offline rebuild guidance,إرشادات إعادة البناء دون اتصال بالإنترنت
Offline restore is unavailable for this session.,الاستعادة دون اتصال غير متاحة لهذه الجلسة.
Offline selling is available with degraded capabilities.,البيع دون اتصال بالإنترنت متاح بقدرات متدهورة.
Offline snapshot does not match the current POS state.,لا تتطابق اللقطة دون اتصال مع حالة نقطة البيع الحالية.
Offline Status,حالة غير متصل بالشبكة
"Offline, terminal, and system controls",أدوات التحكم في وضع عدم الاتصال والمحطة الطرفية والنظام
Open actions menu,فتح قائمة الإجراءات
Open drawer,درج مفتوح
Open POS home,افتح نقطة البيع الرئيسية
options,خيارات
Overpayment change deducted: {0},تم خصم تغيير الدفع الزائد: {0}
Page unavailable offline,الصفحة غير متاحة بلا إنترنت
Paid (orig):,المدفوعة (الأصل):
Paid:,مدفوع:
Party Account,حساب الحزب
Party Type,نوع الحفلة
Pause terminal until next cashier,قم بإيقاف المحطة مؤقتًا حتى أمين الصندوق التالي
Payment Account,حساب الدفع
Payment entries processed for Invoice {0},تمت معالجة إدخالات الدفع للفاتورة {0}
Payment Entry Type,نوع إدخال الدفع
Payment of {0} received successfully.,تم استلام دفعة {0} بنجاح.
Payment request status could not be retrieved. Please try again,لا يمكن استرداد حالة طلب الدفع. يرجى المحاولة مرة أخرى
Payment submitted.,تم الدفع.
Pending count updated from {0} to {1},تم تحديث العدد المعلق من {0} إلى {1}
Pending Sales,المبيعات المعلقة
Pending sales: {0} | Cache usage: {1}%,المبيعات المعلقة: {0} | استخدام ذاكرة التخزين المؤقت: {1}%
Pending: {0},في انتظار المراجعة: {0}
Pending: {0} | Synced: {1} | Draft: {2},معلق: {0} | تمت المزامنة: {1} | مسودة: {2}
Personal,شخصي
Personal preferences adjust the current cashier experience without changing the active POS route.,تقوم التفضيلات الشخصية بضبط تجربة أمين الصندوق الحالية دون تغيير مسار نقطة البيع النشطة.
PIN confirmation does not match.,تأكيد رقم التعريف الشخصي غير متطابق.
PIN must be 4 to 8 digits.,يجب أن يتكون رقم التعريف الشخصي من 4 إلى 8 أرقام.
Please make a payment or select a payment,الرجاء إجراء الدفع أو تحديد الدفع
Please select a party,الرجاء اختيار الطرف
Please select a party before reconciling.,يرجى تحديد طرف قبل المصالحة.
Please verify the barcode or check the item's availability.,يرجى التحقق من الرمز الشريطي أو التحقق من توفر العنصر.
Points,نقاط
POS controls and maintenance,ضوابط نقاط البيع والصيانة
POS is running with limited offline prerequisites.,يتم تشغيل نقطة البيع بمتطلبات محدودة دون الاتصال بالإنترنت.
Preparing background sync,جارٍ تحضير مزامنة الخلفية
"Press OK to continue offline with a warning, or Cancel to retry.","اضغط على ""موافق"" للمتابعة دون الاتصال بالإنترنت مع ظهور تحذير، أو ""إلغاء الأمر"" لإعادة المحاولة."
Price List,قائمة الأسعار
Price list rate updated locally only,يتم تحديث سعر قائمة الأسعار محليًا فقط
Print invoice,طباعة الفاتورة
Processing payment entries for Invoice {0},معالجة إدخالات الدفع للفاتورة {0}
Quotation {0} is Submitted,تم إرسال عرض الأسعار {0}.
Quotation submitted,تم تقديم الاقتباس
QZ Tray is manually disconnected. Press Connect to enable it again.,"تم فصل درج QZ يدويًا. اضغط على ""اتصال"" لتمكينه مرة أخرى."
Ready to resume,جاهز للاستئناف
Rebuild Offline Data,إعادة بناء البيانات دون اتصال
Receive,يستلم
Received:,تلقى:
Rechecking connection,إعادة فحص الاتصال
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",أعد الاتصال بهذه الصفحة وافتحها مرة واحدة أثناء الاتصال بالإنترنت، وبعد ذلك ستتمكن عمليات التحديث دون الاتصال بالإنترنت من استعادتها.
Reconnect online to refresh cached offline data from the server.,أعد الاتصال عبر الإنترنت لتحديث البيانات غير المتصلة المخزنة مؤقتًا من الخادم.
Recreate local offline prerequisites from scratch,إعادة إنشاء المتطلبات الأساسية المحلية دون اتصال من البداية
Recv:,ريكف:
Redeem,يسترد
Redeem / Scan,تخليص / مسح
Redeem Amount,استرداد المبلغ
Redeem Mode,وضع الاسترداد
Redeemed Amount,المبلغ المسترد
Refresh Offline Data,تحديث البيانات دون اتصال
Refund,استرداد
Release Notes,ملاحظات الإصدار
Reload,إعادة تحميل
Reload customers,إعادة تحميل العملاء
Reload Workflow,إعادة تحميل سير العمل
Remove barcode item,إزالة عنصر الباركود
Remove cached data and reload the POS app,قم بإزالة البيانات المخزنة مؤقتًا وأعد تحميل تطبيق نقطة البيع
Repair Candidate,مرشح الإصلاح
Repair Change Allocation,إصلاح تخصيص التغيير
Repair requires an online connection,يتطلب الإصلاح الاتصال بالإنترنت
Repaired,تم إصلاحه
Repairing change allocation,إصلاح تخصيص التغيير
Request ID: {0},معرف الطلب: {0}
Requested route: {0},المسار المطلوب: {0}
Reset to Default,إعادة التعيين إلى الافتراضي
Resource Health,صحة الموارد
Restricted,مقيد
Restricted operational controls for supervisors only.,الضوابط التشغيلية المقيدة للمشرفين فقط.
Retry route,أعد محاولة المسار
Return items must have negative quantities,يجب أن تحتوي العناصر المرتجعة على كميات سالبة
Return total must be negative,يجب أن يكون إجمالي الإرجاع سالبًا
Sales Order {0} is Submitted,تم إرسال أمر المبيعات {0}.
Save as POS Profile Default,حفظ كملف تعريف POS الافتراضي
Save the selected printer as the POS Profile default so it shows automatically on this setup.,احفظ الطابعة المحددة باعتبارها الإعداد الافتراضي لملف تعريف نقطة البيع حتى تظهر تلقائيًا في هذا الإعداد.
Saved as draft because: {0},تم الحفظ كمسودة للأسباب التالية: {0}
Saving...,توفير...
Scale barcode settings are not configured. Using item barcode only.,لم يتم تكوين إعدادات الرمز الشريطي للمقياس. استخدام الباركود الخاص بالصنف فقط.
Scale template barcode is missing for this item/UOM. Using item barcode only.,الرمز الشريطي لقالب المقياس مفقود لهذا العنصر/وحدة القياس. استخدام الباركود الخاص بالصنف فقط.
Scan an existing card and top it up without leaving the payment flow.,قم بمسح البطاقة الموجودة ضوئيًا وقم بملئها دون مغادرة تدفق الدفع.
Scan or enter a gift card code to check balance or redeem.,امسح رمز بطاقة الهدايا ضوئيًا أو أدخله للتحقق من الرصيد أو الاسترداد.
Scan or paste the card code below.,قم بمسح أو لصق رمز البطاقة أدناه.
Scan with camera,المسح بالكاميرا
Scan-First Flow,مسح التدفق الأول
Scanning for: {0},البحث عن: {0}
Scan-Ready,جاهز للمسح الضوئي
Search Account,بحث في الحساب
Search an invoice and continue the return flow without extra steps.,ابحث في الفاتورة وتابع عملية الإرجاع دون خطوات إضافية.
Secure context (HTTPS or localhost) is required for camera access.,مطلوب سياق آمن (HTTPS أو مضيف محلي) للوصول إلى الكاميرا.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,السياق الآمن (HTTPS) مطلوب للوصول إلى الكاميرا. الرجاء استخدام HTTPS للوصول إلى الكاميرا.
Select a cashier first.,اختر أمين الصندوق أولا.
Select a customer,حدد عميلاً
Select items to sell,حدد العناصر للبيع
Select Payment Account,حدد حساب الدفع
Select the cashier who is taking over this terminal.,حدد أمين الصندوق الذي يتولى هذه المحطة.
Selected,مختارة
Selected Payments,المدفوعات المختارة
Sensitive actions kept away from quick taps.,تم تجنب الإجراءات الحساسة من النقرات السريعة.
Session,حصة
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,قم بتعيين رقم التعريف الشخصي لكل أمين صندوق في نموذج المستخدم واحتفظ بأعضاء الجهاز الطرفي المعينين في مستخدم ملف تعريف نقطة البيع.
Settings in this section update the POS workspace without changing the current route.,تعمل الإعدادات الموجودة في هذا القسم على تحديث مساحة عمل نقطة البيع دون تغيير المسار الحالي.
Shared terminal,محطة مشتركة
Show,يعرض
Show rate info,عرض معلومات السعر
Show Repair Candidates,عرض مرشحي الإصلاح
Show search tools,إظهار أدوات البحث
Show the active cart on a customer-facing screen,اعرض سلة التسوق النشطة على الشاشة التي تواجه العميل
Showing {0}-{1} of {2},عرض {0}-{1} من {2}
Sign out of the current POS session,قم بتسجيل الخروج من جلسة POS الحالية
Source Ex. Rate:,المصدر السابق. معدل:
Source Rate:,معدل المصدر:
Stock is lower than requested,المخزون أقل من المطلوب
Stock is lower than requested:\n{0},المخزون أقل من المطلوب:\n{0}
Supervisor Access,وصول المشرف
Supervisor permissions unlock issuance and reloads,أذونات المشرف تفتح الإصدار وإعادة التحميل
Supervisor Tools,أدوات المشرف
Supplier Invoices,فواتير الموردين
Supplier Payments,مدفوعات الموردين
Switch Cashier,تبديل أمين الصندوق
Switch the POS appearance theme,قم بتبديل مظهر مظهر نقطة البيع
Sync Offline Cash Movements ({0}),مزامنة الحركات النقدية دون اتصال ({0})
Sync Offline Sales,مزامنة المبيعات دون اتصال
Synced {0} offline cash movement(s).,تمت مزامنة {0} حركة (حركات) نقدية دون اتصال بالإنترنت.
Syncing items in background,مزامنة العناصر في الخلفية
System / Diagnostics,النظام / التشخيص
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",إجراءات النظام عبارة عن عناصر تحكم صيانة منخفضة التردد مثل معلومات التطبيق وتشخيصات الدعم وعناصر التحكم في الجلسة.
Tap the button below to redeem a gift card during checkout.,اضغط على الزر أدناه لاسترداد بطاقة الهدايا أثناء الخروج.
Target Ex. Rate:,الهدف السابق. معدل:
Target Rate:,المعدل المستهدف:
Terminal,صالة
Terminal & Devices,المحطة والأجهزة
Terminal locked,المحطة مغلقة
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",تؤثر الأدوات الطرفية على محطة الدفع هذه، وشاشات العرض التي تواجه العملاء، وعناصر التحكم في الطابعة/الجهاز المستقبلية.
The quantity for {0} has been adjusted to the maximum available stock.,تم تعديل كمية {0} إلى الحد الأقصى للمخزون المتاح.
The system could not retrieve the item details. Please try again.,لم يتمكن النظام من استرداد تفاصيل العنصر. يرجى المحاولة مرة أخرى.
This action now opens inside the settings workspace.,يفتح هذا الإجراء الآن داخل مساحة عمل الإعدادات.
This invoice does not need change-allocation repair,لا تحتاج هذه الفاتورة إلى إصلاح تغيير التخصيص
This invoice is already repaired,تم إصلاح هذه الفاتورة بالفعل
This POS page could not be opened offline because its code was not cached on this terminal yet.,تعذر فتح صفحة نقطة البيع هذه في وضع عدم الاتصال لأنه لم يتم تخزين الكود الخاص بها مؤقتًا على هذه الوحدة الطرفية حتى الآن.
This Serial Number {0} has already been added!,تمت إضافة هذا الرقم التسلسلي {0} بالفعل!
Toggle Theme,تبديل الموضوع
Tools,أدوات
Tools for customer-facing screens and terminal-specific actions.,أدوات للشاشات التي تواجه العملاء والإجراءات الخاصة بالمحطة.
Top Up Amount,تعبئة المبلغ
Top Up Card,بطاقة تعبئة الرصيد
Top Up Mode,وضع تعبئة الرصيد
Transaction ID,معرف المعاملة
Try a different search term or clear the cart search.,جرّب مصطلح بحث مختلفًا أو امسح بحث سلة التسوق.
Try another source or refresh the list.,جرب مصدرًا آخر أو قم بتحديث القائمة.
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,غير قادر على الوصول إلى الكاميرا حتى مع الإعدادات الأساسية. يرجى التحقق من أذونات الكاميرا وتوافق الجهاز.
Unable to add offer item {0}. Please refresh and try again.,غير قادر على إضافة عنصر العرض {0}. يرجى التحديث والمحاولة مرة أخرى.
Unable to fetch documents,غير قادر على جلب المستندات
Unable to issue gift card.,غير قادر على إصدار بطاقة الهدايا.
Unable to load cashier PIN status.,غير قادر على تحميل حالة رقم التعريف الشخصي لأمين الصندوق.
Unable to load document,غير قادر على تحميل المستند
Unable to load gift card balance.,غير قادر على تحميل رصيد بطاقة الهدايا.
Unable to load parked order,غير قادر على تحميل الطلب المتوقف
Unable to prepare document,غير قادر على إعداد الوثيقة
Unable to print submitted invoice,غير قادر على طباعة الفاتورة المقدمة
Unable to process document action,غير قادر على معالجة إجراء المستند
Unable to repair change allocation,غير قادر على إصلاح تخصيص التغيير
Unable to save cashier PIN.,غير قادر على حفظ رقم التعريف الشخصي لأمين الصندوق.
Unable to save the rate to the backend price list,غير قادر على حفظ السعر في قائمة الأسعار الخلفية
Unable to submit invoice,غير قادر على تقديم الفاتورة
Unable to top up gift card.,غير قادر على تعبئة بطاقة الهدايا.
Unable to verify cashier PIN.,غير قادر على التحقق من رقم التعريف الشخصي لأمين الصندوق.
Unallocated:,غير مخصصة:
Unavailable,غير متاح
Unlock POS,فتح نقاط البيع
"Unselected payments stay unallocated first, then auto reconcile after submit.",تظل الدفعات غير المحددة غير مخصصة أولاً، ثم تتم التسوية التلقائية بعد الإرسال.
Update PIN,تحديث رقم التعريف الشخصي
Updates and app info that stay out of the cashier flow.,التحديثات ومعلومات التطبيق التي تبقى خارج تدفق أمين الصندوق.
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,استخدم رقم التعريف الشخصي (PIN) المكون من 4 إلى 8 أرقام للتبديل بين أمين الصندوق وفتح الجهاز.
Use Cashier,استخدم أمين الصندوق
"Use one field for manual code entry, barcode scans, or QR scans.",استخدم حقلاً واحدًا لإدخال الرمز يدويًا، أو مسح الرمز الشريطي، أو مسح QR.
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",استخدم سير عمل واحد للتحقق من الرصيد والإصدار الجديد وعمليات التعبئة دون مغادرة نقطة البيع.
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",استخدم هذا القسم عندما تحتاج بيانات المتطلبات الأساسية المخزنة مؤقتًا إلى تحديث أو إعادة بناء أو مراجعة تشخيص.
Valid until,صالحة حتى
View all,عرض الكل
View app information and current build details,عرض معلومات التطبيق وتفاصيل البناء الحالية
View Data Diagnostics,عرض تشخيصات البيانات
View invoice details,عرض تفاصيل الفاتورة
View restricted POS insights,عرض رؤى نقاط البيع المقيدة
Week ?,أسبوع ؟
We'll let you know if an invoice fails to submit,سنخبرك في حالة فشل إرسال الفاتورة
Workflow,سير العمل
Write off amount cannot exceed the POS profile maximum of {0},لا يمكن أن يتجاوز مبلغ الشطب الحد الأقصى لملف تعريف نقطة البيع وهو {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,المبلغ المشطوب يتجاوز الحد المسموح به ({0}). الرجاء إضافة دفعة للمبلغ المتبقي.
Select Item,اختر صنفاً
sales persons found,مندوب مبيعات موجود
No sales persons found,لم يتم العثور على مندوبي مبيعات
ID,المعرف
TAX ID,الرقم الضريبي
Email,البريد الإلكتروني
Primary Address,العنوان الرئيسي
Customer Address created successfully.,تم إنشاء عنوان العميل بنجاح.
State,المحافظة
Barcode Printing,طباعة الباركود
No limit,بلا حد
Filter Invoices by POS Profile,تصفية الفواتير حسب ملف نقاط البيع
Search by Mobile,البحث برقم الهاتف
Add new supplier,إضافة مورد جديد
