POS Awesome,POS ግሩም
Tools for customer-facing screens and terminal-specific actions.,መሳሪያዎች ለደንበኛ ፊት ለፊት ማያ ገጾች እና ተርሚናል-ተኮር እርምጃዎች።
Top Brand,ከፍተኛ የምርት ስም
Top Category,ከፍተኛ ምድብ
Top Charge Head,ከፍተኛ ክፍያ ኃላፊ
Top Customers,ከፍተኛ ደንበኞች
Top Discount,ከፍተኛ ቅናሽ
Top Items by Location,ከፍተኛ እቃዎች በቦታ
Top Margin,ከፍተኛ ህዳግ
Top Pending,ከፍተኛ በመጠባበቅ ላይ
Top Profit Item,ከፍተኛ ትርፍ ንጥል
Top Return Items,ከፍተኛ የመመለሻ ዕቃዎች
Top Sales by Cashier,ከፍተኛ ሽያጭ በካሼር
Top Supplier,ከፍተኛ አቅራቢ
Top Suppliers by Spend,ከፍተኛ አቅራቢዎች በወጪ
Top Tables,ከፍተኛ ጠረጴዛዎች
Top Tax Head,ከፍተኛ የግብር ኃላፊ
Top Up Amount,የተጨመረው መጠን
Top Up Card,ከፍተኛ ካርድ
Top Up Mode,ወደላይ ሁነታ
Top Variant,ከፍተኛ ተለዋጭ
Total,ጠቅላላ
Total Amount,ጠቅላላ መጠን
Total Change,አጠቃላይ ለውጥ
Total Charges,ጠቅላላ ክፍያዎች
Total In,ጠቅላላ ውስጥ
Total Invoices,ጠቅላላ ደረሰኞች
Total Items,ጠቅላላ ዕቃዎች
Total Mpesa,ጠቅላላ Mpesa
Total Out,ጠቅላላ ውጭ
Total Payments,ጠቅላላ ክፍያዎች
Total Purchase,ጠቅላላ ግዢ
Total Selected :,ጠቅላላ የተመረጡ:
Total Size,ጠቅላላ መጠን
Total Stock Qty,ጠቅላላ የአክሲዮን ብዛት
Total:,ጠቅላላ፡
Totals by Invoice Currency,ድምር በክፍያ መጠየቂያ ምንዛሪ
Track how much cash was handed back to customers,ምን ያህል ጥሬ ገንዘብ ለደንበኞች እንደተመለሰ ይከታተሉ
"Track recent sales, collect unpaid balances, and reopen saved work",የቅርብ ጊዜ ሽያጮችን ይከታተሉ፣ ያልተከፈሉ ቀሪ ሂሳቦችን ይሰብስቡ እና የተቀመጠ ስራን እንደገና ይክፈቱ
Transaction ID,የግብይት መታወቂያ
Transfer,ማስተላለፍ
Try a different search term or clear the cart search.,የተለየ የፍለጋ ቃል ይሞክሩ ወይም የካርቱን ፍለጋ ያጽዱ።
Try adjusting your search or filters,ፍለጋዎን ወይም ማጣሪያዎን ለማስተካከል ይሞክሩ
Try another source or refresh the list.,ሌላ ምንጭ ይሞክሩ ወይም ዝርዝሩን ያድሱ።
Try changing the date range or status filter.,የቀን ክልልን ወይም የሁኔታ ማጣሪያን ለመቀየር ይሞክሩ።
Type,ዓይነት
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,በመሰረታዊ ቅንጅቶች እንኳን ካሜራን መድረስ አልተቻለም። እባክህ የካሜራህን ፈቃዶች እና የመሣሪያ ተኳሃኝነትን ተመልከት።
Unable to add offer item {0}. Please refresh and try again.,የቅናሽ ንጥል {0}ን ማከል አልተቻለም። እባክዎ ያድሱ እና እንደገና ይሞክሩ።
Unable to add offer item. Please refresh and try again.,የዋጋ አቅርቦትን ማከል አልተቻለም። እባክዎ ያድሱ እና እንደገና ይሞክሩ።
Unable to add scanned item.,የተቃኘ ንጥል ነገር ማከል አልተቻለም።
Unable to create purchase order,የግዢ ትዕዛዝ መፍጠር አልተቻለም
Unable to delete draft invoice,ረቂቅ ደረሰኝ መሰረዝ አልተቻለም
Unable to fetch documents,ሰነዶችን ማምጣት አልተቻለም
Unable to fetch draft orders,ረቂቅ ትዕዛዞችን ማምጣት አልተቻለም
Unable to fetch invoice history,የክፍያ መጠየቂያ ታሪክ ማምጣት አልተቻለም
Unable to fetch M-Pesa payments,የM-Pesa ክፍያዎችን ማምጣት አልተቻለም
Unable to fetch sales orders,የሽያጭ ትዕዛዞችን ማምጣት አልተቻለም
Unable to fetch unpaid invoices,ያልተከፈሉ ደረሰኞችን ማምጣት አልተቻለም
Unable to generate scale barcode,የመጠን ባር ኮድ መፍጠር አልተቻለም
Unable to issue gift card.,የስጦታ ካርድ መስጠት አልተቻለም።
Unable to load cashier PIN status.,ገንዘብ ተቀባይ ፒን ሁኔታን መጫን አልተቻለም።
Unable to load document,ሰነድ መጫን አልተቻለም
Unable to load draft invoice,ረቂቅ ደረሰኝ መጫን አልተቻለም
Unable to load gift card balance.,የስጦታ ካርድ ቀሪ ሒሳብ መጫን አልተቻለም።
Unable to load invoice details,የክፍያ መጠየቂያ ዝርዝሮችን መጫን አልተቻለም
Unable to load parked order,የቆመ ትዕዛዝ መጫን አልተቻለም
Unable to load the selected sales order,የተመረጠውን የሽያጭ ትዕዛዝ መጫን አልተቻለም
Unable to prepare document,ሰነድ ማዘጋጀት አልተቻለም
Unable to prepare return invoice,የመመለሻ ደረሰኝ ማዘጋጀት አልተቻለም
Unable to print draft invoice,ረቂቅ ደረሰኝ ማተም አልተቻለም
Unable to print submitted invoice,የቀረበውን ደረሰኝ ማተም አልተቻለም
Unable to process document action,የሰነድ እርምጃን ማካሄድ አልተቻለም
Unable to repair change allocation,የለውጥ ምደባን መጠገን አልተቻለም
Unable to save cashier PIN.,ገንዘብ ተቀባይ ፒን ማስቀመጥ አልተቻለም።
Unable to save the rate to the backend price list,ታሪፉን ወደ ኋላ የዋጋ ዝርዝር ማስቀመጥ አልተቻለም
Unable to submit invoice,ደረሰኝ ማስገባት አልተቻለም
Unable to submit the selected payment,የተመረጠውን ክፍያ ማስገባት አልተቻለም
Unable to top up gift card.,የስጦታ ካርድ መሙላት አልተቻለም።
Unable to verify cashier PIN.,ገንዘብ ተቀባይ ፒን ማረጋገጥ አልተቻለም።
Unallocated,ያልተመደበ
Unallocated:,ያልተመደበ፡
Unavailable,አይገኝም
Unknown,ያልታወቀ
Unknown Item,ያልታወቀ ንጥል
Unknown Warehouse,ያልታወቀ መጋዘን
Unlock POS,POSን ይክፈቱ
Unpaid,ያልተከፈለ
"Unselected payments stay unallocated first, then auto reconcile after submit.",ያልተመረጡ ክፍያዎች መጀመሪያ ሳይመደቡ ይቆያሉ፣ ከዚያ ካስገቡ በኋላ በራስ-ሰር ይታረቃሉ።
UOM,ዩኦኤም
UOM not found,UOM አልተገኘም።
Update available,ማዘመን አለ።
Update Customer,ደንበኛን ያዘምኑ
Update PIN,ፒን ያዘምኑ
Update Price List Rate,የዋጋ ዝርዝር ደረጃን ያዘምኑ
Updated,ተዘምኗል
Updates and app info that stay out of the cashier flow.,ከገንዘብ ተቀባይ ፍሰት ውጭ የሚቆዩ ዝማኔዎች እና የመተግበሪያ መረጃ።
Updates automatically,በራስ ሰር ይዘምናል።
Usage,አጠቃቀም
Usage Stats,የአጠቃቀም ስታቲስቲክስ
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,ለካሼር መቀያየር እና ተርሚናል ለመክፈት ከ4 እስከ 8 አሃዝ ፒን ይጠቀሙ።
Use Cashier,ገንዘብ ተቀባይ ተጠቀም
Use date range to search for older invoices,የቆዩ ደረሰኞችን ለመፈለግ የቀን ክልልን ይጠቀሙ
"Use one field for manual code entry, barcode scans, or QR scans.",በእጅ ኮድ ለማስገባት፣ የአሞሌ ኮድ ስካን ወይም የQR ስካን ለማድረግ አንድ መስክ ይጠቀሙ።
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",ከPOS ሳትለቁ ለቀሪ ሒሳብ ፍተሻ፣ ለአዲስ እትም እና ለተጨማሪ ክፍያ አንድ የስራ ፍሰት ይጠቀሙ።
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",የተሸጎጠ ቅድመ ሁኔታ ውሂብ ማደስ፣ እንደገና መገንባት ወይም የምርመራ ግምገማ ሲፈልግ ይህንን ክፍል ይጠቀሙ።
Use Western numerals,የምዕራባዊ ቁጥሮችን ተጠቀም
Used:,ጥቅም ላይ የዋለ፡
Using basic camera settings due to device limitations,በመሳሪያ ውስንነት ምክንያት መሰረታዊ የካሜራ ቅንብሮችን መጠቀም
Using cached customer balance,የተሸጎጠ የደንበኛ ሒሳብ በመጠቀም
Valid until,ድረስ የሚሰራ
Variance %,ልዩነት %
Variants,ተለዋጮች
Variant-wise,ተለዋጭ-ጥበብ
Verify closing amounts for each payment method,ለእያንዳንዱ የመክፈያ ዘዴ የመዝጊያ መጠኖችን ያረጋግጡ
View all,ሁሉንም ይመልከቱ
View app information and current build details,የመተግበሪያ መረጃ እና ወቅታዊ የግንባታ ዝርዝሮችን ይመልከቱ
View Data Diagnostics,ዳታ ዲያግኖስቲክስን ይመልከቱ
View Details,ዝርዝሮችን ይመልከቱ
View invoice details,የክፍያ መጠየቂያ ዝርዝሮችን ይመልከቱ
View notifications,ማሳወቂያዎችን ይመልከቱ
View offline invoices,ከመስመር ውጭ ደረሰኞችን ይመልከቱ
View restricted POS insights,የተገደቡ የPOS ግንዛቤዎችን ይመልከቱ
Void Amount,ባዶ መጠን
Void Count,ባዶ ቆጠራ
Voids,ባዶዎች
Waiting for cart items,የጋሪ እቃዎችን በመጠበቅ ላይ
Waiting for payment...,ክፍያ በመጠበቅ ላይ...
Walk-in Customer,የመግቢያ ደንበኛ
Warehouse,መጋዘን
Warning: High cache usage may affect performance.,ማስጠንቀቂያ፡ ከፍተኛ የመሸጎጫ አጠቃቀም አፈፃፀሙን ሊጎዳ ይችላል።
Warning: High lag may indicate heavy processing or browser slowness.,ማስጠንቀቂያ፡ ከፍተኛ መዘግየት ከባድ ሂደትን ወይም የአሳሽ ፍጥነትን ሊያመለክት ይችላል።
Week ?,ሳምንት ፧
Week-wise,በሳምንቱ-ጥበብ
Weight (g),ክብደት (ሰ)
Weight (grams),ክብደት (ግራም)
We'll let you know if an invoice fails to submit,ደረሰኝ ማስገባት ካልቻለ እናሳውቅዎታለን
Workflow,የስራ ፍሰት
Write off amount cannot exceed the POS profile maximum of {0},የጽሑፍ መጠን ከPOS መገለጫ ከፍተኛው {0} መብለጥ አይችልም
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,የጽሑፍ መጠን ከተፈቀደው ገደብ ({0}) ይበልጣል። እባክዎ ለቀሪው መጠን ክፍያ ይጨምሩ።
Yes,አዎ
"Yes, Cancel sale",አዎ፣ ሽያጩን ሰርዝ
"Yes, Close",አዎ ዝጋ
You are not allowed to print draft invoices,ረቂቅ ደረሰኞችን ማተም አልተፈቀደልዎም።
You are offline. Add Payment will work again when the connection is restored.,ከመስመር ውጭ ነዎት። ግንኙነቱ ወደነበረበት ሲመለስ ክፍያ አክል እንደገና ይሰራል።
You have no notifications right now,አሁን ምንም ማሳወቂያዎች የሉዎትም።
Your Cart,የእርስዎ ጋሪ
