POS Awesome,พีเอส สุดเจ๋ง
Unable to submit the selected payment,ไม่สามารถส่งการชำระเงินที่เลือกได้
Unable to top up gift card.,ไม่สามารถเติมเงินบัตรของขวัญได้
Unable to verify cashier PIN.,ไม่สามารถยืนยัน PIN แคชเชียร์ได้
Unallocated,ไม่ได้จัดสรร
Unallocated:,ไม่ได้จัดสรร:
Unavailable,ไม่พร้อมใช้งาน
Unknown,ไม่ทราบ
Unknown Item,รายการที่ไม่รู้จัก
Unknown Warehouse,คลังสินค้าที่ไม่รู้จัก
Unlock POS,ปลดล็อค POS
Unpaid,ค้างชำระ
"Unselected payments stay unallocated first, then auto reconcile after submit.",การชำระเงินที่ไม่ได้เลือกจะไม่มีการจัดสรรก่อน จากนั้นจะกระทบยอดอัตโนมัติหลังจากส่ง
UOM,หน่วยขาย
UOM not found,ไม่พบหน่วยขาย
Update available,อัปเดตพร้อมใช้งาน
Update Customer,อัพเดทลูกค้า
Update PIN,อัปเดต PIN
Update Price List Rate,อัปเดตอัตรารายการราคา
Updated,อัปเดตแล้ว
Updates and app info that stay out of the cashier flow.,การอัปเดตและข้อมูลแอปที่ไม่อยู่ในกระแสแคชเชียร์
Updates automatically,อัพเดตอัตโนมัติ
Usage,การใช้งาน
Usage Stats,สถิติการใช้งาน
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,ใช้ PIN 4 ถึง 8 หลักสำหรับการเปลี่ยนแคชเชียร์และการปลดล็อคเครื่อง
Use Cashier,ใช้แคชเชียร์
Use date range to search for older invoices,ใช้ช่วงวันที่เพื่อค้นหาใบแจ้งหนี้เก่า
"Use one field for manual code entry, barcode scans, or QR scans.",ใช้ช่องเดียวสำหรับการป้อนรหัสด้วยตนเอง การสแกนบาร์โค้ด หรือการสแกน QR
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",ใช้ขั้นตอนการทำงานเดียวสำหรับการตรวจสอบยอดคงเหลือ การออกใหม่ และการเติมเงินโดยไม่ต้องออกจาก POS
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",ใช้ส่วนนี้เมื่อข้อมูลข้อกำหนดเบื้องต้นที่แคชไว้ต้องการการรีเฟรช สร้างใหม่ หรือการตรวจทานการวินิจฉัย
Use Western numerals,ใช้ตัวเลขตะวันตก
Used:,ใช้แล้ว:
Using basic camera settings due to device limitations,การใช้การตั้งค่ากล้องพื้นฐานเนื่องจากข้อจำกัดของอุปกรณ์
Using cached customer balance,การใช้ยอดคงเหลือของลูกค้าที่แคชไว้
Valid until,ใช้ได้ถึงวันที่
Variance %,ความแปรปรวน %
Variants,สายพันธุ์
Variant-wise,ตัวแปรที่ชาญฉลาด
Verify closing amounts for each payment method,ตรวจสอบยอดเงินปิดบัญชีสำหรับวิธีการชำระเงินแต่ละวิธี
View all,ดูทั้งหมด
View app information and current build details,ดูข้อมูลแอปและรายละเอียดการสร้างปัจจุบัน
View Data Diagnostics,ดูการวินิจฉัยข้อมูล
View Details,ดูรายละเอียด
View invoice details,ดูรายละเอียดใบแจ้งหนี้
View notifications,ดูการแจ้งเตือน
View offline invoices,ดูใบแจ้งหนี้แบบออฟไลน์
View restricted POS insights,ดูข้อมูลเชิงลึก POS ที่จำกัด
Void Amount,จำนวนเงินที่เป็นโมฆะ
Void Count,การนับเป็นโมฆะ
Voids,ช่องว่าง
Waiting for cart items,รอสินค้าในรถเข็น
Waiting for payment...,กำลังรอการชำระเงิน...
Walk-in Customer,ลูกค้าวอล์คอิน
Warehouse,คลังสินค้า
Warning: High cache usage may affect performance.,คำเตือน: การใช้แคชสูงอาจส่งผลต่อประสิทธิภาพการทำงาน
Warning: High lag may indicate heavy processing or browser slowness.,คำเตือน: ความล่าช้าสูงอาจบ่งบอกถึงการประมวลผลที่หนักหน่วงหรือความล่าช้าของเบราว์เซอร์
Week ?,สัปดาห์ ?
Week-wise,รายสัปดาห์
Weight (g),น้ำหนัก (กรัม)
Weight (grams),น้ำหนัก (กรัม)
We'll let you know if an invoice fails to submit,เราจะแจ้งให้คุณทราบหากไม่สามารถส่งใบแจ้งหนี้ได้
Workflow,ขั้นตอนการทำงาน
Write off amount cannot exceed the POS profile maximum of {0},จำนวนเงินตัดจ่ายต้องไม่เกินโปรไฟล์ POS สูงสุด {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,จำนวนเงินตัดจ่ายเกินขีดจำกัดที่อนุญาต ({0}) กรุณาบวกการชำระเงินสำหรับจำนวนเงินที่เหลือ
Yes,ใช่
"Yes, Cancel sale",ใช่ ยกเลิกการขาย
"Yes, Close",ใช่ ปิด
You are not allowed to print draft invoices,คุณไม่ได้รับอนุญาตให้พิมพ์ใบแจ้งหนี้ฉบับร่าง
You are offline. Add Payment will work again when the connection is restored.,คุณออฟไลน์อยู่ การเพิ่มการชำระเงินจะทำงานอีกครั้งเมื่อการเชื่อมต่อกลับคืนมา
You have no notifications right now,คุณไม่มีการแจ้งเตือนในขณะนี้
Your Cart,รถเข็นของคุณ
