POS Awesome,POS અદ્ભુત
The invoice stayed in draft. Please review and submit it manually.,ઇનવોઇસ ડ્રાફ્ટમાં જ રહ્યું. કૃપા કરીને સમીક્ષા કરો અને તેને મેન્યુઅલી સબમિટ કરો.
The maximum discount allowed is,મંજૂર મહત્તમ ડિસ્કાઉન્ટ છે
The quantity for {0} has been adjusted to the maximum available stock.,{0} માટેનો જથ્થો મહત્તમ ઉપલબ્ધ સ્ટોકમાં સમાયોજિત કરવામાં આવ્યો છે.
The system could not retrieve the item details. Please try again.,સિસ્ટમ આઇટમની વિગતો પુનઃપ્રાપ્ત કરી શકી નથી. કૃપા કરીને ફરી પ્રયાસ કરો.
These invoices will be synced when connection is restored,જ્યારે કનેક્શન પુનઃસ્થાપિત થશે ત્યારે આ ઇન્વૉઇસેસ સિંક કરવામાં આવશે
This action now opens inside the settings workspace.,આ ક્રિયા હવે સેટિંગ્સ વર્કસ્પેસની અંદર ખુલે છે.
This coupon already used !,આ કૂપન પહેલેથી વપરાયેલ છે!
This invoice does not need change-allocation repair,આ ઇન્વૉઇસને ફેરફાર-એલોકેશન રિપેરની જરૂર નથી
This invoice is already repaired,આ ઇન્વૉઇસ પહેલેથી જ રિપેર થયેલ છે
This is an item template. Please choose a variant.,આ એક આઇટમ ટેમ્પલેટ છે. કૃપા કરીને એક પ્રકાર પસંદ કરો.
this item,આ આઇટમ
This POS page could not be opened offline because its code was not cached on this terminal yet.,આ POS પેજ ઑફલાઇન ખોલી શકાયું નથી કારણ કે તેનો કોડ હજુ સુધી આ ટર્મિનલ પર કૅશ કરવામાં આવ્યો નથી.
This Serial Number {0} has already been added!,આ સીરીયલ નંબર {0} પહેલેથી જ ઉમેરવામાં આવ્યો છે!
Threshold,થ્રેશોલ્ડ
Time,સમય
Tip: Clear cache regularly to free up space and keep the app fast.,ટીપ: જગ્યા ખાલી કરવા અને એપ્લિકેશનને ઝડપી રાખવા માટે નિયમિતપણે કેશ સાફ કરો.
Tip: Close unused tabs or apps to reduce lag.,ટીપ: લેગ ઘટાડવા માટે નહિ વપરાયેલ ટેબ અથવા એપ્સ બંધ કરો.
Tip: Monitor slow queries and table size for optimal performance.,ટીપ: શ્રેષ્ઠ પ્રદર્શન માટે ધીમી ક્વેરીઝ અને ટેબલના કદનું નિરીક્ષણ કરો.
To Be Paid,ચૂકવવામાં આવશે
To Date,તારીખ સુધી
Today,આજે
Today Profit,આજે નફો
Today Sales,આજે વેચાણ
Toggle navigation drawer,નેવિગેશન ડ્રોઅરને ટૉગલ કરો
Toggle Theme,થીમ ટૉગલ કરો
Tools,સાધનો
Tools for customer-facing screens and terminal-specific actions.,ગ્રાહક-સામનો સ્ક્રીન અને ટર્મિનલ-વિશિષ્ટ ક્રિયાઓ માટેના સાધનો.
Top Brand,ટોચની બ્રાન્ડ
Top Category,ટોચની શ્રેણી
Top Charge Head,ટોપ ચાર્જ હેડ
Top Customers,ટોચના ગ્રાહકો
Top Discount,ટોચનું ડિસ્કાઉન્ટ
Top Items by Location,સ્થાન દ્વારા ટોચની આઇટમ્સ
Top Margin,ટોચનો માર્જિન
Top Pending,ટોચના બાકી
Top Profit Item,ટોચની નફો આઇટમ
Top Return Items,ટોચની રીટર્ન આઇટમ્સ
Top Sales by Cashier,કેશિયર દ્વારા ટોચનું વેચાણ
Top Supplier,ટોચના સપ્લાયર
Top Suppliers by Spend,ખર્ચ દ્વારા ટોચના સપ્લાયર્સ
Top Tables,ટોચના કોષ્ટકો
Top Tax Head,ટોચના ટેક્સ હેડ
Top Up Amount,ટોપ અપ રકમ
Top Up Card,ટોપ અપ કાર્ડ
Top Up Mode,ટોપ અપ મોડ
Top Variant,ટોચનું વેરિઅન્ટ
Total,કુલ
Total Amount,કુલ રકમ
Total Change,કુલ ફેરફાર
Total Charges,કુલ શુલ્ક
Total In,કુલ ઇન
Total Invoices,કુલ ઇન્વૉઇસેસ
Total Items,કુલ વસ્તુઓ
Total Mpesa,કુલ Mpesa
Total Out,કુલ આઉટ
Total Payments,કુલ ચુકવણીઓ
Total Purchase,કુલ ખરીદી
Total Selected :,કુલ પસંદ કરેલ:
Total Size,કુલ કદ
Total Stock Qty,કુલ સ્ટોક જથ્થો
Total:,કુલ:
Totals by Invoice Currency,ઇન્વોઇસ ચલણ દ્વારા કુલ
Track how much cash was handed back to customers,ટ્રૅક કરો કે ગ્રાહકોને કેટલી રોકડ પાછી આપવામાં આવી હતી
"Track recent sales, collect unpaid balances, and reopen saved work","તાજેતરના વેચાણને ટ્રૅક કરો, અવેતન બેલેન્સ એકત્રિત કરો અને સાચવેલ કાર્યને ફરીથી ખોલો"
Transaction ID,વ્યવહાર ID
Transfer,ટ્રાન્સફર
Try a different search term or clear the cart search.,કોઈ અલગ શોધ શબ્દ અજમાવો અથવા કાર્ટ શોધ સાફ કરો.
Try adjusting your search or filters,તમારી શોધ અથવા ફિલ્ટર્સને સમાયોજિત કરવાનો પ્રયાસ કરો
Try another source or refresh the list.,અન્ય સ્રોતનો પ્રયાસ કરો અથવા સૂચિને તાજું કરો.
Try changing the date range or status filter.,તારીખ શ્રેણી અથવા સ્થિતિ ફિલ્ટર બદલવાનો પ્રયાસ કરો.
Type,પ્રકાર
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,મૂળભૂત સેટિંગ્સ સાથે પણ કૅમેરા ઍક્સેસ કરવામાં અસમર્થ. કૃપા કરીને તમારી કેમેરા પરવાનગીઓ અને ઉપકરણ સુસંગતતા તપાસો.
Unable to add offer item {0}. Please refresh and try again.,ઑફર આઇટમ {0} ઉમેરવામાં અસમર્થ. કૃપા કરીને તાજું કરો અને ફરી પ્રયાસ કરો.
Unable to add offer item. Please refresh and try again.,ઑફર આઇટમ ઉમેરવામાં અસમર્થ. કૃપા કરીને તાજું કરો અને ફરી પ્રયાસ કરો.
Unable to add scanned item.,સ્કેન કરેલી આઇટમ ઉમેરવામાં અસમર્થ.
Unable to create purchase order,ખરીદી ઓર્ડર બનાવવામાં અસમર્થ
Unable to delete draft invoice,ડ્રાફ્ટ ઇન્વૉઇસ કાઢી નાખવામાં અસમર્થ
Unable to fetch documents,દસ્તાવેજો લાવવામાં અસમર્થ
Unable to fetch draft orders,ડ્રાફ્ટ ઓર્ડર મેળવવામાં અસમર્થ
Unable to fetch invoice history,ઇન્વૉઇસ ઇતિહાસ મેળવવામાં અસમર્થ
Unable to fetch M-Pesa payments,M-Pesa ચુકવણીઓ મેળવવામાં અસમર્થ
Unable to fetch sales orders,વેચાણ ઓર્ડર મેળવવામાં અસમર્થ
Unable to fetch unpaid invoices,અવેતન ઇન્વૉઇસ મેળવવામાં અસમર્થ
Unable to generate scale barcode,સ્કેલ બારકોડ જનરેટ કરવામાં અસમર્થ
Unable to issue gift card.,ભેટ કાર્ડ જારી કરવામાં અસમર્થ.
Unable to load cashier PIN status.,કેશિયર પિન સ્ટેટસ લોડ કરવામાં અસમર્થ.
Unable to load document,દસ્તાવેજ લોડ કરવામાં અસમર્થ
Unable to load draft invoice,ડ્રાફ્ટ ઇન્વૉઇસ લોડ કરવામાં અસમર્થ
Unable to load gift card balance.,ભેટ કાર્ડ બેલેન્સ લોડ કરવામાં અસમર્થ.
Unable to load invoice details,ઇન્વૉઇસ વિગતો લોડ કરવામાં અસમર્થ
Unable to load parked order,પાર્ક કરેલ ઓર્ડર લોડ કરવામાં અસમર્થ
Unable to load the selected sales order,પસંદ કરેલ વેચાણ ઓર્ડર લોડ કરવામાં અસમર્થ
Unable to prepare document,દસ્તાવેજ તૈયાર કરવામાં અસમર્થ
Unable to prepare return invoice,રિટર્ન ઇન્વૉઇસ તૈયાર કરવામાં અસમર્થ
Unable to print draft invoice,ડ્રાફ્ટ ઇન્વૉઇસ પ્રિન્ટ કરવામાં અસમર્થ
Unable to print submitted invoice,સબમિટ કરેલ ઇન્વૉઇસ પ્રિન્ટ કરવામાં અસમર્થ
Unable to process document action,દસ્તાવેજ ક્રિયા પર પ્રક્રિયા કરવામાં અસમર્થ
Unable to repair change allocation,ફેરફારની ફાળવણી રિપેર કરવામાં અસમર્થ
Unable to save cashier PIN.,કેશિયર પિન સાચવવામાં અસમર્થ.
Unable to save the rate to the backend price list,બેકએન્ડ કિંમત સૂચિમાં દર સાચવવામાં અસમર્થ
Unable to submit invoice,ઇન્વૉઇસ સબમિટ કરવામાં અસમર્થ
Unable to submit the selected payment,પસંદ કરેલ ચુકવણી સબમિટ કરવામાં અસમર્થ
Unable to top up gift card.,ભેટ કાર્ડ ટોપ અપ કરવામાં અસમર્થ.
Unable to verify cashier PIN.,કેશિયર પિન ચકાસવામાં અસમર્થ.
Unallocated,ફાળવેલ નથી
Unallocated:,ફાળવેલ નથી:
Unavailable,અનુપલબ્ધ
Unknown,અજ્ઞાત
Unknown Item,અજાણી આઇટમ
Unknown Warehouse,અજ્ઞાત વેરહાઉસ
Unlock POS,POS અનલૉક કરો
Unpaid,અવેતન
"Unselected payments stay unallocated first, then auto reconcile after submit.","નાપસંદ કરેલ ચૂકવણીઓ પહેલા અનલોકિત રહે છે, પછી સબમિટ કર્યા પછી સ્વતઃ સમાધાન થાય છે."
UOM,UOM
UOM not found,UOM મળ્યું નથી
Update available,અપડેટ ઉપલબ્ધ છે
Update Customer,ગ્રાહક અપડેટ કરો
Update PIN,PIN અપડેટ કરો
Update Price List Rate,ભાવ યાદી દર અપડેટ કરો
Updated,અપડેટ કરેલ
Updates and app info that stay out of the cashier flow.,અપડેટ્સ અને એપ્લિકેશન માહિતી જે કેશિયર પ્રવાહથી દૂર રહે છે.
Updates automatically,આપમેળે અપડેટ થાય છે
Usage,ઉપયોગ
Usage Stats,વપરાશના આંકડા
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,કેશિયર સ્વિચિંગ અને ટર્મિનલ અનલોક માટે 4 થી 8 અંકના પિનનો ઉપયોગ કરો.
Use Cashier,કેશિયરનો ઉપયોગ કરો
Use date range to search for older invoices,જૂના ઇન્વૉઇસેસ શોધવા માટે તારીખ શ્રેણીનો ઉપયોગ કરો
"Use one field for manual code entry, barcode scans, or QR scans.","મેન્યુઅલ કોડ એન્ટ્રી, બારકોડ સ્કેન અથવા QR સ્કેન માટે એક ફીલ્ડનો ઉપયોગ કરો."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS છોડ્યા વિના બેલેન્સ ચેક, નવા ઈશ્યુ અને ટોપ અપ માટે એક વર્કફ્લોનો ઉપયોગ કરો."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","જ્યારે કેશ્ડ પૂર્વજરૂરીયાતો ડેટાને તાજું, પુનઃબીલ્ડ અથવા ડાયગ્નોસ્ટિક્સ સમીક્ષાની જરૂર હોય ત્યારે આ વિભાગનો ઉપયોગ કરો."
Use Western numerals,પશ્ચિમી અંકોનો ઉપયોગ કરો
Used:,વપરાયેલ:
Using basic camera settings due to device limitations,ઉપકરણની મર્યાદાઓને કારણે મૂળભૂત કેમેરા સેટિંગ્સનો ઉપયોગ કરવો
Using cached customer balance,કેશ્ડ ગ્રાહક બેલેન્સનો ઉપયોગ
Valid until,સુધી માન્ય
Variance %,વિચલન %
Variants,ચલો
Variant-wise,ચલ-વાર
Verify closing amounts for each payment method,દરેક ચુકવણી પદ્ધતિ માટે બંધ રકમ ચકાસો
View all,બધા જુઓ
View app information and current build details,એપ્લિકેશન માહિતી અને વર્તમાન બિલ્ડ વિગતો જુઓ
View Data Diagnostics,ડેટા ડાયગ્નોસ્ટિક્સ જુઓ
View Details,વિગતો જુઓ
View invoice details,ઇન્વોઇસ વિગતો જુઓ
View notifications,સૂચનાઓ જુઓ
View offline invoices,ઑફલાઇન ઇન્વૉઇસ જુઓ
View restricted POS insights,પ્રતિબંધિત POS આંતરદૃષ્ટિ જુઓ
Void Amount,રદબાતલ રકમ
Void Count,રદબાતલ ગણતરી
Voids,voids
Waiting for cart items,કાર્ટ વસ્તુઓ માટે રાહ જોઈ રહ્યું છે
Waiting for payment...,ચુકવણીની રાહ જોઈ રહ્યાં છીએ...
Walk-in Customer,વૉક-ઇન ગ્રાહક
Warehouse,વેરહાઉસ
Warning: High cache usage may affect performance.,ચેતવણી: ઉચ્ચ કેશ વપરાશ પ્રભાવને અસર કરી શકે છે.
Warning: High lag may indicate heavy processing or browser slowness.,ચેતવણી: ઉચ્ચ લેગ ભારે પ્રક્રિયા અથવા બ્રાઉઝરની ધીમીતા સૂચવી શકે છે.
Week ?,અઠવાડિયું?
Week-wise,સપ્તાહ મુજબ
Weight (g),વજન (g)
Weight (grams),વજન (ગ્રામ)
We'll let you know if an invoice fails to submit,જો ઇન્વૉઇસ સબમિટ કરવામાં નિષ્ફળ જાય તો અમે તમને જણાવીશું
Workflow,વર્કફ્લો
Write off amount cannot exceed the POS profile maximum of {0},રાઈટ ઓફની રકમ POS પ્રોફાઇલ મહત્તમ {0} થી વધી શકતી નથી
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,રાઈટ ઓફની રકમ માન્ય મર્યાદા ({0}) કરતાં વધી ગઈ છે. કૃપા કરીને બાકીની રકમ માટે ચુકવણી ઉમેરો.
Yes,હા
"Yes, Cancel sale","હા, વેચાણ રદ કરો"
"Yes, Close","હા, બંધ કરો"
You are not allowed to print draft invoices,તમને ડ્રાફ્ટ ઇન્વૉઇસ છાપવાની મંજૂરી નથી
You are offline. Add Payment will work again when the connection is restored.,તમે ઑફલાઇન છો. જ્યારે કનેક્શન પુનઃસ્થાપિત થશે ત્યારે ચુકવણી ઉમેરો ફરીથી કાર્ય કરશે.
You have no notifications right now,તમારી પાસે અત્યારે કોઈ સૂચનાઓ નથી
Your Cart,તમારું કાર્ટ
