Type,Tipo
Source Ex. Rate:,Fuente Ej. Tasa:
Source Rate:,Tarifa fuente:
Stock is lower than requested,El stock es inferior al solicitado.
Stock is lower than requested:\n{0},El stock es inferior al solicitado:\n{0}
Supervisor Access,Acceso de supervisor
Supervisor permissions unlock issuance and reloads,Permisos de supervisor desbloquean emisión y recargas
Supervisor Tools,Herramientas de supervisor
Supplier Invoices,Facturas de proveedores
Supplier Payments,Pagos a proveedores
Switch Cashier,Cambiar de cajero
Switch the POS appearance theme,Cambiar el tema de apariencia del POS
Sync Offline Cash Movements ({0}),Sincronizar movimientos de efectivo fuera de línea ({0})
Sync Offline Sales,Sincronizar ventas sin conexión
Synced {0} offline cash movement(s).,{0} movimientos de efectivo fuera de línea sincronizados.
Syncing items in background,Sincronizar elementos en segundo plano
System / Diagnostics,Sistema / Diagnóstico
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Las acciones del sistema son controles de mantenimiento de baja frecuencia, como información de aplicaciones, diagnósticos de soporte y controles de sesión."
Tap the button below to redeem a gift card during checkout.,Toque el botón a continuación para canjear una tarjeta de regalo durante el proceso de pago.
Target Ex. Rate:,Objetivo Ej. Tasa:
Target Rate:,Tasa objetivo:
Terminal,terminales
Terminal & Devices,Terminales y dispositivos
Terminal locked,Terminal bloqueado
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Las herramientas de terminal afectan esta estación de pago, las pantallas orientadas al cliente y los controles futuros de impresoras/dispositivos."
The quantity for {0} has been adjusted to the maximum available stock.,La cantidad de {0} se ha ajustado al stock máximo disponible.
The system could not retrieve the item details. Please try again.,El sistema no pudo recuperar los detalles del artículo. Por favor inténtalo de nuevo.
This action now opens inside the settings workspace.,Esta acción ahora se abre dentro del espacio de trabajo de configuración.
This invoice does not need change-allocation repair,Esta factura no necesita reparación de asignación de cambio.
This invoice is already repaired,Esta factura ya está reparada.
This POS page could not be opened offline because its code was not cached on this terminal yet.,Esta página de POS no se pudo abrir sin conexión porque su código aún no estaba almacenado en caché en este terminal.
This Serial Number {0} has already been added!,¡Este número de serie {0} ya se ha agregado!
Toggle Theme,Alternar tema
Tools,Herramientas
Tools for customer-facing screens and terminal-specific actions.,Herramientas para pantallas de cara al cliente y acciones específicas de terminales.
Top Up Amount,Importe de recarga
Top Up Card,Tarjeta de recarga
Top Up Mode,Modo de recarga
Transaction ID,ID de transacción
Try a different search term or clear the cart search.,Pruebe con un término de búsqueda diferente o borre la búsqueda del carrito.
Try another source or refresh the list.,Pruebe con otra fuente o actualice la lista.
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,No se puede acceder a la cámara ni siquiera con la configuración básica. Verifique los permisos de su cámara y la compatibilidad del dispositivo.
Unable to add offer item {0}. Please refresh and try again.,No se puede agregar el artículo de oferta {0}. Actualice e inténtelo de nuevo.
Unable to fetch documents,No se pueden recuperar los documentos
Unable to issue gift card.,No se puede emitir la tarjeta de regalo.
Unable to load cashier PIN status.,No se puede cargar el estado del PIN del cajero.
Unable to load document,No se puede cargar el documento
Unable to load gift card balance.,No se puede cargar el saldo de la tarjeta de regalo.
Unable to load parked order,No se puede cargar la orden estacionada
Unable to prepare document,No se puede preparar el documento
Unable to print submitted invoice,No se puede imprimir la factura enviada
Unable to process document action,No se puede procesar la acción del documento
Unable to repair change allocation,No se puede reparar la asignación de cambios
Unable to save cashier PIN.,No se puede guardar el PIN del cajero.
Unable to save the rate to the backend price list,No se puede guardar la tarifa en la lista de precios backend
Unable to submit invoice,No se puede enviar la factura
Unable to top up gift card.,No se puede recargar la tarjeta de regalo.
Unable to verify cashier PIN.,No se puede verificar el PIN del cajero.
Unallocated:,No asignado:
Unavailable,Indisponible
Unlock POS,Desbloquear punto de venta
"Unselected payments stay unallocated first, then auto reconcile after submit.",Los pagos no seleccionados primero permanecen sin asignar y luego se concilian automáticamente después del envío.
Update PIN,Actualizar PIN
Updates and app info that stay out of the cashier flow.,Actualizaciones e información de aplicaciones que quedan fuera del flujo de caja.
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Utilice un PIN de 4 a 8 dígitos para cambiar de cajero y desbloquear terminal.
Use Cashier,Usar cajero
"Use one field for manual code entry, barcode scans, or QR scans.","Utilice un campo para la entrada manual de códigos, escaneos de códigos de barras o escaneos QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Utilice un flujo de trabajo para verificaciones de saldo, nuevas emisiones y recargas sin salir del POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Utilice esta sección cuando los datos de requisitos previos almacenados en caché necesiten una actualización, reconstrucción o revisión de diagnóstico."
Valid until,Válido hasta
View all,Ver todo
View app information and current build details,Ver información de la aplicación y detalles de compilación actuales
View Data Diagnostics,Ver diagnóstico de datos
View invoice details,Ver detalles de la factura
View restricted POS insights,Ver información restringida de POS
Week ?,Semana ?
We'll let you know if an invoice fails to submit,Le informaremos si una factura no se envía
Workflow,Flujo de trabajo
Write off amount cannot exceed the POS profile maximum of {0},El monto cancelado no puede exceder el máximo del perfil de POS de {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,El monto de cancelación excede el límite permitido ({0}). Por favor agregue el pago por el monto restante.
