POS Awesome,POS Гайхалтай
We'll let you know if an invoice fails to submit,Хэрэв нэхэмжлэхийг илгээж чадахгүй бол бид танд мэдэгдэх болно
Workflow,Ажлын урсгал
Write off amount cannot exceed the POS profile maximum of {0},Хасах дүн нь ПОС-ын профайлын дээд хэмжээ {0}-с хэтэрч болохгүй.
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Бүртгэлээс хасах дүн зөвшөөрөгдсөн хязгаараас хэтэрсэн байна ({0}). Үлдсэн дүнгийн төлбөрийг нэмнэ үү.
Yes,Тиймээ
"Yes, Cancel sale","Тийм ээ, борлуулалтыг цуцлах"
"Yes, Close","Тийм ээ, хаах"
You are not allowed to print draft invoices,Та нэхэмжлэхийн ноорог хэвлэх эрхгүй
You are offline. Add Payment will work again when the connection is restored.,Та офлайн байна. Холболт сэргээгдэх үед Төлбөр нэмэх нь дахин ажиллана.
You have no notifications right now,Танд одоогоор мэдэгдэл алга байна
Your Cart,Таны сагсанд
