POS Awesome,POS အရမ်းကောင်းတယ်။
Recreate local offline prerequisites from scratch,ဒေသတွင်း အော့ဖ်လိုင်း ကြိုတင်လိုအပ်ချက်များကို အစမှ ပြန်လည်ဖန်တီးပါ။
Recv:,Recv-
Redeem,ရွေးပါ။
Redeem / Scan,ရွေး/စကင်ဖတ်ပါ။
Redeem Amount,ပမာဏကို ရွေးပါ။
Redeem Mode,မုဒ်ကို ရွေးပါ။
Redeemed Amount,ရွေးနှုတ်ထားသောပမာဏ
Redeemed credit cannot be greater than its total.,ရွေးနှုတ်ထားသော ခရက်ဒစ်သည် ၎င်း၏စုစုပေါင်းထက် မပိုနိုင်ပါ။
Redemption and Totals,ရွေးနှုတ်ခြင်းနှင့် စုစုပေါင်းများ
Reference,အကိုးအကား
Refresh,ပြန်လည်စတင်ပါ။
Refresh Exchange Rate,လဲလှယ်နှုန်းကို ပြန်လည်စတင်ပါ။
Refresh Offline Data,အော့ဖ်လိုင်းဒေတာကို ပြန်လည်စတင်ပါ။
Refresh Printers,ပရင်တာများကို ပြန်လည်စတင်ပါ။
Refund,ပြန်အမ်းငွေ
Release Notes,ထုတ်ဝေမှုမှတ်စုများ
Reload,ပြန်တင်ပါ။
Reload customers,ဖောက်သည်များကို ပြန်တင်ပါ။
Reload Items,အရာများကို ပြန်လည်စတင်ပါ။
Reload Now,ယခု ပြန်လည်စတင်ပါ။
Reload to apply the latest changes. Your current session will be refreshed.,နောက်ဆုံးပြောင်းလဲမှုများကို အသုံးပြုရန် ပြန်လည်စတင်ပါ။ သင်၏လက်ရှိစက်ရှင်ကို ပြန်လည်စတင်ပါမည်။
Reload Workflow,အလုပ်အသွားအလာကို ပြန်လည်စတင်ပါ။
Remarks,ပြီလေ။
Remarks are required.,မှတ်ချက်များ လိုအပ်ပါသည်။
Remove,ဖယ်ရှားပါ။
Remove barcode item,ဘားကုဒ်ကို ဖယ်ရှားပါ။
Remove cached data and reload the POS app,သိမ်းဆည်းထားသော ဒေတာများကို ဖယ်ရှားပြီး POS အက်ပ်ကို ပြန်လည်စတင်ပါ။
Remove item,ပစ္စည်းကို ဖယ်ရှားပါ။
Remove Offer,ကမ်းလှမ်းချက်ကို ဖယ်ရှားပါ။
Reorder / Purchase Suggestions,ပြန်လည်မှာယူ/ဝယ်ယူမှု အကြံပြုချက်များ
Repair Candidate,ပြုပြင်ရေး ကိုယ်စားလှယ်လောင်း
Repair Change Allocation,ပြုပြင် ပြောင်းလဲခြင်း ခွဲဝေပေးခြင်း
Repair requires an online connection,ပြုပြင်ရန် အွန်လိုင်းချိတ်ဆက်မှု လိုအပ်သည်။
Repaired,ပြုပြင်သည်။
Repairing change allocation,ခွဲဝေပြောင်းလဲ ပြုပြင်ခြင်း။
Repeat Customers,ဖောက်သည်များ ပြန်လုပ်ပါ။
Repeat Rate,အဆင့်သတ်မှတ်ပါ။
Request,တောင်းဆိုခြင်း။
Request ID: {0},တောင်းဆိုချက် ID- {0}
Request Payment,ငွေပေးချေမှုကို တောင်းဆိုပါ။
Requested route: {0},တောင်းဆိုထားသော လမ်းကြောင်း- {0}
Required columns cannot be hidden,လိုအပ်သောကော်လံများကို ဝှက်၍မရပါ။
Reset,ပြန်လည်သတ်မှတ်ပါ။
Reset item name,ပစ္စည်းအမည်ကို ပြန်လည်သတ်မှတ်ပါ။
Reset to Default,မူရင်းသို့ ပြန်လည်သတ်မှတ်ပါ။
Resource Health,အရင်းအမြစ်ကျန်းမာရေး
Restricted,ကန့်သတ်ထားသည်။
Restricted operational controls for supervisors only.,ကြီးကြပ်ရေးမှူးများအတွက်သာ ကန့်သတ်ထားသော လည်ပတ်ထိန်းချုပ်မှုများ။
Retry,ပြန်ကြိုးစားပါ။
Retry route,လမ်းကြောင်းကို ပြန်စမ်းကြည့်ပါ။
Return,ပြန်လာ
Return Amount,ပြန်ပေးငွေပမာဏ
Return Count,Return Count
Return items must have negative quantities,ပြန်ပို့သည့်ပစ္စည်းများတွင် အနုတ်ပမာဏများ ရှိရမည်။
Return total must be negative,ပြန်အမ်းငွေစုစုပေါင်းသည် အနှုတ်ဖြစ်ရပါမည်။
Return Valid Until,ပြန်လာသည်အထိ အကျုံးဝင်သည်။
Return window passed,Return window ကျော်သွားပါပြီ။
Return without Invoice,ပြေစာမပါဘဲ ပြန်လာပါ။
Returns,ပြန်လာသည်
Returns / Voids / Discounts,ပြန်ပေးသည် / ပျက်ပြယ် / လျှော့စျေးများ
Returns by Currency,ငွေကြေးဖြင့် ပြန်ပေးသည်။
Revenue,ဝင်ငွေ
Review shift totals before submitting the closing entry,နိဂုံးချုပ်စာရင်းကို မတင်သွင်းမီ ဆိုင်းငံ့ထားမှု စုစုပေါင်းကို ပြန်လည်သုံးသပ်ပါ။
Round Off,အလှည့်ကျ
Rows,အတန်းလိုက်
Rows:,အတန်းများ-
Rule,စည်းကမ်း
Sale,ရောင်းရန်
Sales,အရောင်း
Sales Order {0} is Submitted,အရောင်းအမှာစာ {0} ကို တင်ပြထားပါသည်။
Sales Person and Print,အရောင်းဝန်ထမ်းနှင့် ပုံနှိပ်ခြင်း။
Sales Person not found,အရောင်းဝန်ထမ်းမတွေ့ပါ။
Sales processed,ရောင်းချခြင်းများ ဆောင်ရွက်ပြီးဖြစ်သည်။
Sales Return,အရောင်းပြန်
Sales Trend Report,အရောင်းလမ်းကြောင်း အစီရင်ခံစာ
Save,သိမ်းဆည်းပါ။
Save & Clear,သိမ်းဆည်းပြီး ရှင်းလင်းပါ။
Save as POS Profile Default,POS Profile မူရင်းအဖြစ် သိမ်းဆည်းပါ။
Save Settings,ဆက်တင်များကို သိမ်းဆည်းပါ။
Save the selected printer as the POS Profile default so it shows automatically on this setup.,ရွေးချယ်ထားသော ပရင်တာအား POS Profile ပုံသေအဖြစ် သိမ်းဆည်းထားသောကြောင့် ၎င်းသည် ဤတပ်ဆင်မှုတွင် အလိုအလျောက်ပြသသည်။
Saved as draft because: {0},အကြမ်းအဖြစ် သိမ်းဆည်းထားသောကြောင့်- {0}
Saving...,သိမ်းဆည်းနေသည်...
Scale barcode detected. Quantity here is the number of labels to print.,စကေးဘားကုဒ်ကို တွေ့ရှိခဲ့သည်။ ဤနေရာတွင် အရေအတွက်သည် ပုံနှိပ်ရန် အညွှန်းအရေအတွက်ဖြစ်သည်။
Scale barcode settings are not configured. Using item barcode only.,စကေးဘားကုဒ်ဆက်တင်များကို ပြင်ဆင်မထားပါ။ ပစ္စည်းဘားကုဒ်ကိုသာ အသုံးပြုခြင်း။
Scale template barcode is missing for this item/UOM. Using item barcode only.,ဤအရာ/UOM အတွက် စကေးပုံစံ ဘားကုဒ် ပျောက်ဆုံးနေပါသည်။ ပစ္စည်းဘားကုဒ်ကိုသာ အသုံးပြုခြင်း။
Scan an existing card and top it up without leaving the payment flow.,ရှိပြီးသားကတ်ကို စကင်ဖတ်ပြီး ငွေပေးချေမှုလမ်းကြောင်းကို ချန်မထားဘဲ ငွေဖြည့်ပါ။
Scan Error,စကင်န်အမှား
Scan or enter a gift card code to check balance or redeem.,လက်ကျန်ငွေကို စစ်ဆေးရန် သို့မဟုတ် ကူပွန်ဖြင့် ဝယ်ယူရန် လက်ဆောင်ကတ်ကုဒ်ကို စကင်ဖတ်ပါ သို့မဟုတ် ထည့်ပါ။
Scan or paste the card code below.,အောက်ပါကတ်ကုဒ်ကို စကင်ဖတ်ပါ သို့မဟုတ် ကူးထည့်ပါ။
Scan QR Code/Barcode,QR ကုဒ်/ဘားကုဒ် စကင်န်ဖတ်ပါ။
Scan with camera,ကင်မရာဖြင့် စကင်န်ဖတ်ပါ။
Scan-First Flow,Scan-First Flow
Scanned Code:,စကင်ဖတ်ထားသော ကုဒ်-
Scanning for: {0},ရှာဖွေနေသည်- {0}
Scanning items,ပစ္စည်းများကို စကင်န်ဖတ်ခြင်း။
Scan-Ready,စကင်န်ဖတ်ရန်
Scope,အတိုင်းအတာ
Scope: All Profiles,နယ်ပယ်- ပရိုဖိုင်များအားလုံး
Scope: Current Profile,နယ်ပယ်- လက်ရှိ ပရိုဖိုင်
Scope: Specific Profile,နယ်ပယ်- သီးခြားပရိုဖိုင်
Search,ရှာရန်
Search Account,အကောင့်ရှာပါ။
Search an invoice and continue the return flow without extra steps.,ပြေစာတစ်စောင်ကို ရှာဖွေပြီး အပိုအဆင့်များမပါဘဲ ပြန်လာမှုကို ဆက်လက်လုပ်ဆောင်ပါ။
Search customer,ဖောက်သည်ရှာပါ။
Search invoices or customers,ပြေစာများ သို့မဟုတ် ဖောက်သည်များကို ရှာဖွေပါ။
Search item,အကြောင်းအရာကို ရှာပါ။
Search item / code,ပစ္စည်း/ကုဒ်ကို ရှာပါ။
Search items or barcode,အရာများ သို့မဟုတ် ဘားကုဒ်ကို ရှာဖွေပါ။
Search Mpesa Payments,Mpesa ငွေပေးချေမှုများကို ရှာပါ။
Search return invoices or customers,ပြန်ပို့ငွေတောင်းခံလွှာများ သို့မဟုတ် ဖောက်သည်များကို ရှာဖွေပါ။
Search supplier,ပေးသွင်းသူကို ရှာပါ။
Search unpaid invoices or customers,အခပေးမထားသော ငွေတောင်းခံလွှာများ သို့မဟုတ် ဖောက်သည်များကို ရှာဖွေပါ။
Secure context (HTTPS or localhost) is required for camera access.,ကင်မရာအသုံးပြုခွင့်အတွက် လုံခြုံသောအကြောင်းအရာ (HTTPS သို့မဟုတ် localhost) လိုအပ်သည်။
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,ကင်မရာဝင်ရောက်ခွင့်အတွက် လုံခြုံသောအကြောင်းအရာ (HTTPS) လိုအပ်သည်။ ကင်မရာကိုဝင်ရောက်ရန် HTTPS ကိုသုံးပါ။
Select,ရွေးချယ်ပါ။
Select a cashier first.,ငွေကိုင်တစ်ဦးကို ဦးစွာရွေးချယ်ပါ။
Select a customer,ဖောက်သည်တစ်ဦးကို ရွေးချယ်ပါ။
Select a customer to use coupon,ကူပွန်အသုံးပြုရန် ဝယ်ယူသူအား ရွေးချယ်ပါ။
Select a printer to use QZ silent printing.,QZ အသံတိတ်ပုံနှိပ်ခြင်းကို အသုံးပြုရန် ပရင်တာတစ်ခုကို ရွေးပါ။
Select Batch,Batch ကို ရွေးပါ။
Select Columns to Display,ပြသရန် ကော်လံများကို ရွေးပါ။
Select items to sell,ရောင်းချမည့်ပစ္စည်းများကို ရွေးချယ်ပါ။
Select Payment,ငွေပေးချေမှုကို ရွေးချယ်ပါ။
Select Payment Account,ငွေပေးချေမှုအကောင့်ကို ရွေးပါ။
Select printer,ပုံနှိပ်စက်ကို ရွေးပါ။
Select Return Invoice,Return Invoice ကို ရွေးပါ။
Select S.O,S.O ကိုရွေးပါ။
Select Sales Orders,အရောင်းအမှာစာများကို ရွေးပါ။
Select the cashier who is taking over this terminal.,ဤ terminal ကို တာဝန်ယူမည့် ငွေကိုင်သူကို ရွေးပါ။
Selected,ရွေးချယ်ခဲ့သည်။
Selected movement type is not allowed by POS Profile.,ရွေးချယ်ထားသော လှုပ်ရှားမှုအမျိုးအစားကို POS Profile မှ ခွင့်မပြုပါ။
Selected Payments,ရွေးချယ်ထားသော ငွေပေးချေမှုများ
Sensitive actions kept away from quick taps.,ထိလွယ်ရှလွယ်သော လုပ်ဆောင်ချက်များသည် အမြန်ထိခြင်းမှ ကင်းဝေးသည်။
Serial,အမှတ်စဉ်
Serial Numbers,နံပါတ်စဉ်များ
Server CPU Usage:,ဆာဗာ CPU အသုံးပြုမှု-
Server Health,ဆာဗာကျန်းမာရေး
Server Memory Usage:,ဆာဗာမှတ်ဉာဏ်အသုံးပြုမှု-
Server Metrics,ဆာဗာမက်ထရစ်များ
Server Uptime:,ဆာဗာဖွင့်ချိန်-
Service Charges,ဝန်ဆောင်ခများ
Session,အပိုင်း
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ငွေကိုင် PIN တစ်ခုစီကို အသုံးပြုသူပုံစံတွင် သတ်မှတ်ပြီး POS ပရိုဖိုင်အသုံးပြုသူတွင် သတ်မှတ်ထားသော terminal အဖွဲ့ဝင်များကို ထားရှိပါ။
Settings,ဆက်တင်များ
Settings in this section update the POS workspace without changing the current route.,ဤကဏ္ဍရှိ ဆက်တင်များသည် လက်ရှိလမ်းကြောင်းကို မပြောင်းလဲဘဲ POS အလုပ်ခွင်ကို အပ်ဒိတ်လုပ်ပါ။
Setup complete!,စနစ်ထည့်သွင်းမှု ပြီးပါပြီ။
Share,မျှဝေပါ။
Shared terminal,Shared terminal
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,Shift Overview
Show,ရှိုး
Show cart on customer-facing screen,ဖောက်သည်မျက်နှာစာ မျက်နှာပြင်တွင် လှည်းကို ပြပါ။
Show last invoice rate,နောက်ဆုံး ပြေစာနှုန်းထားကို ပြပါ။
Show rate info,နှုန်းထားအချက်အလက်ကို ပြပါ။
Show Repair Candidates,ပြုပြင်ရေး ကိုယ်စားလှယ်လောင်းများကို ပြပါ။
Show search tools,ရှာဖွေရေးကိရိယာများကို ပြသပါ။
Show the active cart on a customer-facing screen,ဖောက်သည်မျက်နှာစာ မျက်နှာပြင်ပေါ်တွင် လက်ရှိ တွန်းလှည်းကို ပြသပါ။
Showing {0}-{1} of {2},{2} မှ {0}-{1} ကို ပြသသည်
Showing 0 of 0,၀ အပါအ၀င် ဖေါ်ပြသည်။
Shows the distribution of invoices per currency,ငွေကြေးတစ်ခုစီအတွက် ငွေတောင်းခံလွှာများ ဖြန့်ဖြူးမှုကို ပြသသည်။
Sign out of the current POS session,လက်ရှိ POS စက်ရှင်မှ ထွက်ပါ။
Size:,အရွယ်အစား-
Skipped Payments,ကျော်သွားသော ငွေပေးချေမှုများ
Skipping items without barcodes,ဘားကုဒ်မပါသော အရာများကို ကျော်ခြင်း။
Slow Moving,နှေးကွေးစွာ ရွေ့လျားခြင်း။
Slow Moving Items,နှေးကွေးသော အရာများ ရွေ့လျားခြင်း။
Slow Queries:,နှေးကွေးသော မေးခွန်းများ-
Sold,ရောင်းတယ်။
Source,အရင်းအမြစ်
Source Cash Account (Optional Override),အရင်းအမြစ် ငွေသားအကောင့် (ချန်လှပ်ထားနိုင်သည်)
Source Ex. Rate:,အရင်းအမြစ်ထွ အဆင့်-
Source Rate:,အရင်းအမြစ်အဆင့်-
Specific Profile,တိကျသော Profile
Split Invoices,ပြေစာများ ခွဲထုတ်ပါ။
Staff / Cashier Performance Report,ဝန်ထမ်း/ငွေကိုင်လုပ်ငန်းဆောင်ရွက်မှုအစီရင်ခံစာ
Status,အဆင့်အတန်း
Stock,စတော့
Stock Information,စတော့ရှယ်ယာအချက်အလက်
Stock is lower than requested,စတော့က တောင်းဆိုထားတာထက် နိမ့်တယ်။
Stock is lower than requested:\n{0},စတော့က တောင်းဆိုထားသည်ထက် နိမ့်သည်-\n{0}
Stock Movement Report,စတော့ရှယ်ယာလှုပ်ရှားမှုအစီရင်ခံစာ
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,စတော့ခ်အပ်ဒိတ်- {0} တွင် {1} ရနိုင်သည်။ {2} ကို ထည့်ခြင်းဖြင့် စတော့ကို သုညအောက် ရောက်စေလိမ့်မည်။
Submit,တင်ပြပါ။
Submit & Print,တင်သွင်း & ပုံနှိပ်ပါ။
Submit Deposit,Deposit တင်ပါ။
Submit Expense,ကုန်ကျစရိတ်တင်ပြပါ။
Submitted,တင်ပြလိုက်ပါသည်။
Submitted Cash Movements,ငွေသားလှုပ်ရှားမှုများကို တင်သွင်းခဲ့သည်။
Submitted entries,တင်သွင်းမှုများ
Successfully scanned:,အောင်မြင်စွာ စကင်ဖတ်ပြီးပါပြီ-
Suggested,အကြံပြုသည်။
Suggested Qty,အကြံပြုထားသော အရေအတွက်
Supervisor Access,Supervisor Access
Supervisor permissions unlock issuance and reloads,ကြီးကြပ်ရေးမှူး၏ ခွင့်ပြုချက်သည် ထုတ်ပေးခြင်းနှင့် ပြန်လည်စတင်ခြင်းများကို လော့ခ်ဖွင့်ပေးသည်။
Supervisor Tools,ကြီးကြပ်ရေးကိရိယာများ
Supplier,ပေးသွင်းသည်။
Supplier and dates are required.,ပေးသွင်းသူနှင့် ရက်စွဲများ လိုအပ်ပါသည်။
Supplier Invoices,ပေးသွင်းသူ ငွေတောင်းခံလွှာများ
Supplier is required.,ပေးသွင်းရန် လိုအပ်ပါသည်။
Supplier name is required,ပေးသွင်းသူအမည် လိုအပ်ပါသည်။
Supplier Payments,ပေးသွင်းသူ ငွေပေးချေမှုများ
Supplier Purchase Summary,ပေးသွင်းသူ ဝယ်ယူမှု အကျဉ်းချုပ်
Suppliers,ရောင်းချသူများ
Suppliers not found,ပေးသွင်းသူများကို ရှာမတွေ့ပါ။
Switch Camera,ကင်မရာပြောင်းပါ။
Switch Cashier,ငွေကိုင်ပြောင်းပါ။
Switch the POS appearance theme,POS အသွင်အပြင် အပြင်အဆင်ကို ပြောင်းပါ။
Switched to:,သို့ပြောင်းထားသည်-
Sync All Invoices,ငွေတောင်းခံလွှာအားလုံးကို စင့်ခ်လုပ်ပါ။
Sync Offline Cash Movements ({0}),အော့ဖ်လိုင်း ငွေသားလှုပ်ရှားမှုများကို စင့်ခ်လုပ်ပါ ({0})
Sync Offline Sales,အော့ဖ်လိုင်း အရောင်းကို စင့်ခ်လုပ်ပါ။
Synced {0} offline cash movement(s).,အော့ဖ်လိုင်းငွေသားလှုပ်ရှားမှု(များ) {0} ကို စင့်ခ်လုပ်ထားသည်။
Syncing items in background,နောက်ခံရှိ အရာများကို စင့်ခ်လုပ်ခြင်း။
System / Diagnostics,စနစ်/ရောဂါရှာဖွေရေး
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",စနစ်လုပ်ဆောင်ချက်များသည် အက်ပ်အချက်အလက်၊ ပံ့ပိုးမှု အဖြေရှာခြင်းနှင့် စက်ရှင်ထိန်းချုပ်မှုများကဲ့သို့သော ကြိမ်နှုန်းနည်းသော ထိန်းသိမ်းမှုထိန်းချုပ်မှုများဖြစ်သည်။
System Information,စနစ်အချက်အလက်
System Status,စနစ်အခြေအနေ
Tables:,ဇယားများ-
Tap the button below to redeem a gift card during checkout.,ငွေရှင်းစဉ်အတွင်း လက်ဆောင်ကတ်ကို ကူပွန်ဖြင့် ကူပွန်ဖြင့် ကူပွန်ဖြင့် လဲလှယ်ရန် အောက်ပါခလုတ်ကို တို့ပါ။
Target,ပစ်မှတ်
Target Ex. Rate:,ပစ်မှတ် Ex. အဆင့်-
Target Rate:,ပစ်မှတ်နှုန်း-
Tax,ခွန်
Tax / Charges Report,အခွန်/အခကြေးငွေ အစီရင်ခံစာ
Tax Heads,အခွန်အကြီးအကဲများ
Taxable Amount,အခွန်ဆောင်ရမည့်ပမာဏ
Tendered,နုသည်။
Terminal,ဂိတ်
Terminal & Devices,Terminal နှင့် စက်များ
Terminal locked,Terminal သော့ခတ်ထားသည်။
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",Terminal ကိရိယာများသည် ဤငွေရှင်းသည့်နေရာ၊ သုံးစွဲသူမျက်နှာစာ မျက်နှာပြင်များ နှင့် အနာဂတ်ပရင်တာ/စက်ပစ္စည်းထိန်းချုပ်မှုများကို အကျိုးသက်ရောက်သည်။
Territory not found,နယ်မြေ မတွေ့
The amount paid is not complete,ပေးရတဲ့ငွေပမာဏက မပြည့်စုံပါဘူး။
The app stores data locally for offline use. This is called cache.,အက်ပ်သည် အော့ဖ်လိုင်းအသုံးပြုရန်အတွက် စက်တွင်းရှိ ဒေတာများကို သိမ်းဆည်းထားသည်။ ဒါကို cache လို့ခေါ်တယ်။
The invoice stayed in draft. Please review and submit it manually.,ပြေစာသည် မူကြမ်းတွင် ရှိနေသည်။ ကျေးဇူးပြု၍ စစ်ဆေးပြီး ၎င်းကို ကိုယ်တိုင်တင်ပြပါ။
The maximum discount allowed is,အများဆုံး လျှော့စျေးက ခွင့်ပြုပါတယ်။
The quantity for {0} has been adjusted to the maximum available stock.,{0} အတွက် ပမာဏကို အများဆုံးရရှိနိုင်သော စတော့ရှယ်ယာအဖြစ် ချိန်ညှိထားပါသည်။
The system could not retrieve the item details. Please try again.,စနစ်သည် အကြောင်းအရာအသေးစိတ်အချက်အလက်များကို ထုတ်ယူ၍မရပါ။ ထပ်စမ်းကြည့်ပါ။
These invoices will be synced when connection is restored,ချိတ်ဆက်မှုကို ပြန်လည်ရယူသည့်အခါ ဤငွေတောင်းခံလွှာများကို စင့်ခ်လုပ်ပါမည်။
This action now opens inside the settings workspace.,ဤလုပ်ဆောင်ချက်သည် ဆက်တင်များ အလုပ်ခွင်အတွင်းတွင် ယခုပွင့်သွားပါပြီ။
This coupon already used !,ဒီကူပွန်က သုံးပြီးသား။
This invoice does not need change-allocation repair,ဤပြေစာသည် အပြောင်းအလဲ-ခွဲဝေမှုကို ပြုပြင်ရန် မလိုအပ်ပါ။
This invoice is already repaired,ဤငွေတောင်းခံလွှာကို ပြုပြင်ပြီးဖြစ်သည်။
This is an item template. Please choose a variant.,ဤအရာသည် နမူနာပုံစံတစ်ခုဖြစ်သည်။ အမျိုးအစားတစ်ခုကို ရွေးပါ။
this item,ဤအရာ
This POS page could not be opened offline because its code was not cached on this terminal yet.,၎င်း၏ကုဒ်ကို ဤစက်စက်တွင် သိမ်းဆည်းထားခြင်းမရှိသေးသောကြောင့် ဤ POS စာမျက်နှာကို အော့ဖ်လိုင်းဖွင့်၍မရပါ။
This Serial Number {0} has already been added!,ဤနံပါတ်စဉ် {0} ကို ထည့်သွင်းပြီးဖြစ်သည်။
Threshold,တံခါးခုံ
Time,အချိန်
Tip: Clear cache regularly to free up space and keep the app fast.,အကြံပြုချက်- နေရာလွတ်များ ကင်းစင်စေရန်နှင့် အက်ပ်ကို မြန်ဆန်စွာ ထိန်းသိမ်းထားရန် ကက်ရှ်ကို ပုံမှန်ရှင်းလင်းပါ။
Tip: Close unused tabs or apps to reduce lag.,အကြံပြုချက်- နောက်ကျခြင်းကို လျှော့ချရန် အသုံးမပြုသော တဘ်များ သို့မဟုတ် အက်ပ်များကို ပိတ်ပါ။
Tip: Monitor slow queries and table size for optimal performance.,အကြံပြုချက်- အကောင်းဆုံးစွမ်းဆောင်ရည်အတွက် နှေးကွေးသောမေးခွန်းများနှင့် ဇယားအရွယ်အစားကို စောင့်ကြည့်ပါ။
To Be Paid,ပေးဆပ်ရန်
To Date,ယနေ့အထိ
Today,ဒီနေ့
Today Profit,ဒီနေ့ အမြတ်
Today Sales,ယနေ့ အရောင်း
Toggle navigation drawer,လမ်းညွှန်အံဆွဲကို ပြောင်းပါ။
Toggle Theme,အပြင်အဆင်ကို ပြောင်းပါ။
Tools,ကိရိယာများ
Tools for customer-facing screens and terminal-specific actions.,ဖောက်သည်မျက်နှာစာ မျက်နှာပြင်များနှင့် terminal သီးသန့်လုပ်ဆောင်ချက်များအတွက် ကိရိယာများ။
Top Brand,ထိပ်တန်းအမှတ်တံဆိပ်
Top Category,ထိပ်တန်းအမျိုးအစား
Top Charge Head,ထိပ်တန်းအားသွင်းခေါင်း
Top Customers,ထိပ်တန်းဖောက်သည်များ
Top Discount,ထိပ်တန်းလျှော့စျေး
Top Items by Location,တည်နေရာအလိုက် ထိပ်တန်းအရာများ
Top Margin,ထိပ်တန်းအနားသတ်
Top Pending,ထိပ်တန်း ဆိုင်းငံ့ထားသည်။
Top Profit Item,အမြတ်အများဆုံး ပစ္စည်း
Top Return Items,ထိပ်တန်းပြန်ပို့သောအရာများ
Top Sales by Cashier,Cashier မှ အရောင်းရဆုံး
Top Supplier,ထိပ်တန်းရောင်းချသူ
Top Suppliers by Spend,သုံးစွဲခြင်းဖြင့် ထိပ်တန်းပေးသွင်းသူများ
Top Tables,ထိပ်တန်းဇယားများ
Top Tax Head,ထိပ်တန်းအခွန်ဌာနမှူး
Top Up Amount,ငွေဖြည့်ပမာဏ
Top Up Card,ငွေဖြည့်ကတ်
Top Up Mode,ငွေဖြည့်မုဒ်
Top Variant,ထိပ်တန်းဗားရှင်း
Total,စုစုပေါင်း
Total Amount,စုစုပေါင်းပမာဏ
Total Change,စုစုပေါင်းပြောင်းလဲမှု
Total Charges,စုစုပေါင်းကောက်ခံမှုများ
Total In,စုစုပေါင်း
Total Invoices,စုစုပေါင်း ငွေတောင်းခံလွှာများ
Total Items,စုစုပေါင်းပစ္စည်းများ
Total Mpesa,စုစုပေါင်း Mpesa
Total Out,စုစုပေါင်းထွက်
Total Payments,စုစုပေါင်းငွေပေးချေမှုများ
Total Purchase,စုစုပေါင်းဝယ်ယူမှု
Total Selected :,စုစုပေါင်း ရွေးချယ်ထားသည်-
Total Size,စုစုပေါင်းအရွယ်အစား
Total Stock Qty,စုစုပေါင်းစတော့ အရေအတွက်
Total:,စုစုပေါင်း-
Totals by Invoice Currency,Invoice Currency ဖြင့် စုစုပေါင်း
Track how much cash was handed back to customers,ဖောက်သည်များထံ ငွေမည်မျှ ပြန်လည်ပေးအပ်ခဲ့သည်ကို ခြေရာခံပါ။
"Track recent sales, collect unpaid balances, and reopen saved work",မကြာသေးမီက ရောင်းချမှုများကို ခြေရာခံပါ၊ အခကြေးငွေမယူရသေးသော လက်ကျန်များကို စုဆောင်းကာ သိမ်းဆည်းထားသော အလုပ်များကို ပြန်လည်ဖွင့်ပါ။
Transaction ID,ငွေပေးငွေယူ ID
Transfer,အပြောင်းအရွှေ့
Try a different search term or clear the cart search.,အခြားရှာဖွေမှုအသုံးအနှုန်းတစ်ခုကို စမ်းကြည့်ပါ သို့မဟုတ် စျေးဝယ်လှည်းရှာဖွေမှုကို ရှင်းလင်းပါ။
Try adjusting your search or filters,သင်၏ရှာဖွေမှု သို့မဟုတ် စစ်ထုတ်မှုများကို ချိန်ညှိကြည့်ပါ။
Try another source or refresh the list.,အခြားအရင်းအမြစ်ကို စမ်းကြည့်ပါ သို့မဟုတ် စာရင်းကို ပြန်လည်စတင်ပါ။
Try changing the date range or status filter.,ရက်အပိုင်းအခြား သို့မဟုတ် အခြေအနေ စစ်ထုတ်မှုကို ပြောင်းလဲကြည့်ပါ။
Type,ရိုက်ပါ။
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,အခြေခံဆက်တင်များဖြင့်ပင် ကင်မရာကို ဝင်သုံး၍မရပါ။ ကျေးဇူးပြု၍ သင့်ကင်မရာခွင့်ပြုချက်များနှင့် စက်ပစ္စည်း၏ လိုက်ဖက်ညီမှုကို စစ်ဆေးပါ။
Unable to add offer item {0}. Please refresh and try again.,ကမ်းလှမ်းချက် အကြောင်းအရာ {0} ကို ထည့်၍မရပါ။ ကျေးဇူးပြု၍ ပြန်လည်ဆန်းသစ်ပြီး ထပ်စမ်းကြည့်ပါ။
Unable to add offer item. Please refresh and try again.,ကမ်းလှမ်းချက်ကို ထည့်၍မရပါ။ ကျေးဇူးပြု၍ ပြန်လည်ဆန်းသစ်ပြီး ထပ်စမ်းကြည့်ပါ။
Unable to add scanned item.,စကင်ဖတ်ထားသော အကြောင်းအရာကို ထည့်၍မရပါ။
Unable to create purchase order,ဝယ်ယူမှုအမှာစာ ဖန်တီး၍မရပါ။
Unable to delete draft invoice,ပြေစာမူကြမ်းကို ဖျက်၍မရပါ။
Unable to fetch documents,စာရွက်စာတမ်းများကို ထုတ်ယူ၍မရပါ။
Unable to fetch draft orders,အမှာစာမူကြမ်းကို ရယူ၍မရပါ။
Unable to fetch invoice history,ပြေစာမှတ်တမ်းကို ရယူ၍မရပါ။
Unable to fetch M-Pesa payments,M-Pesa ငွေပေးချေမှုများကို မရယူနိုင်ပါ။
Unable to fetch sales orders,အရောင်းအော်ဒါများကို ရယူ၍မရပါ။
Unable to fetch unpaid invoices,အခပေးမရသေးသော ပြေစာများကို ထုတ်ယူ၍မရပါ။
