POS Awesome,POS Φοβερό
Unable to delete draft invoice,Δεν είναι δυνατή η διαγραφή πρόχειρου τιμολογίου
Unable to fetch documents,Δεν είναι δυνατή η ανάκτηση εγγράφων
Unable to fetch draft orders,Δεν είναι δυνατή η ανάκτηση πρόχειρων παραγγελιών
Unable to fetch invoice history,Δεν είναι δυνατή η ανάκτηση του ιστορικού τιμολογίων
Unable to fetch M-Pesa payments,Δεν είναι δυνατή η ανάκτηση πληρωμών M-Pesa
Unable to fetch sales orders,Δεν είναι δυνατή η ανάκτηση παραγγελιών πωλήσεων
Unable to fetch unpaid invoices,Δεν είναι δυνατή η ανάκτηση απλήρωτων τιμολογίων
Unable to generate scale barcode,Δεν είναι δυνατή η δημιουργία γραμμικού κώδικα κλίμακας
Unable to issue gift card.,Δεν είναι δυνατή η έκδοση δωροκάρτας.
Unable to load cashier PIN status.,Δεν είναι δυνατή η φόρτωση της κατάστασης PIN του ταμείου.
Unable to load document,Δεν είναι δυνατή η φόρτωση του εγγράφου
Unable to load draft invoice,Δεν είναι δυνατή η φόρτωση του προσχεδίου τιμολογίου
Unable to load gift card balance.,Δεν είναι δυνατή η φόρτωση του υπολοίπου της δωροκάρτας.
Unable to load invoice details,Δεν είναι δυνατή η φόρτωση των στοιχείων τιμολογίου
Unable to load parked order,Δεν είναι δυνατή η φόρτωση σταθμευμένης παραγγελίας
Unable to load the selected sales order,Δεν είναι δυνατή η φόρτωση της επιλεγμένης παραγγελίας
Unable to prepare document,Δεν είναι δυνατή η προετοιμασία του εγγράφου
Unable to prepare return invoice,Δεν είναι δυνατή η προετοιμασία του τιμολογίου επιστροφής
Unable to print draft invoice,Δεν είναι δυνατή η εκτύπωση πρόχειρου τιμολογίου
Unable to print submitted invoice,Δεν είναι δυνατή η εκτύπωση του τιμολογίου που υποβλήθηκε
Unable to process document action,Δεν είναι δυνατή η επεξεργασία της ενέργειας εγγράφου
Unable to repair change allocation,Δεν είναι δυνατή η επιδιόρθωση της κατανομής αλλαγών
Unable to save cashier PIN.,Δεν είναι δυνατή η αποθήκευση του PIN του ταμείου.
Unable to save the rate to the backend price list,Δεν είναι δυνατή η αποθήκευση της τιμής στον τιμοκατάλογο του backend
Unable to submit invoice,Δεν είναι δυνατή η υποβολή τιμολογίου
Unable to submit the selected payment,Δεν είναι δυνατή η υποβολή της επιλεγμένης πληρωμής
Unable to top up gift card.,Δεν είναι δυνατή η ανανέωση της δωροκάρτας.
Unable to verify cashier PIN.,Δεν είναι δυνατή η επαλήθευση του PIN του ταμείου.
Unallocated,Μη κατανομή
Unallocated:,Μη κατανομή:
Unavailable,Μη διαθέσιμο
Unknown,Άγνωστο
Unknown Item,Άγνωστο Στοιχείο
Unknown Warehouse,Άγνωστη Αποθήκη
Unlock POS,Ξεκλείδωμα POS
Unpaid,Απλήρωτοι
"Unselected payments stay unallocated first, then auto reconcile after submit.","Οι μη επιλεγμένες πληρωμές μένουν πρώτα αδιάθετες και, στη συνέχεια, γίνεται αυτόματη συμφωνία μετά την υποβολή."
UOM,UOM
UOM not found,Το UOM δεν βρέθηκε
Update available,Διαθέσιμη ενημέρωση
Update Customer,Ενημέρωση πελάτη
Update PIN,Ενημέρωση PIN
Update Price List Rate,Ενημέρωση τιμής τιμοκαταλόγου
Updated,Ενημερώθηκε
Updates and app info that stay out of the cashier flow.,Ενημερώσεις και πληροφορίες εφαρμογών που παραμένουν εκτός ροής ταμείου.
Updates automatically,Ενημερώνεται αυτόματα
Usage,Χρήση
Usage Stats,Στατιστικά χρήσης
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Χρησιμοποιήστε ένα PIN 4 έως 8 ψηφίων για εναλλαγή ταμείου και ξεκλείδωμα τερματικού.
Use Cashier,Χρησιμοποιήστε ταμείο
Use date range to search for older invoices,Χρησιμοποιήστε το εύρος ημερομηνιών για να αναζητήσετε παλαιότερα τιμολόγια
"Use one field for manual code entry, barcode scans, or QR scans.","Χρησιμοποιήστε ένα πεδίο για χειροκίνητη εισαγωγή κωδικού, σαρώσεις γραμμωτού κώδικα ή σαρώσεις QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Χρησιμοποιήστε μία ροή εργασιών για ελέγχους υπολοίπου, νέα έκδοση και ανανεώσεις χωρίς έξοδο από το POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Χρησιμοποιήστε αυτήν την ενότητα όταν τα προαπαιτούμενα δεδομένα προσωρινής αποθήκευσης χρειάζονται ανανέωση, ανακατασκευή ή διαγνωστικό έλεγχο."
Use Western numerals,Χρησιμοποιήστε δυτικούς αριθμούς
Used:,Χρησιμοποιείται:
Using basic camera settings due to device limitations,Χρήση βασικών ρυθμίσεων κάμερας λόγω περιορισμών της συσκευής
Using cached customer balance,Χρήση αποθηκευμένου υπολοίπου πελατών
Valid until,Ισχύει μέχρι
Variance %,Διακύμανση %
Variants,Παραλλαγές
Variant-wise,Κατά παραλλαγή
Verify closing amounts for each payment method,Επαληθεύστε τα ποσά κλεισίματος για κάθε τρόπο πληρωμής
View all,Προβολή όλων
View app information and current build details,Προβολή πληροφοριών εφαρμογής και λεπτομερειών τρέχουσας κατασκευής
View Data Diagnostics,Προβολή Διαγνωστικών δεδομένων
View Details,Προβολή λεπτομερειών
View invoice details,Προβολή λεπτομερειών τιμολογίου
View notifications,Προβολή ειδοποιήσεων
View offline invoices,Προβολή τιμολογίων εκτός σύνδεσης
View restricted POS insights,Προβολή περιορισμένων πληροφοριών POS
Void Amount,Άκυρο Ποσό
Void Count,Κενός αριθμός
Voids,Κενά
Waiting for cart items,Αναμονή για είδη καλαθιού
Waiting for payment...,Αναμονή πληρωμής...
Walk-in Customer,Εσωτερικός πελάτης
Warehouse,Αποθήκη
Warning: High cache usage may affect performance.,Προειδοποίηση: Η υψηλή χρήση προσωρινής μνήμης μπορεί να επηρεάσει την απόδοση.
Warning: High lag may indicate heavy processing or browser slowness.,Προειδοποίηση: Η υψηλή καθυστέρηση μπορεί να υποδηλώνει έντονη επεξεργασία ή βραδύτητα του προγράμματος περιήγησης.
Week ?,Εβδομάδα;
Week-wise,Εβδομαδιαίως
Weight (g),Βάρος (g)
Weight (grams),Βάρος (γραμμάρια)
We'll let you know if an invoice fails to submit,Θα σας ενημερώσουμε εάν ένα τιμολόγιο δεν υποβληθεί
Workflow,Ροή εργασιών
Write off amount cannot exceed the POS profile maximum of {0},Το ποσό διαγραφής δεν μπορεί να υπερβαίνει το μέγιστο του προφίλ POS των {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Το ποσό διαγραφής υπερβαίνει το επιτρεπόμενο όριο ({0}). Προσθέστε την πληρωμή για το υπόλοιπο ποσό.
Yes,Ναι
"Yes, Cancel sale","Ναι, Ακύρωση πώλησης"
"Yes, Close","Ναι, Κλείσιμο"
You are not allowed to print draft invoices,Δεν επιτρέπεται να εκτυπώνετε πρόχειρα τιμολόγια
You are offline. Add Payment will work again when the connection is restored.,Είστε εκτός σύνδεσης. Η προσθήκη πληρωμής θα λειτουργήσει ξανά όταν αποκατασταθεί η σύνδεση.
You have no notifications right now,Δεν έχετε ειδοποιήσεις αυτήν τη στιγμή
Your Cart,Το καλάθι σας
