POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
No camera found on this device. Please ensure your device has a working camera.,ಈ ಸಾಧನದಲ್ಲಿ ಯಾವುದೇ ಕ್ಯಾಮರಾ ಕಂಡುಬಂದಿಲ್ಲ. ನಿಮ್ಮ ಸಾಧನವು ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಕ್ಯಾಮರಾವನ್ನು ಹೊಂದಿದೆಯೇ ಎಂಬುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.
No capability warnings recorded yet.,ಯಾವುದೇ ಸಾಮರ್ಥ್ಯದ ಎಚ್ಚರಿಕೆಗಳನ್ನು ಇನ್ನೂ ದಾಖಲಿಸಲಾಗಿಲ್ಲ.
No cash expected for this shift.,ಈ ಶಿಫ್ಟ್‌ಗೆ ಯಾವುದೇ ಹಣವನ್ನು ನಿರೀಕ್ಷಿಸಲಾಗುವುದಿಲ್ಲ.
No cash mode configured,ಯಾವುದೇ ನಗದು ಮೋಡ್ ಅನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಲಾಗಿಲ್ಲ
No cash movement type is allowed for this POS Profile.,ಈ POS ಪ್ರೊಫೈಲ್‌ಗೆ ಯಾವುದೇ ರೀತಿಯ ನಗದು ಚಲನೆಯನ್ನು ಅನುಮತಿಸಲಾಗುವುದಿಲ್ಲ.
No cashier PIN is set yet. Create one now.,ಯಾವುದೇ ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ಅನ್ನು ಇನ್ನೂ ಹೊಂದಿಸಲಾಗಿಲ್ಲ. ಇದೀಗ ಒಂದನ್ನು ರಚಿಸಿ.
No cashier profiles are available for this POS profile yet.,ಈ POS ಪ್ರೊಫೈಲ್‌ಗೆ ಯಾವುದೇ ಕ್ಯಾಷಿಯರ್ ಪ್ರೊಫೈಲ್‌ಗಳು ಇನ್ನೂ ಲಭ್ಯವಿಲ್ಲ.
No cashier-wise discount/void/return activity.,ಕ್ಯಾಷಿಯರ್-ವಾರು ರಿಯಾಯಿತಿ/ನಿರರ್ಥಕ/ರಿಟರ್ನ್ ಚಟುವಟಿಕೆ ಇಲ್ಲ.
No category data found.,ಯಾವುದೇ ವರ್ಗದ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No category profitability data found.,ಯಾವುದೇ ವರ್ಗದ ಲಾಭದಾಯಕತೆಯ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No change returned recorded for this shift.,ಈ ಶಿಫ್ಟ್‌ಗಾಗಿ ಯಾವುದೇ ಬದಲಾವಣೆಯನ್ನು ದಾಖಲಿಸಲಾಗಿಲ್ಲ.
No change-allocation invoices match the current filters.,ಯಾವುದೇ ಬದಲಾವಣೆ-ಹಂಚಿಕೆ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಪ್ರಸ್ತುತ ಫಿಲ್ಟರ್‌ಗಳಿಗೆ ಹೊಂದಿಕೆಯಾಗುವುದಿಲ್ಲ.
No charge head breakdown found.,ಯಾವುದೇ ಚಾರ್ಜ್ ಹೆಡ್ ಬ್ರೇಕ್‌ಡೌನ್ ಕಂಡುಬಂದಿಲ್ಲ.
No Company Selected,ಯಾವುದೇ ಕಂಪನಿಯನ್ನು ಆಯ್ಕೆ ಮಾಡಲಾಗಿಲ್ಲ
No customer sales data found.,ಗ್ರಾಹಕರ ಮಾರಾಟದ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No day-wise discount/void/return trend.,ದಿನವಾರು ರಿಯಾಯಿತಿ/ನಿರರ್ಥಕ/ವಾಪಸಾತಿ ಪ್ರವೃತ್ತಿ ಇಲ್ಲ.
No day-wise payment data found.,ಯಾವುದೇ ದಿನವಾರು ಪಾವತಿ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No day-wise profitability trend found.,ಯಾವುದೇ ದಿನವಾರು ಲಾಭದಾಯಕ ಪ್ರವೃತ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ.
No day-wise purchase data found.,ಯಾವುದೇ ದಿನವಾರು ಖರೀದಿ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No day-wise sales trend found.,ಯಾವುದೇ ದಿನವಾರು ಮಾರಾಟದ ಪ್ರವೃತ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ.
No day-wise tax/charges trend found.,ಯಾವುದೇ ದಿನವಾರು ತೆರಿಗೆ/ಶುಲ್ಕಗಳ ಪ್ರವೃತ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ.
No dead stock items.,ಡೆಡ್ ಸ್ಟಾಕ್ ಐಟಂಗಳಿಲ್ಲ.
No due date,ಅಂತಿಮ ದಿನಾಂಕವಿಲ್ಲ
No exact repair match found for this invoice,ಈ ಇನ್‌ವಾಯ್ಸ್‌ಗೆ ನಿಖರವಾದ ದುರಸ್ತಿ ಹೊಂದಾಣಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ
No hourly sales trend found for today.,ಇಂದು ಯಾವುದೇ ಗಂಟೆಯ ಮಾರಾಟದ ಪ್ರವೃತ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ.
No invoice activity found.,ಯಾವುದೇ ಸರಕುಪಟ್ಟಿ ಚಟುವಟಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ.
No invoices found,ಯಾವುದೇ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No invoices found. Try different search criteria.,ಯಾವುದೇ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಕಂಡುಬಂದಿಲ್ಲ. ವಿಭಿನ್ನ ಹುಡುಕಾಟ ಮಾನದಂಡಗಳನ್ನು ಪ್ರಯತ್ನಿಸಿ.
No invoices recorded for this shift.,ಈ ಶಿಫ್ಟ್‌ಗಾಗಿ ಯಾವುದೇ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ದಾಖಲಿಸಲಾಗಿಲ್ಲ.
No item profitability data found.,ಯಾವುದೇ ಐಟಂ ಲಾಭದಾಯಕತೆಯ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No item sales data found for this period.,ಈ ಅವಧಿಗೆ ಯಾವುದೇ ಐಟಂ ಮಾರಾಟದ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No items found,ಯಾವುದೇ ಐಟಂಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No items in cart,ಕಾರ್ಟ್‌ನಲ್ಲಿ ಯಾವುದೇ ಐಟಂಗಳಿಲ್ಲ
No items with barcodes to print,ಮುದ್ರಿಸಲು ಬಾರ್‌ಕೋಡ್‌ಗಳೊಂದಿಗೆ ಯಾವುದೇ ಐಟಂಗಳಿಲ್ಲ
No location-wise top item data found.,ಯಾವುದೇ ಸ್ಥಳ-ವಾರು ಉನ್ನತ ಐಟಂ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No low stock alerts right now.,ಇದೀಗ ಕಡಿಮೆ ಸ್ಟಾಕ್ ಎಚ್ಚರಿಕೆಗಳಿಲ್ಲ.
No low stock items.,ಕಡಿಮೆ ಸ್ಟಾಕ್ ಐಟಂಗಳಿಲ್ಲ.
No matching items in cart,ಕಾರ್ಟ್‌ನಲ್ಲಿ ಯಾವುದೇ ಹೊಂದಾಣಿಕೆಯ ಐಟಂಗಳಿಲ್ಲ
No month-wise sales trend found.,ಯಾವುದೇ ತಿಂಗಳ-ವಾರು ಮಾರಾಟದ ಪ್ರವೃತ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ.
No negative stock items.,ಯಾವುದೇ ನಕಾರಾತ್ಮಕ ಸ್ಟಾಕ್ ಐಟಂಗಳಿಲ್ಲ.
No notifications yet,ಇನ್ನೂ ಯಾವುದೇ ಅಧಿಸೂಚನೆಗಳಿಲ್ಲ
No offline cash movement synced.,ಯಾವುದೇ ಆಫ್‌ಲೈನ್ ನಗದು ಚಲನೆಯನ್ನು ಸಿಂಕ್ ಮಾಡಲಾಗಿಲ್ಲ.
No offline invoices pending synchronization,ಯಾವುದೇ ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಸಿಂಕ್ರೊನೈಸೇಶನ್ ಬಾಕಿ ಉಳಿದಿಲ್ಲ
No offline sync issues recorded yet.,ಯಾವುದೇ ಆಫ್‌ಲೈನ್ ಸಿಂಕ್ ಸಮಸ್ಯೆಗಳು ಇನ್ನೂ ದಾಖಲಾಗಿಲ್ಲ.
No out-of-stock items.,ಸ್ಟಾಕ್‌ನಿಂದ ಹೊರಗಿರುವ ವಸ್ತುಗಳು ಇಲ್ಲ.
No outstanding credit invoices for this shift.,ಈ ಶಿಫ್ಟ್‌ಗಾಗಿ ಯಾವುದೇ ಬಾಕಿ ಉಳಿದಿರುವ ಕ್ರೆಡಿಟ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳಿಲ್ಲ.
No payment collection data found.,ಯಾವುದೇ ಪಾವತಿ ಸಂಗ್ರಹ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No payment rows available on this invoice.,ಈ ಇನ್‌ವಾಯ್ಸ್‌ನಲ್ಲಿ ಯಾವುದೇ ಪಾವತಿ ಸಾಲುಗಳು ಲಭ್ಯವಿಲ್ಲ.
No payments registered for this shift.,ಈ ಶಿಫ್ಟ್‌ಗೆ ಯಾವುದೇ ಪಾವತಿಗಳನ್ನು ನೋಂದಾಯಿಸಲಾಗಿಲ್ಲ.
No pending balances in this period.,ಈ ಅವಧಿಯಲ್ಲಿ ಯಾವುದೇ ಬಾಕಿ ಉಳಿದಿಲ್ಲ.
No pending offline invoices,ಯಾವುದೇ ಬಾಕಿ ಉಳಿದಿರುವ ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳಿಲ್ಲ
No Print Formats Found,ಯಾವುದೇ ಮುದ್ರಣ ಸ್ವರೂಪಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No profiles found for selected scope. Falling back to current profile failed.,ಆಯ್ಕೆಮಾಡಿದ ಸ್ಕೋಪ್‌ಗೆ ಯಾವುದೇ ಪ್ರೊಫೈಲ್‌ಗಳು ಕಂಡುಬಂದಿಲ್ಲ. ಪ್ರಸ್ತುತ ಪ್ರೊಫೈಲ್‌ಗೆ ಹಿಂತಿರುಗುವುದು ವಿಫಲವಾಗಿದೆ.
No recent customer activity found.,ಯಾವುದೇ ಇತ್ತೀಚಿನ ಗ್ರಾಹಕ ಚಟುವಟಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ.
No recent stock entries found.,ಯಾವುದೇ ಇತ್ತೀಚಿನ ಸ್ಟಾಕ್ ನಮೂದುಗಳು ಕಂಡುಬಂದಿಲ್ಲ.
No records found,ಯಾವುದೇ ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No reorder suggestions right now.,ಇದೀಗ ಯಾವುದೇ ಮರುಕ್ರಮದ ಸಲಹೆಗಳಿಲ್ಲ.
No repeat customers in this period.,ಈ ಅವಧಿಯಲ್ಲಿ ಪುನರಾವರ್ತಿತ ಗ್ರಾಹಕರು ಇಲ್ಲ.
No response from server,ಸರ್ವರ್‌ನಿಂದ ಯಾವುದೇ ಪ್ರತಿಕ್ರಿಯೆ ಇಲ್ಲ
No return invoices found,ಯಾವುದೇ ರಿಟರ್ನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No return item trend found.,ಯಾವುದೇ ಹಿಂತಿರುಗಿಸುವ ಐಟಂ ಪ್ರವೃತ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ.
No returnable items found for this invoice,ಈ ಇನ್‌ವಾಯ್ಸ್‌ಗೆ ಹಿಂತಿರುಗಿಸಬಹುದಾದ ಯಾವುದೇ ಐಟಂಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No returns were processed in this shift.,ಈ ಶಿಫ್ಟ್‌ನಲ್ಲಿ ಯಾವುದೇ ರಿಟರ್ನ್‌ಗಳನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಿಲ್ಲ.
No risk activity found.,ಯಾವುದೇ ಅಪಾಯದ ಚಟುವಟಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ.
No sales activity found for this period.,ಈ ಅವಧಿಗೆ ಯಾವುದೇ ಮಾರಾಟ ಚಟುವಟಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ.
No slow moving items.,ನಿಧಾನವಾಗಿ ಚಲಿಸುವ ಐಟಂಗಳಿಲ್ಲ.
No staff sales activity found.,ಯಾವುದೇ ಸಿಬ್ಬಂದಿ ಮಾರಾಟ ಚಟುವಟಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ.
No stock movement for this period.,ಈ ಅವಧಿಗೆ ಯಾವುದೇ ಸ್ಟಾಕ್ ಚಲನೆ ಇಲ್ಲ.
No submitted cash movements in this shift.,ಈ ಶಿಫ್ಟ್‌ನಲ್ಲಿ ಯಾವುದೇ ಸಲ್ಲಿಸಿದ ನಗದು ಚಲನೆಗಳಿಲ್ಲ.
No supplier purchases found in this month.,ಈ ತಿಂಗಳಲ್ಲಿ ಯಾವುದೇ ಪೂರೈಕೆದಾರರ ಖರೀದಿಗಳು ಕಂಡುಬಂದಿಲ್ಲ.
No suppliers found for this period.,ಈ ಅವಧಿಗೆ ಯಾವುದೇ ಪೂರೈಕೆದಾರರು ಕಂಡುಬಂದಿಲ್ಲ.
No sync trigger has run yet in this session.,ಈ ಸೆಶನ್‌ನಲ್ಲಿ ಇನ್ನೂ ಯಾವುದೇ ಸಿಂಕ್ ಟ್ರಿಗ್ಗರ್ ರನ್ ಆಗಿಲ್ಲ.
No tax head breakdown found.,ಯಾವುದೇ ತೆರಿಗೆ ಹೆಡ್ ಬ್ರೇಕ್‌ಡೌನ್ ಕಂಡುಬಂದಿಲ್ಲ.
No top items found for this location.,ಈ ಸ್ಥಳಕ್ಕಾಗಿ ಯಾವುದೇ ಉನ್ನತ ಐಟಂಗಳು ಕಂಡುಬಂದಿಲ್ಲ.
No unpaid invoices,ಪಾವತಿಸದ ಇನ್‌ವಾಯ್ಸ್‌ಗಳಿಲ್ಲ
No variant data found.,ಯಾವುದೇ ಭಿನ್ನ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No week-wise sales trend found.,ವಾರವಾರು ಮಾರಾಟದ ಪ್ರವೃತ್ತಿ ಕಂಡುಬಂದಿಲ್ಲ.
No.,ಸಂ.
Nobile Number,ನೋಬಲ್ ಸಂಖ್ಯೆ
Not available,ಲಭ್ಯವಿಲ್ಲ
Not checked,ಪರಿಶೀಲಿಸಲಾಗಿಲ್ಲ
Not selected,ಆಯ್ಕೆಯಾಗಿಲ್ಲ
Not Set,ಹೊಂದಿಸಲಾಗಿಲ್ಲ
Notifications,ಅಧಿಸೂಚನೆಗಳು
Offer,ಆಫರ್
Offer Applied,ಆಫರ್ ಅನ್ವಯಿಸಲಾಗಿದೆ
Offer criteria exceeded,ಆಫರ್ ಮಾನದಂಡ ಮೀರಿದೆ
Offer Item,ಆಫರ್ ಐಟಂ
Offer item unavailable,ಆಫರ್ ಐಟಂ ಲಭ್ಯವಿಲ್ಲ
Offer Removed,ಆಫರ್ ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Offer UOM cannot be changed,ಆಫರ್ UOM ಅನ್ನು ಬದಲಾಯಿಸಲಾಗುವುದಿಲ್ಲ
Offer?,ಆಫರ್?
Offers,ಕೊಡುಗೆಗಳು
Offline,ಆಫ್‌ಲೈನ್
Offline & Sync,ಆಫ್‌ಲೈನ್ ಮತ್ತು ಸಿಂಕ್
Offline Capabilities,ಆಫ್‌ಲೈನ್ ಸಾಮರ್ಥ್ಯಗಳು
Offline data status refreshed,ಆಫ್‌ಲೈನ್ ಡೇಟಾ ಸ್ಥಿತಿಯನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಲಾಗಿದೆ
Offline diagnostics,ಆಫ್‌ಲೈನ್ ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್
Offline Invoices,ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು
Offline invoices status,ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್ ಸ್ಥಿತಿ
Offline invoices synced,ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಸಿಂಕ್ ಮಾಡಲಾಗಿದೆ
Offline Queue: {0},ಆಫ್‌ಲೈನ್ ಸರದಿ: {0}
Offline rebuild guidance,ಆಫ್‌ಲೈನ್ ಪುನರ್ನಿರ್ಮಾಣ ಮಾರ್ಗದರ್ಶನ
Offline restore is unavailable for this session.,ಈ ಸೆಶನ್‌ಗೆ ಆಫ್‌ಲೈನ್ ಮರುಸ್ಥಾಪನೆ ಲಭ್ಯವಿಲ್ಲ.
Offline selling is available with degraded capabilities.,ಆಫ್‌ಲೈನ್ ಮಾರಾಟವು ದುರ್ಬಲಗೊಂಡ ಸಾಮರ್ಥ್ಯಗಳೊಂದಿಗೆ ಲಭ್ಯವಿದೆ.
Offline snapshot does not match the current POS state.,ಆಫ್‌ಲೈನ್ ಸ್ನ್ಯಾಪ್‌ಶಾಟ್ ಪ್ರಸ್ತುತ POS ಸ್ಥಿತಿಗೆ ಹೊಂದಿಕೆಯಾಗುವುದಿಲ್ಲ.
Offline Status,ಆಫ್‌ಲೈನ್ ಸ್ಥಿತಿ
"Offline, terminal, and system controls","ಆಫ್‌ಲೈನ್, ಟರ್ಮಿನಲ್ ಮತ್ತು ಸಿಸ್ಟಮ್ ನಿಯಂತ್ರಣಗಳು"
OK,ಸರಿ
Online,ಆನ್ಲೈನ್
Open actions menu,ಕ್ರಿಯೆಗಳ ಮೆನು ತೆರೆಯಿರಿ
Open balance to collect,ಸಂಗ್ರಹಿಸಲು ಬ್ಯಾಲೆನ್ಸ್ ತೆರೆಯಿರಿ
Open Customer Display,ಗ್ರಾಹಕ ಪ್ರದರ್ಶನವನ್ನು ತೆರೆಯಿರಿ
Open drawer,ಡ್ರಾಯರ್ ತೆರೆಯಿರಿ
Open invoices,ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ತೆರೆಯಿರಿ
Open Payments?,ಪಾವತಿಗಳನ್ನು ತೆರೆಯುವುದೇ?
Open POS home,POS ಮುಖಪುಟವನ್ನು ತೆರೆಯಿರಿ
Open this screen from POS Menu -> Open Customer Display.,POS ಮೆನುವಿನಿಂದ ಈ ಪರದೆಯನ್ನು ತೆರೆಯಿರಿ -> ಗ್ರಾಹಕ ಪ್ರದರ್ಶನವನ್ನು ತೆರೆಯಿರಿ.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV ಇಮೇಜ್ ಪ್ರೊಸೆಸಿಂಗ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ - ವರ್ಧಿತ ಬಾರ್‌ಕೋಡ್ ಪತ್ತೆ
OpenCV image processing unavailable on this device,ಈ ಸಾಧನದಲ್ಲಿ OpenCV ಇಮೇಜ್ ಪ್ರೊಸೆಸಿಂಗ್ ಲಭ್ಯವಿಲ್ಲ
OpenCV Off,OpenCV ಆಫ್ ಆಗಿದೆ
OpenCV On,OpenCV ಆನ್
OpenCV processing disabled,OpenCV ಪ್ರಕ್ರಿಯೆ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ
Opening Amount,ತೆರೆಯುವ ಮೊತ್ತ
Opening Cash,ನಗದು ತೆರೆಯಲಾಗುತ್ತಿದೆ
options,ಆಯ್ಕೆಗಳು
Order,ಆದೇಶ
Original,ಮೂಲ
Other,ಇತರೆ
Out,ಔಟ್
Out of Stock,ಸ್ಟಾಕ್ ಮುಗಿದಿದೆ
Out of Stock Items,ಸ್ಟಾಕ್‌ನಿಂದ ಹೊರಗಿರುವ ವಸ್ತುಗಳು
Outstanding,ಮಹೋನ್ನತ
Outstanding Credit by Currency,ಕರೆನ್ಸಿ ಮೂಲಕ ಅತ್ಯುತ್ತಮ ಕ್ರೆಡಿಟ್
Overdue,ಅವಧಿ ಮೀರಿದೆ
Overpayment Change,ಅಧಿಕ ಪಾವತಿ ಬದಲಾವಣೆ
Overpayment change deducted: {0},ಅಧಿಕ ಪಾವತಿ ಬದಲಾವಣೆಯನ್ನು ಕಡಿತಗೊಳಿಸಲಾಗಿದೆ: {0}
Packing List,ಪ್ಯಾಕಿಂಗ್ ಪಟ್ಟಿ
Page Format,ಪುಟ ಸ್ವರೂಪ
Page unavailable offline,ಪುಟ ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಲಭ್ಯವಿಲ್ಲ
Paid,ಪಾವತಿಸಲಾಗಿದೆ
Paid (orig):,ಪಾವತಿಸಿದ (ಮೂಲ):
Paid Amount,ಪಾವತಿಸಿದ ಮೊತ್ತ
Paid change cannot be greater than total change!,ಪಾವತಿಸಿದ ಬದಲಾವಣೆಯು ಒಟ್ಟು ಬದಲಾವಣೆಗಿಂತ ಹೆಚ್ಚಿರಬಾರದು!
Paid:,ಪಾವತಿಸಲಾಗಿದೆ:
Parent Item,ಪೋಷಕ ಐಟಂ
Partial,ಭಾಗಶಃ
Partly Paid,ಭಾಗಶಃ ಪಾವತಿಸಲಾಗಿದೆ
Party Account,ಪಕ್ಷದ ಖಾತೆ
Party Type,ಪಕ್ಷದ ಪ್ರಕಾರ
Pause terminal until next cashier,ಮುಂದಿನ ಕ್ಯಾಷಿಯರ್ ತನಕ ಟರ್ಮಿನಲ್ ಅನ್ನು ವಿರಾಮಗೊಳಿಸಿ
PAY,ಪಾವತಿಸಿ
Payment,ಪಾವತಿ
Payment Account,ಪಾವತಿ ಖಾತೆ
Payment entries processed for Invoice {0},ಇನ್‌ವಾಯ್ಸ್ {0} ಗಾಗಿ ಪಾವತಿ ನಮೂದುಗಳನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಿದೆ
Payment Entry Type,ಪಾವತಿ ನಮೂದು ಪ್ರಕಾರ
Payment History,ಪಾವತಿ ಇತಿಹಾಸ
Payment ID,ಪಾವತಿ ID
Payment Method Report,ಪಾವತಿ ವಿಧಾನದ ವರದಿ
Payment Methods,ಪಾವತಿ ವಿಧಾನಗಳು
Payment of {0} received successfully.,{0} ಪಾವತಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸ್ವೀಕರಿಸಲಾಗಿದೆ.
Payment Progress,ಪಾವತಿಯ ಪ್ರಗತಿ
Payment Reconciliation,ಪಾವತಿ ಸಮನ್ವಯ
Payment request status could not be retrieved. Please try again,ಪಾವತಿ ವಿನಂತಿಯ ಸ್ಥಿತಿಯನ್ನು ಹಿಂಪಡೆಯಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ
Payment Request took too long to respond. Please try requesting for payment again,ಪಾವತಿ ವಿನಂತಿಯು ಪ್ರತಿಕ್ರಿಯಿಸಲು ತುಂಬಾ ಸಮಯ ತೆಗೆದುಕೊಂಡಿತು. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪಾವತಿಗಾಗಿ ವಿನಂತಿಸಲು ಪ್ರಯತ್ನಿಸಿ
Payment saved offline,ಪಾವತಿಯನ್ನು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಉಳಿಸಲಾಗಿದೆ
Payment State,ಪಾವತಿ ರಾಜ್ಯ
Payment Status,ಪಾವತಿ ಸ್ಥಿತಿ
Payment submitted but print function could not be executed. Payment name not found.,ಪಾವತಿಯನ್ನು ಸಲ್ಲಿಸಲಾಗಿದೆ ಆದರೆ ಮುದ್ರಣ ಕಾರ್ಯವನ್ನು ಕಾರ್ಯಗತಗೊಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ಪಾವತಿಯ ಹೆಸರು ಕಂಡುಬಂದಿಲ್ಲ.
Payment submitted.,ಪಾವತಿಯನ್ನು ಸಲ್ಲಿಸಲಾಗಿದೆ.
Payment Summary,ಪಾವತಿ ಸಾರಾಂಶ
Payments,ಪಾವತಿಗಳು
Payments are not open. Do you want to open payments and submit?,ಪಾವತಿಗಳು ತೆರೆದಿಲ್ಲ. ನೀವು ಪಾವತಿಗಳನ್ನು ತೆರೆಯಲು ಮತ್ತು ಸಲ್ಲಿಸಲು ಬಯಸುವಿರಾ?
Payments by Mode of Payment,ಪಾವತಿ ವಿಧಾನದಿಂದ ಪಾವತಿಗಳು
PDF,PDF
Peak Hour,ಪೀಕ್ ಅವರ್
Peak Memory:,ಗರಿಷ್ಠ ಸ್ಮರಣೆ:
Peak Server:,ಪೀಕ್ ಸರ್ವರ್:
Peak:,ಶಿಖರ:
Pending,ಬಾಕಿಯಿದೆ
Pending Amount,ಬಾಕಿ ಮೊತ್ತ
Pending count updated from {0} to {1},ಬಾಕಿಯಿರುವ ಎಣಿಕೆಯನ್ನು {0} ರಿಂದ {1} ಗೆ ನವೀಕರಿಸಲಾಗಿದೆ
Pending Exposure,ಬಾಕಿ ಉಳಿದಿದೆ
Pending Invoices,ಬಾಕಿ ಉಳಿದಿರುವ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು
Pending Ratio,ಬಾಕಿ ಇರುವ ಅನುಪಾತ
Pending Sales,ಬಾಕಿಯಿರುವ ಮಾರಾಟ
Pending sales: {0} | Cache usage: {1}%,ಬಾಕಿಯಿರುವ ಮಾರಾಟ: {0} | ಸಂಗ್ರಹ ಬಳಕೆ: {1}%
Pending Sync,ಬಾಕಿ ಉಳಿದಿರುವ ಸಿಂಕ್
Pending: {0},ಬಾಕಿ: {0}
Pending: {0} | Synced: {1} | Draft: {2},ಬಾಕಿ: {0} | ಸಿಂಕ್ ಮಾಡಲಾಗಿದೆ: {1} | ಡ್ರಾಫ್ಟ್: {2}
Per Page,ಪ್ರತಿ ಪುಟಕ್ಕೆ
Personal,ವೈಯಕ್ತಿಕ
Personal preferences adjust the current cashier experience without changing the active POS route.,ಸಕ್ರಿಯ POS ಮಾರ್ಗವನ್ನು ಬದಲಾಯಿಸದೆಯೇ ವೈಯಕ್ತಿಕ ಆದ್ಯತೆಗಳು ಪ್ರಸ್ತುತ ಕ್ಯಾಷಿಯರ್ ಅನುಭವವನ್ನು ಸರಿಹೊಂದಿಸುತ್ತವೆ.
PIN confirmation does not match.,ಪಿನ್ ದೃಢೀಕರಣವು ಹೊಂದಿಕೆಯಾಗುವುದಿಲ್ಲ.
PIN must be 4 to 8 digits.,ಪಿನ್ 4 ರಿಂದ 8 ಅಂಕಿಗಳಾಗಿರಬೇಕು.
Please add at least one item.,ದಯವಿಟ್ಟು ಕನಿಷ್ಠ ಒಂದು ಐಟಂ ಅನ್ನು ಸೇರಿಸಿ.
Please allow camera access to scan codes,ದಯವಿಟ್ಟು ಕೋಡ್‌ಗಳನ್ನು ಸ್ಕ್ಯಾನ್ ಮಾಡಲು ಕ್ಯಾಮರಾ ಪ್ರವೇಶವನ್ನು ಅನುಮತಿಸಿ
Please enter payment amount,ದಯವಿಟ್ಟು ಪಾವತಿ ಮೊತ್ತವನ್ನು ನಮೂದಿಸಿ
Please fill all required fields,ದಯವಿಟ್ಟು ಅಗತ್ಯವಿರುವ ಎಲ್ಲಾ ಕ್ಷೇತ್ರಗಳನ್ನು ಭರ್ತಿ ಮಾಡಿ
Please make a payment or select a payment,ದಯವಿಟ್ಟು ಪಾವತಿ ಮಾಡಿ ಅಥವಾ ಪಾವತಿಯನ್ನು ಆಯ್ಕೆಮಾಡಿ
