POS Awesome,பிஓஎஸ் அருமை
Specific Profile,குறிப்பிட்ட சுயவிவரம்
Split Invoices,இன்வாய்ஸ்களைப் பிரிக்கவும்
Staff / Cashier Performance Report,ஊழியர்கள் / காசாளர் செயல்திறன் அறிக்கை
Status,நிலை
Stock,பங்கு
Stock Information,பங்கு தகவல்
Stock is lower than requested,ஸ்டாக் கேட்டதை விட குறைவாக உள்ளது
Stock is lower than requested:\n{0},கையிருப்பு கோரப்பட்டதை விட குறைவாக உள்ளது:\n{0}
Stock Movement Report,பங்கு இயக்கம் அறிக்கை
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,பங்கு புதுப்பிப்பு: {0} இல் {1} உள்ளது. {2}ஐச் சேர்ப்பது பங்கு பூஜ்ஜியத்திற்குக் கீழே வரும்.
Submit,சமர்ப்பிக்கவும்
Submit & Print,சமர்ப்பிக்கவும் & அச்சிடவும்
Submit Deposit,வைப்புத்தொகையை சமர்ப்பிக்கவும்
Submit Expense,செலவை சமர்ப்பிக்கவும்
Submitted,சமர்ப்பிக்கப்பட்டது
Submitted Cash Movements,சமர்ப்பிக்கப்பட்ட பண இயக்கங்கள்
Submitted entries,பதிவுகள் சமர்ப்பிக்கப்பட்டன
Successfully scanned:,வெற்றிகரமாக ஸ்கேன் செய்யப்பட்டது:
Suggested,பரிந்துரைக்கப்பட்டது
Suggested Qty,பரிந்துரைக்கப்பட்ட அளவு
Supervisor Access,மேற்பார்வையாளர் அணுகல்
Supervisor permissions unlock issuance and reloads,மேற்பார்வையாளர் அனுமதிகள் வழங்குதல் மற்றும் மறுஏற்றம் ஆகியவற்றைத் திறக்கும்
Supervisor Tools,மேற்பார்வையாளர் கருவிகள்
Supplier,சப்ளையர்
Supplier and dates are required.,சப்ளையர் மற்றும் தேதிகள் தேவை.
Supplier Invoices,சப்ளையர் இன்வாய்ஸ்கள்
Supplier is required.,சப்ளையர் தேவை.
Supplier name is required,சப்ளையர் பெயர் தேவை
Supplier Payments,சப்ளையர் கொடுப்பனவுகள்
Supplier Purchase Summary,சப்ளையர் கொள்முதல் சுருக்கம்
Suppliers,சப்ளையர்கள்
Suppliers not found,சப்ளையர்கள் கிடைக்கவில்லை
Switch Camera,கேமராவை மாற்றவும்
Switch Cashier,கேஷியரை மாற்றவும்
Switch the POS appearance theme,பிஓஎஸ் தோற்ற தீம் மாறவும்
Switched to:,இதற்கு மாறியது:
Sync All Invoices,அனைத்து இன்வாய்ஸ்களையும் ஒத்திசைக்கவும்
Sync Offline Cash Movements ({0}),ஆஃப்லைன் பண இயக்கங்களை ஒத்திசைக்கவும் ({0})
Sync Offline Sales,ஆஃப்லைன் விற்பனையை ஒத்திசைக்கவும்
Synced {0} offline cash movement(s).,{0} ஆஃப்லைன் பண இயக்கம்(கள்) ஒத்திசைக்கப்பட்டது.
Syncing items in background,பின்னணியில் உருப்படிகளை ஒத்திசைக்கிறது
System / Diagnostics,அமைப்பு / கண்டறிதல்
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","சிஸ்டம் செயல்கள் என்பது ஆப்ஸ் தகவல், ஆதரவு கண்டறிதல் மற்றும் அமர்வு கட்டுப்பாடுகள் போன்ற குறைந்த அதிர்வெண் பராமரிப்பு கட்டுப்பாடுகள் ஆகும்."
System Information,கணினி தகவல்
System Status,கணினி நிலை
Tables:,அட்டவணைகள்:
Tap the button below to redeem a gift card during checkout.,செக் அவுட்டின் போது கிஃப்ட் கார்டை ரிடீம் செய்ய கீழே உள்ள பட்டனைத் தட்டவும்.
Target,இலக்கு
Target Ex. Rate:,இலக்கு முன்னாள். விகிதம்:
Target Rate:,இலக்கு விகிதம்:
Tax,வரி
Tax / Charges Report,வரி / கட்டண அறிக்கை
Tax Heads,வரித் தலைவர்கள்
Taxable Amount,வரி விதிக்கக்கூடிய தொகை
Tendered,டெண்டர் விடப்பட்டது
Terminal,முனையம்
Terminal & Devices,டெர்மினல் & சாதனங்கள்
Terminal locked,முனையம் பூட்டப்பட்டது
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","டெர்மினல் கருவிகள் இந்த செக்அவுட் நிலையம், வாடிக்கையாளர் எதிர்கொள்ளும் காட்சிகள் மற்றும் எதிர்கால அச்சுப்பொறி/சாதனக் கட்டுப்பாடுகளைப் பாதிக்கின்றன."
Territory not found,பிரதேசம் காணப்படவில்லை
The amount paid is not complete,செலுத்திய தொகை முழுமையாக இல்லை
The app stores data locally for offline use. This is called cache.,ஆப்லைனில் பயன்படுத்துவதற்காக ஆப்ஸ் தரவை உள்ளூரில் சேமிக்கிறது. இது கேச் எனப்படும்.
The invoice stayed in draft. Please review and submit it manually.,விலைப்பட்டியல் வரைவில் இருந்தது. தயவுசெய்து மதிப்பாய்வு செய்து கைமுறையாகச் சமர்ப்பிக்கவும்.
The maximum discount allowed is,அனுமதிக்கப்பட்ட அதிகபட்ச தள்ளுபடி
The quantity for {0} has been adjusted to the maximum available stock.,"{0}க்கான அளவு, கிடைக்கும் அதிகபட்ச இருப்புக்குச் சரிசெய்யப்பட்டது."
The system could not retrieve the item details. Please try again.,கணினியால் உருப்படி விவரங்களை மீட்டெடுக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.
These invoices will be synced when connection is restored,இணைப்பு மீட்டமைக்கப்படும் போது இந்த இன்வாய்ஸ்கள் ஒத்திசைக்கப்படும்
This action now opens inside the settings workspace.,இந்தச் செயல் இப்போது அமைப்புகள் பணியிடத்தில் திறக்கும்.
This coupon already used !,இந்த கூப்பன் ஏற்கனவே பயன்படுத்தப்பட்டது!
This invoice does not need change-allocation repair,இந்த விலைப்பட்டியல் மாற்றம்-ஒதுக்கீடு பழுது தேவையில்லை
This invoice is already repaired,இந்த விலைப்பட்டியல் ஏற்கனவே சரி செய்யப்பட்டுள்ளது
This is an item template. Please choose a variant.,இது ஒரு உருப்படி டெம்ப்ளேட். தயவுசெய்து ஒரு மாறுபாட்டைத் தேர்ந்தெடுக்கவும்.
this item,இந்த உருப்படி
This POS page could not be opened offline because its code was not cached on this terminal yet.,"இந்த POS பக்கத்தை ஆஃப்லைனில் திறக்க முடியவில்லை, ஏனெனில் அதன் குறியீடு இன்னும் இந்த டெர்மினலில் தற்காலிகமாக சேமிக்கப்படவில்லை."
This Serial Number {0} has already been added!,இந்த வரிசை எண் {0} ஏற்கனவே சேர்க்கப்பட்டுள்ளது!
Threshold,வாசல்
Time,நேரம்
Tip: Clear cache regularly to free up space and keep the app fast.,"உதவிக்குறிப்பு: இடத்தைக் காலியாக்கவும், ஆப்ஸை வேகமாக வைத்திருக்கவும் தற்காலிக சேமிப்பை அடிக்கடி அழிக்கவும்."
Tip: Close unused tabs or apps to reduce lag.,உதவிக்குறிப்பு: தாமதத்தைக் குறைக்க பயன்படுத்தப்படாத தாவல்கள் அல்லது பயன்பாடுகளை மூடு.
Tip: Monitor slow queries and table size for optimal performance.,உதவிக்குறிப்பு: உகந்த செயல்திறனுக்காக மெதுவான வினவல்கள் மற்றும் அட்டவணை அளவைக் கண்காணிக்கவும்.
To Be Paid,பணம் செலுத்த வேண்டும்
To Date,இன்றுவரை
Today,இன்று
Today Profit,இன்று லாபம்
Today Sales,இன்று விற்பனை
Toggle navigation drawer,வழிசெலுத்தல் டிராயரை நிலைமாற்று
Toggle Theme,தீம் மாற்றவும்
Tools,கருவிகள்
Tools for customer-facing screens and terminal-specific actions.,வாடிக்கையாளர் எதிர்கொள்ளும் திரைகள் மற்றும் முனையம் சார்ந்த செயல்களுக்கான கருவிகள்.
Top Brand,சிறந்த பிராண்ட்
Top Category,சிறந்த வகை
Top Charge Head,டாப் சார்ஜ் ஹெட்
Top Customers,சிறந்த வாடிக்கையாளர்கள்
Top Discount,சிறந்த தள்ளுபடி
Top Items by Location,இருப்பிடத்தின் அடிப்படையில் சிறந்த பொருட்கள்
Top Margin,மேல் விளிம்பு
Top Pending,நிலுவையில் உள்ளது
Top Profit Item,அதிக லாபம் தரும் பொருள்
Top Return Items,சிறந்த திரும்பும் பொருட்கள்
Top Sales by Cashier,காசாளர் மூலம் அதிக விற்பனை
Top Supplier,சிறந்த சப்ளையர்
Top Suppliers by Spend,செலவு மூலம் சிறந்த சப்ளையர்கள்
Top Tables,மேல் அட்டவணைகள்
Top Tax Head,மேல் வரித் தலைவர்
Top Up Amount,டாப் அப் தொகை
Top Up Card,டாப் அப் கார்டு
Top Up Mode,டாப் அப் பயன்முறை
Top Variant,டாப் வேரியன்ட்
Total,மொத்தம்
Total Amount,மொத்த தொகை
Total Change,மொத்த மாற்றம்
Total Charges,மொத்த கட்டணங்கள்
Total In,மொத்தம்
Total Invoices,மொத்த விலைப்பட்டியல்கள்
Total Items,மொத்த பொருட்கள்
Total Mpesa,மொத்த Mpesa
Total Out,மொத்த அவுட்
Total Payments,மொத்த கொடுப்பனவுகள்
Total Purchase,மொத்த கொள்முதல்
Total Selected :,தேர்ந்தெடுக்கப்பட்ட மொத்தம்:
Total Size,மொத்த அளவு
Total Stock Qty,மொத்த பங்கு அளவு
Total:,மொத்தம்:
Totals by Invoice Currency,இன்வாய்ஸ் கரன்சி மூலம் மொத்தம்
Track how much cash was handed back to customers,வாடிக்கையாளர்களுக்கு எவ்வளவு பணம் திரும்ப ஒப்படைக்கப்பட்டது என்பதைக் கண்காணிக்கவும்
"Track recent sales, collect unpaid balances, and reopen saved work","சமீபத்திய விற்பனையைக் கண்காணிக்கவும், செலுத்தப்படாத நிலுவைகளைச் சேகரிக்கவும், சேமித்த வேலையை மீண்டும் திறக்கவும்"
Transaction ID,பரிவர்த்தனை ஐடி
Transfer,இடமாற்றம்
Try a different search term or clear the cart search.,வேறு தேடல் சொல்லை முயற்சிக்கவும் அல்லது கார்ட் தேடலை அழிக்கவும்.
Try adjusting your search or filters,உங்கள் தேடல் அல்லது வடிப்பான்களை சரிசெய்ய முயற்சிக்கவும்
Try another source or refresh the list.,வேறொரு மூலத்தை முயற்சிக்கவும் அல்லது பட்டியலைப் புதுப்பிக்கவும்.
Try changing the date range or status filter.,தேதி வரம்பு அல்லது நிலை வடிப்பானை மாற்ற முயற்சிக்கவும்.
Type,வகை
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,அடிப்படை அமைப்புகளுடன் கூட கேமராவை அணுக முடியவில்லை. உங்கள் கேமரா அனுமதிகள் மற்றும் சாதன இணக்கத்தன்மையை சரிபார்க்கவும்.
Unable to add offer item {0}. Please refresh and try again.,சலுகை உருப்படியைச் சேர்க்க முடியவில்லை {0}. புதுப்பித்து மீண்டும் முயற்சிக்கவும்.
Unable to add offer item. Please refresh and try again.,சலுகை உருப்படியைச் சேர்க்க முடியவில்லை. புதுப்பித்து மீண்டும் முயற்சிக்கவும்.
Unable to add scanned item.,ஸ்கேன் செய்த பொருளைச் சேர்க்க முடியவில்லை.
Unable to create purchase order,கொள்முதல் ஆர்டரை உருவாக்க முடியவில்லை
Unable to delete draft invoice,வரைவு விலைப்பட்டியலை நீக்க முடியவில்லை
Unable to fetch documents,ஆவணங்களைப் பெற முடியவில்லை
Unable to fetch draft orders,வரைவு ஆர்டர்களைப் பெற முடியவில்லை
Unable to fetch invoice history,இன்வாய்ஸ் வரலாற்றைப் பெற முடியவில்லை
Unable to fetch M-Pesa payments,M-Pesa பேமெண்ட்டுகளைப் பெற முடியவில்லை
Unable to fetch sales orders,விற்பனை ஆர்டர்களைப் பெற முடியவில்லை
Unable to fetch unpaid invoices,செலுத்தப்படாத இன்வாய்ஸ்களைப் பெற முடியவில்லை
Unable to generate scale barcode,அளவிலான பார்கோடை உருவாக்க முடியவில்லை
Unable to issue gift card.,பரிசு அட்டையை வழங்க முடியவில்லை.
Unable to load cashier PIN status.,காசாளர் பின் நிலையை ஏற்ற முடியவில்லை.
Unable to load document,ஆவணத்தை ஏற்ற முடியவில்லை
Unable to load draft invoice,வரைவு விலைப்பட்டியல் ஏற்ற முடியவில்லை
Unable to load gift card balance.,கிஃப்ட் கார்டு இருப்பை ஏற்ற முடியவில்லை.
Unable to load invoice details,இன்வாய்ஸ் விவரங்களை ஏற்ற முடியவில்லை
Unable to load parked order,நிறுத்தப்பட்ட ஆர்டரை ஏற்ற முடியவில்லை
Unable to load the selected sales order,தேர்ந்தெடுக்கப்பட்ட விற்பனை ஆர்டரை ஏற்ற முடியவில்லை
Unable to prepare document,ஆவணத்தைத் தயாரிக்க முடியவில்லை
Unable to prepare return invoice,திரும்பப் பெறுவதற்கான விலைப்பட்டியல் தயாரிக்க முடியவில்லை
Unable to print draft invoice,வரைவு விலைப்பட்டியல் அச்சிட முடியவில்லை
Unable to print submitted invoice,சமர்ப்பிக்கப்பட்ட விலைப்பட்டியல் அச்சிட முடியவில்லை
Unable to process document action,ஆவணச் செயலைச் செயல்படுத்த முடியவில்லை
Unable to repair change allocation,மாற்ற ஒதுக்கீட்டை சரிசெய்ய முடியவில்லை
Unable to save cashier PIN.,காசாளர் பின்னைச் சேமிக்க முடியவில்லை.
Unable to save the rate to the backend price list,பின்தள விலைப் பட்டியலில் விகிதத்தைச் சேமிக்க முடியவில்லை
Unable to submit invoice,விலைப்பட்டியல் சமர்ப்பிக்க முடியவில்லை
Unable to submit the selected payment,தேர்ந்தெடுக்கப்பட்ட கட்டணத்தைச் சமர்ப்பிக்க முடியவில்லை
Unable to top up gift card.,பரிசு அட்டையை நிரப்ப முடியவில்லை.
Unable to verify cashier PIN.,காசாளர் பின்னைச் சரிபார்க்க முடியவில்லை.
Unallocated,ஒதுக்கப்படாதது
Unallocated:,ஒதுக்கப்படாதது:
Unavailable,கிடைக்கவில்லை
Unknown,தெரியவில்லை
Unknown Item,தெரியாத பொருள்
Unknown Warehouse,தெரியாத கிடங்கு
Unlock POS,பிஓஎஸ் திறக்கவும்
Unpaid,செலுத்தப்படாதது
"Unselected payments stay unallocated first, then auto reconcile after submit.","தேர்ந்தெடுக்கப்படாத பேமெண்ட்கள் முதலில் ஒதுக்கப்படாமல் இருக்கும், பிறகு சமர்ப்பித்த பிறகு தானாகச் சீர்செய்யும்."
UOM,UOM
UOM not found,UOM கிடைக்கவில்லை
Update available,புதுப்பிப்பு கிடைக்கிறது
Update Customer,வாடிக்கையாளரைப் புதுப்பிக்கவும்
Update PIN,பின்னைப் புதுப்பிக்கவும்
Update Price List Rate,விலைப்பட்டியல் விகிதத்தைப் புதுப்பிக்கவும்
Updated,புதுப்பிக்கப்பட்டது
Updates and app info that stay out of the cashier flow.,காசாளர் பரிமாற்றத்திற்கு வெளியே இருக்கும் புதுப்பிப்புகள் மற்றும் ஆப்ஸ் தகவல்.
Updates automatically,தானாகவே புதுப்பிக்கப்படும்
Usage,பயன்பாடு
Usage Stats,பயன்பாட்டு புள்ளிவிவரங்கள்
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,காசாளர் மாறுதல் மற்றும் முனையத் திறப்பதற்கு 4 முதல் 8 இலக்க பின்னைப் பயன்படுத்தவும்.
Use Cashier,காசாளரைப் பயன்படுத்தவும்
Use date range to search for older invoices,"பழைய இன்வாய்ஸ்களைத் தேட, தேதி வரம்பைப் பயன்படுத்தவும்"
"Use one field for manual code entry, barcode scans, or QR scans.","கைமுறை குறியீடு உள்ளீடு, பார்கோடு ஸ்கேன் அல்லது QR ஸ்கேன் செய்ய ஒரு புலத்தைப் பயன்படுத்தவும்."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","பிஓஎஸ்ஸை விட்டு வெளியேறாமல் இருப்புச் சோதனைகள், புதிய வெளியீடுகள் மற்றும் டாப் அப்களுக்கு ஒரு பணிப்பாய்வுகளைப் பயன்படுத்தவும்."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","தேக்ககப்படுத்தப்பட்ட முன்தேவையான தரவுக்கு புதுப்பித்தல், மீண்டும் உருவாக்குதல் அல்லது கண்டறியும் மதிப்பாய்வு தேவைப்படும்போது இந்தப் பிரிவைப் பயன்படுத்தவும்."
Use Western numerals,மேற்கத்திய எண்களைப் பயன்படுத்தவும்
Used:,பயன்படுத்தப்பட்டது:
Using basic camera settings due to device limitations,சாதன வரம்புகள் காரணமாக அடிப்படை கேமரா அமைப்புகளைப் பயன்படுத்துதல்
Using cached customer balance,தேக்ககப்படுத்தப்பட்ட வாடிக்கையாளர் இருப்பைப் பயன்படுத்துதல்
Valid until,வரை செல்லுபடியாகும்
Variance %,மாறுபாடு %
Variants,மாறுபாடுகள்
Variant-wise,மாறுபாடு வாரியாக
Verify closing amounts for each payment method,ஒவ்வொரு கட்டண முறைக்கும் இறுதித் தொகையைச் சரிபார்க்கவும்
View all,அனைத்தையும் பார்க்கவும்
View app information and current build details,பயன்பாட்டுத் தகவல் மற்றும் தற்போதைய உருவாக்க விவரங்களைக் காண்க
View Data Diagnostics,தரவு கண்டறிதல்களைப் பார்க்கவும்
View Details,விவரங்களைக் காண்க
View invoice details,விலைப்பட்டியல் விவரங்களைக் காண்க
View notifications,அறிவிப்புகளைப் பார்க்கவும்
View offline invoices,ஆஃப்லைன் இன்வாய்ஸ்களைக் காண்க
View restricted POS insights,கட்டுப்படுத்தப்பட்ட பிஓஎஸ் நுண்ணறிவுகளைப் பார்க்கவும்
Void Amount,செல்லாத தொகை
Void Count,வெற்றிட எண்ணிக்கை
Voids,வெற்றிடங்கள்
Waiting for cart items,வண்டிப் பொருட்களுக்காகக் காத்திருக்கிறது
Waiting for payment...,கட்டணத்திற்காக காத்திருக்கிறது...
Walk-in Customer,வாக்-இன் வாடிக்கையாளர்
Warehouse,கிடங்கு
Warning: High cache usage may affect performance.,எச்சரிக்கை: அதிக கேச் பயன்பாடு செயல்திறனை பாதிக்கலாம்.
Warning: High lag may indicate heavy processing or browser slowness.,எச்சரிக்கை: அதிக பின்னடைவு அதிக செயலாக்கம் அல்லது உலாவி மந்தநிலையைக் குறிக்கலாம்.
Week ?,வாரம் ?
Week-wise,வாரம் வாரியாக
Weight (g),எடை (கிராம்)
Weight (grams),எடை (கிராம்)
We'll let you know if an invoice fails to submit,விலைப்பட்டியல் சமர்ப்பிக்கத் தவறினால் உங்களுக்குத் தெரிவிப்போம்
Workflow,பணிப்பாய்வு
Write off amount cannot exceed the POS profile maximum of {0},பிஓஎஸ் சுயவிவரத்தின் அதிகபட்சம் {0}ஐத் தாண்டக்கூடாது
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,அனுமதிக்கப்பட்ட வரம்பை ({0}) மீறும் தொகையை தள்ளுபடி செய்ய வேண்டும். மீதமுள்ள தொகைக்கான கட்டணத்தைச் சேர்க்கவும்.
Yes,ஆம்
"Yes, Cancel sale","ஆம், விற்பனையை ரத்துசெய்"
"Yes, Close","ஆம், மூடு"
You are not allowed to print draft invoices,வரைவு விலைப்பட்டியல்களை அச்சிட உங்களுக்கு அனுமதி இல்லை
You are offline. Add Payment will work again when the connection is restored.,ஆஃப்லைனில் உள்ளீர்கள். இணைப்பு மீட்டமைக்கப்படும் போது சேர் பேமெண்ட் மீண்டும் வேலை செய்யும்.
You have no notifications right now,உங்களிடம் தற்போது எந்த அறிவிப்பும் இல்லை
Your Cart,உங்கள் வண்டி
