POS Awesome,POS بہت اچھے
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,کیشئر سوئچنگ اور ٹرمینل ان لاک کے لیے 4 سے 8 ہندسوں کا پن استعمال کریں۔
Use Cashier,کیشئر کا استعمال کریں۔
Use date range to search for older invoices,پرانی رسیدیں تلاش کرنے کے لیے تاریخ کی حد استعمال کریں۔
"Use one field for manual code entry, barcode scans, or QR scans.",دستی کوڈ کے اندراج، بارکوڈ اسکین، یا QR اسکین کے لیے ایک فیلڈ استعمال کریں۔
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",پی او ایس چھوڑے بغیر بیلنس چیک، نئے اجراء اور ٹاپ اپس کے لیے ایک ورک فلو استعمال کریں۔
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",اس سیکشن کو اس وقت استعمال کریں جب کیش شدہ ضروری ڈیٹا کو ریفریش، دوبارہ تعمیر، یا تشخیصی جائزے کی ضرورت ہو۔
Use Western numerals,مغربی ہندسوں کا استعمال کریں۔
Used:,استعمال شدہ:
Using basic camera settings due to device limitations,ڈیوائس کی حدود کی وجہ سے کیمرہ کی بنیادی ترتیبات کا استعمال
Using cached customer balance,کیشڈ کسٹمر بیلنس کا استعمال کرنا
Valid until,تک درست ہے۔
Variance %,تغیر %
Variants,متغیرات
Variant-wise,variant-wise
Verify closing amounts for each payment method,ادائیگی کے ہر طریقہ کے لیے اختتامی رقوم کی تصدیق کریں۔
View all,تمام دیکھیں
View app information and current build details,ایپ کی معلومات اور موجودہ تعمیراتی تفصیلات دیکھیں
View Data Diagnostics,ڈیٹا کی تشخیص دیکھیں
View Details,تفصیلات دیکھیں
View invoice details,انوائس کی تفصیلات دیکھیں
View notifications,اطلاعات دیکھیں
View offline invoices,آف لائن رسیدیں دیکھیں
View restricted POS insights,محدود POS بصیرتیں دیکھیں
Void Amount,باطل رقم
Void Count,باطل شمار
Voids,voids
Waiting for cart items,کارٹ آئٹمز کا انتظار کر رہے ہیں۔
Waiting for payment...,ادائیگی کا انتظار ہے...
Walk-in Customer,واک ان کسٹمر
Warehouse,گودام
Warning: High cache usage may affect performance.,انتباہ: کیشے کا زیادہ استعمال کارکردگی کو متاثر کر سکتا ہے۔
Warning: High lag may indicate heavy processing or browser slowness.,انتباہ: زیادہ وقفہ بھاری پروسیسنگ یا براؤزر کی سستی کی نشاندہی کر سکتا ہے۔
Week ?,ہفتہ؟
Week-wise,ہفتہ وار
Weight (g),وزن (g)
Weight (grams),وزن (گرام)
We'll let you know if an invoice fails to submit,انوائس جمع نہ ہونے کی صورت میں ہم آپ کو مطلع کریں گے۔
Workflow,ورک فلو
Write off amount cannot exceed the POS profile maximum of {0},رائٹ آف کی رقم POS پروفائل کی زیادہ سے زیادہ {0} سے زیادہ نہیں ہو سکتی
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,رائٹ آف کی رقم منظور شدہ حد ({0}) سے زیادہ ہے۔ براہ کرم باقی رقم کی ادائیگی شامل کریں۔
Yes,جی ہاں
"Yes, Cancel sale",ہاں، فروخت منسوخ کریں۔
"Yes, Close",ہاں، بند کریں۔
You are not allowed to print draft invoices,آپ کو ڈرافٹ رسیدیں پرنٹ کرنے کی اجازت نہیں ہے۔
You are offline. Add Payment will work again when the connection is restored.,آپ آف لائن ہیں۔ کنکشن بحال ہونے پر ادائیگی شامل کریں دوبارہ کام کرے گا۔
You have no notifications right now,آپ کو ابھی کوئی اطلاع نہیں ہے۔
Your Cart,آپ کی ٹوکری
